"participant","trial_n","rating","IAT_condition","block_order","task_order","gender","age","modern_racism_scale_total","amp_recognition_response","IAT_exclude_based_on_fast_trials","exclude"
905831587,1,3,"Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,2,2,"Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,3,4,"Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,4,3,"Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,5,2,"Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,6,2,"Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
767115399,1,4,"Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,2,4,"Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,3,4,"Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,4,4,"Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,5,5,"Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,6,4,"Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
830748203,1,5,"Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,2,5,"Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,3,5,"Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,4,5,"Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,5,5,"Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,6,5,"Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
755961286,1,6,"Flowers-Insects IAT","incongruent","ratings first","female",21,14,"Only black faces",FALSE,FALSE
755961286,2,6,"Flowers-Insects IAT","incongruent","ratings first","female",21,14,"Only black faces",FALSE,FALSE
755961286,3,6,"Flowers-Insects IAT","incongruent","ratings first","female",21,14,"Only black faces",FALSE,FALSE
755961286,4,6,"Flowers-Insects IAT","incongruent","ratings first","female",21,14,"Only black faces",FALSE,FALSE
755961286,5,6,"Flowers-Insects IAT","incongruent","ratings first","female",21,14,"Only black faces",FALSE,FALSE
755961286,6,6,"Flowers-Insects IAT","incongruent","ratings first","female",21,14,"Only black faces",FALSE,FALSE
442057301,1,4,"Flowers-Insects IAT","congruent","ratings first","male",30,17,"Only black faces",FALSE,FALSE
442057301,2,5,"Flowers-Insects IAT","congruent","ratings first","male",30,17,"Only black faces",FALSE,FALSE
442057301,3,4,"Flowers-Insects IAT","congruent","ratings first","male",30,17,"Only black faces",FALSE,FALSE
442057301,4,4,"Flowers-Insects IAT","congruent","ratings first","male",30,17,"Only black faces",FALSE,FALSE
442057301,5,5,"Flowers-Insects IAT","congruent","ratings first","male",30,17,"Only black faces",FALSE,FALSE
442057301,6,5,"Flowers-Insects IAT","congruent","ratings first","male",30,17,"Only black faces",FALSE,FALSE
231421624,1,7,"Flowers-Insects IAT","incongruent","SCIAT first","male",47,34,"Only black faces",FALSE,FALSE
231421624,2,7,"Flowers-Insects IAT","incongruent","SCIAT first","male",47,34,"Only black faces",FALSE,FALSE
231421624,3,6,"Flowers-Insects IAT","incongruent","SCIAT first","male",47,34,"Only black faces",FALSE,FALSE
231421624,4,5,"Flowers-Insects IAT","incongruent","SCIAT first","male",47,34,"Only black faces",FALSE,FALSE
231421624,5,7,"Flowers-Insects IAT","incongruent","SCIAT first","male",47,34,"Only black faces",FALSE,FALSE
231421624,6,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",47,34,"Only black faces",FALSE,FALSE
24129553,1,5,"Race IAT","congruent","ratings first","male",29,11,"Only black faces",FALSE,FALSE
24129553,2,5,"Race IAT","congruent","ratings first","male",29,11,"Only black faces",FALSE,FALSE
24129553,3,5,"Race IAT","congruent","ratings first","male",29,11,"Only black faces",FALSE,FALSE
24129553,4,5,"Race IAT","congruent","ratings first","male",29,11,"Only black faces",FALSE,FALSE
24129553,5,5,"Race IAT","congruent","ratings first","male",29,11,"Only black faces",FALSE,FALSE
24129553,6,4,"Race IAT","congruent","ratings first","male",29,11,"Only black faces",FALSE,FALSE
284817422,1,4,"Flowers-Insects IAT","incongruent","ratings first","female",22,12,"Both white and black faces",FALSE,FALSE
284817422,2,4,"Flowers-Insects IAT","incongruent","ratings first","female",22,12,"Both white and black faces",FALSE,FALSE
284817422,3,5,"Flowers-Insects IAT","incongruent","ratings first","female",22,12,"Both white and black faces",FALSE,FALSE
