"participant","complete","amp_recognition_response","gender","age","modern_racism_scale_total","mean_rating","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","AMP_mean_RT","AMP_perc_acc","AMP_neutral_perc_acc","AMP_race_perc_acc","AMP_diff","exclude","condition","IAT_condition","block_order","task_order"
2851922,TRUE,"Only black faces","female",37,16,6,1060,0.84,FALSE,512,0.95,1,0.9,-0.1,FALSE,2,"Race IAT","incongruent","ratings first"
4782910,TRUE,"Only black faces","male",38,17,4,916,0.99,FALSE,1012,0.8,0.78,0.82,0.0399999999999999,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
7506370,TRUE,"Only black faces","male",50,17,4,767,1,FALSE,1104,0.59,0.62,0.56,-0.0599999999999999,FALSE,2,"Race IAT","incongruent","ratings first"
15307734,TRUE,"Only black faces","male",21,23,4,842,0.91,FALSE,620,0.59,0.6,0.58,-0.02,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
17654798,TRUE,"Only black faces","female",44,19,3.67,921,0.98,FALSE,428,0.65,0.58,0.72,0.14,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
18342555,TRUE,"Both white and black faces","male",50,12,4.83,700,0.89,FALSE,283,0.53,0.66,0.4,-0.26,FALSE,3,"Race IAT","congruent","SCIAT first"
24129553,TRUE,"Only black faces","male",29,11,4.83,734,0.85,FALSE,228,0.57,0.54,0.6,0.0599999999999999,FALSE,1,"Race IAT","congruent","ratings first"
32599867,TRUE,"Both white and black faces","female",53,13,5.17,758,0.99,FALSE,402,1,1,1,0,FALSE,3,"Race IAT","congruent","SCIAT first"
34085521,TRUE,"Both white and black faces","male",NA,30,4,1388,0.94,FALSE,945,0.48,0.68,0.28,-0.4,FALSE,1,"Race IAT","congruent","ratings first"
35155488,TRUE,"Only black faces","male",52,12,4,916,0.97,FALSE,443,0.6,0.56,0.64,0.08,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
39832970,TRUE,"Both white and black faces","male",40,19,6,580,0.57,TRUE,127,0.5,0.52,0.48,-0.04,TRUE,2,"Race IAT","incongruent","ratings first"
39920667,TRUE,"Only black faces","male",24,22,3.67,994,0.9,FALSE,500,0.58,0.64,0.52,-0.12,FALSE,3,"Race IAT","congruent","SCIAT first"
42945811,TRUE,"Only black faces","male",18,15,4,754,0.95,FALSE,483,0.81,0.78,0.84,0.0599999999999999,FALSE,3,"Race IAT","congruent","SCIAT first"
44301785,TRUE,"Both white and black faces","female",60,19,4.5,1388,0.92,FALSE,579,0.83,0.76,0.9,0.14,FALSE,1,"Race IAT","congruent","ratings first"
44333375,TRUE,"Only black faces","male",24,20,4,714,0.86,FALSE,473,0.62,0.72,0.52,-0.2,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
46122356,TRUE,"I don't know","female",32,8,4,945,0.98,FALSE,1847,0,0,0,0,FALSE,4,"Race IAT","incongruent","SCIAT first"
47494535,TRUE,"Only black faces","female",51,19,4,676,0.92,FALSE,339,1,1,1,0,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
49810815,TRUE,"Only black faces","female",38,16,4,598,0.92,FALSE,283,0.81,0.62,1,0.38,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
52504693,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,5,"Flowers-Insects IAT","congruent","ratings first"
53128596,TRUE,"Only black faces","female",26,15,4,823,1,FALSE,698,0.85,0.74,0.96,0.22,FALSE,4,"Race IAT","incongruent","SCIAT first"
63396024,TRUE,"Only black faces","female",54,13,6,1304,0.95,FALSE,1178,0.36,0.54,0.18,-0.36,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
69472683,TRUE,"Only black faces","female",33,16,5.67,783,0.9,FALSE,707,0.65,0.56,0.74,0.18,FALSE,3,"Race IAT","congruent","SCIAT first"
72480024,TRUE,"Only black faces","female",43,13,4.5,1200,0.98,FALSE,1220,0.94,0.96,0.92,-0.0399999999999999,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
76608862,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,6,"Flowers-Insects IAT","incongruent","ratings first"
86938792,TRUE,"Only black faces","female",38,14,4.33,818,0.98,FALSE,567,1,1,1,0,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
88378024,TRUE,"Only black faces","female",44,25,3.83,710,0.94,FALSE,185,0.78,0.8,0.76,-0.04,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
95719706,TRUE,"Only black faces","male",27,13,4,1444,0.92,FALSE,809,0.51,0.94,0.08,-0.86,FALSE,2,"Race IAT","incongruent","ratings first"
101814106,TRUE,"Only black faces","female",28,11,4.5,909,0.92,FALSE,326,0.66,0.5,0.82,0.32,FALSE,2,"Race IAT","incongruent","ratings first"
106891760,TRUE,"Only black faces","female",38,17,4,1255,0.98,FALSE,536,0.58,0.56,0.6,0.0399999999999999,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
112388191,TRUE,"Only black faces","female",61,18,4.67,977,1,FALSE,477,0.95,0.96,0.94,-0.02,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
116265055,TRUE,"Only black faces","male",28,14,5,934,0.97,FALSE,495,0.34,0.48,0.2,-0.28,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
117577909,TRUE,"I don't know","male",27,17,4.17,875,0.98,FALSE,703,0.5,0.94,0.06,-0.88,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
119258866,TRUE,"Only black faces","male",46,19,4.83,969,0.96,FALSE,526,0.5,0.56,0.44,-0.12,FALSE,2,"Race IAT","incongruent","ratings first"
121550054,TRUE,"Only black faces","female",28,18,4.67,732,0.96,FALSE,534,0.68,0.9,0.46,-0.44,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
123554246,TRUE,"Only black faces","female",23,18,4.67,887,0.94,FALSE,362,0.7,0.42,0.98,0.56,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
124394901,TRUE,"I don't know","male",20,27,4,725,0.98,FALSE,199,1,1,1,0,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
132134142,TRUE,"I don't know","female",29,14,4,1226,1,FALSE,1146,0.92,0.92,0.92,0,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
135131748,TRUE,"Only black faces","male",23,13,4,689,0.92,FALSE,351,0.84,0.82,0.86,0.04,FALSE,4,"Race IAT","incongruent","SCIAT first"
136786391,TRUE,"Only black faces","female",42,22,4.17,970,1,FALSE,393,0.73,0.74,0.72,-0.02,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
136910715,TRUE,"Only black faces","male",43,26,4,1002,0.97,FALSE,428,0.61,0.64,0.58,-0.0600000000000001,FALSE,3,"Race IAT","congruent","SCIAT first"
137561087,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,7,"Flowers-Insects IAT","congruent","SCIAT first"
142042644,TRUE,"Only black faces","female",34,22,5,924,0.97,FALSE,354,1,1,1,0,FALSE,4,"Race IAT","incongruent","SCIAT first"
143542488,TRUE,"Both white and black faces","male",44,17,4.33,846,0.99,FALSE,736,0.62,0.52,0.72,0.2,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
145924742,TRUE,"Only black faces","female",21,14,4,817,0.98,FALSE,657,0.62,0.6,0.64,0.04,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
147373664,TRUE,"I don't know","female",47,17,4,768,1,FALSE,762,0.45,0.46,0.44,-0.02,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
156896642,TRUE,"Both white and black faces","female",44,18,4.33,796,0.94,FALSE,414,0.64,0.56,0.72,0.16,FALSE,2,"Race IAT","incongruent","ratings first"
157551057,TRUE,"Only black faces","female",24,10,4,708,0.92,FALSE,628,0.69,0.7,0.68,-0.0199999999999999,FALSE,1,"Race IAT","congruent","ratings first"
158632931,TRUE,"Both white and black faces","male",36,31,5,149,0.47,TRUE,760,0.55,0.54,0.56,0.02,TRUE,3,"Race IAT","congruent","SCIAT first"
158868420,TRUE,"I don't know","male",46,9,4.17,1092,0.98,FALSE,1026,0.66,0.7,0.62,-0.08,FALSE,4,"Race IAT","incongruent","SCIAT first"
164550743,TRUE,"I don't know","female",21,21,4.33,915,0.89,FALSE,266,0.98,0.96,1,0.04,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
166453206,TRUE,"I don't know","male",55,21,4.17,955,1,FALSE,1164,0.67,0.68,0.66,-0.02,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
169448874,TRUE,"Only black faces","female",59,21,3.83,759,0.98,FALSE,403,0.93,0.96,0.9,-0.0599999999999999,FALSE,2,"Race IAT","incongruent","ratings first"
170187213,TRUE,"Both white and black faces","male",42,32,6,157,0.48,TRUE,79,0.59,0.5,0.68,0.18,TRUE,5,"Flowers-Insects IAT","congruent","ratings first"
170427007,TRUE,"Only black faces","female",44,15,4.5,660,0.98,FALSE,767,0.49,0.5,0.48,-0.02,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
