"build","date","time","subject","blockcode","blocknum","trialcode","trialnum","stimulusitem1","response"
"4.0.9.0","121516","10:30:35","19","ratings","1","images","1","bf14_nc.jpg","2"
"4.0.9.0","121516","10:30:35","19","ratings","1","images","2","bm23_nc.jpg","2"
"4.0.9.0","121516","10:30:35","19","ratings","1","images","3","bf56_nc.jpg","1"
"4.0.9.0","121516","10:30:35","19","ratings","1","images","4","bm14_nc.jpg","2"
"4.0.9.0","121516","10:30:35","19","ratings","1","images","5","bm56_nc.jpg","3"
"4.0.9.0","121516","10:30:35","19","ratings","1","images","6","bf23_nc.jpg","2"
"4.0.9.0","121516","03:26:45","20","ratings","1","images","1","bf14_nc.jpg","4"
"4.0.9.0","121516","03:26:45","20","ratings","1","images","2","bm14_nc.jpg","3"
"4.0.9.0","121516","03:26:45","20","ratings","1","images","3","bf56_nc.jpg","4"
"4.0.9.0","121516","03:26:45","20","ratings","1","images","4","bm23_nc.jpg","4"
"4.0.9.0","121516","03:26:45","20","ratings","1","images","5","bm56_nc.jpg","5"
"4.0.9.0","121516","03:26:45","20","ratings","1","images","6","bf23_nc.jpg","4"
"4.0.9.0","121416","22:26:25","22","ratings","1","images","1","bf56_nc.jpg","3"
"4.0.9.0","121416","22:26:25","22","ratings","1","images","2","bm23_nc.jpg","2"
"4.0.9.0","121416","22:26:25","22","ratings","1","images","3","bm14_nc.jpg","2"
"4.0.9.0","121416","22:26:25","22","ratings","1","images","4","bm56_nc.jpg","4"
"4.0.9.0","121416","22:26:25","22","ratings","1","images","5","bf23_nc.jpg","4"
"4.0.9.0","121416","22:26:25","22","ratings","1","images","6","bf14_nc.jpg","4"
"4.0.9.0","121516","03:26:21","11","ratings","1","images","1","bf23_nc.jpg","3"
"4.0.9.0","121516","03:26:21","11","ratings","1","images","2","bm23_nc.jpg","6"
"4.0.9.0","121516","03:26:21","11","ratings","1","images","3","bm14_nc.jpg","4"
"4.0.9.0","121516","03:26:21","11","ratings","1","images","4","bf14_nc.jpg","5"
"4.0.9.0","121516","03:26:21","11","ratings","1","images","5","bf56_nc.jpg","6"
"4.0.9.0","121516","03:26:21","11","ratings","1","images","6","bm56_nc.jpg","5"
"4.0.9.0","121416","22:26:25","16","ratings","1","images","1","bm23_nc.jpg","5"
"4.0.9.0","121416","22:26:25","16","ratings","1","images","2","bf56_nc.jpg","4"
"4.0.9.0","121416","22:26:25","16","ratings","1","images","3","bm56_nc.jpg","7"
"4.0.9.0","121416","22:26:25","16","ratings","1","images","4","bf14_nc.jpg","7"
"4.0.9.0","121416","22:26:25","16","ratings","1","images","5","bf23_nc.jpg","5"
"4.0.9.0","121416","22:26:25","16","ratings","1","images","6","bm14_nc.jpg","6"
"4.0.9.0","121516","14:25:49","15","ratings","1","images","1","bm14_nc.jpg","4"
"4.0.9.0","121516","14:25:49","15","ratings","1","images","2","bf14_nc.jpg","4"
"4.0.9.0","121516","14:25:49","15","ratings","1","images","3","bm23_nc.jpg","4"
"4.0.9.0","121516","14:25:49","15","ratings","1","images","4","bf56_nc.jpg","4"
"4.0.9.0","121516","14:25:49","15","ratings","1","images","5","bf23_nc.jpg","4"
"4.0.9.0","121516","14:25:49","15","ratings","1","images","6","bm56_nc.jpg","4"
"4.0.9.0","121416","22:25:36","7","ratings","1","images","1","bf14_nc.jpg","4"
"4.0.9.0","121416","22:25:36","7","ratings","1","images","2","bm14_nc.jpg","4"
"4.0.9.0","121416","22:25:36","7","ratings","1","images","3","bf23_nc.jpg","4"
"4.0.9.0","121416","22:25:36","7","ratings","1","images","4","bm23_nc.jpg","4"
"4.0.9.0","121416","22:25:36","7","ratings","1","images","5","bm56_nc.jpg","3"
"4.0.9.0","121416","22:25:36","7","ratings","1","images","6","bf56_nc.jpg","4"
"4.0.9.0","121516","03:25:21","3","ratings","1","images","1","bf23_nc.jpg","5"
"4.0.9.0","121516","03:25:21","3","ratings","1","images","2","bm23_nc.jpg","5"
"4.0.9.0","121516","03:25:21","3","ratings","1","images","3","bf56_nc.jpg","6"
"4.0.9.0","121516","03:25:21","3","ratings","1","images","4","bm14_nc.jpg","5"
"4.0.9.0","121516","03:25:21","3","ratings","1","images","5","bm56_nc.jpg","5"
