"","V1","date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","windowcenter","trialduration","trialtimeout","blocktimeout","response","correct","latency","inwindow"
"1","1","121416","21:28:50","24","24","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","31","1","6347","0"
"2","2","121416","21:28:50","24","24","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","f","1","2562","0"
"3","3","121516","10:21:13","19","19","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","21","1","4931","0"
"4","4","121516","10:21:13","19","19","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","3123","0"
"5","5","121416","22:22:49","22","22","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","49","1","4325","0"
"6","6","121416","22:22:49","22","22","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","2774","0"
"7","7","121416","21:22:03","21","21","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","24","1","2682","0"
"8","8","121416","21:22:03","21","21","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","2317","0"
"9","9","121416","22:20:59","6","6","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","25","1","3300","0"
"10","10","121416","22:20:59","6","6","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","Female","1","4005","0"
"11","11","121516","03:20:38","20","20","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","34","1","9716","0"
"12","12","121516","03:20:38","20","20","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","2819","0"
"13","13","121516","03:20:28","11","11","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","25 ","1","9113","0"
"14","14","121516","03:20:28","11","11","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","3223","0"
"15","15","121416","22:20:22","16","16","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","34","1","3886","0"
"16","16","121416","22:20:22","16","16","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","3619","0"
"17","17","121416","21:18:59","17","17","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","22","1","2944","0"
"18","18","121416","21:18:59","17","17","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","2879","0"
"19","19","121416","21:19:50","18","18","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","23","1","2547","0"
"20","20","121416","21:19:50","18","18","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","5987","0"
"21","21","121516","03:18:43","11","11","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","25","1","39385","0"
"22","22","121516","03:18:43","11","11","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","3121","0"
"23","23","121416","22:18:50","16","16","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","34","1","4382","0"
"24","24","121416","22:18:50","16","16","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","Female","1","9441","0"
"25","25","121416","21:17:53","13","13","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","23","1","2443","0"
"26","26","121416","21:17:53","13","13","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","3634","0"
"27","27","121416","22:18:15","7","7","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","61","1","6070","0"
"28","28","121416","22:18:15","7","7","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","6664","0"
"29","29","121516","14:18:30","15","15","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","38","1","2500","0"
"30","30","121516","14:18:30","15","15","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","2252","0"
"31","31","121516","03:18:04","3","3","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","41","1","3682","0"
"32","32","121516","03:18:04","3","3","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","Female","1","6620","0"
"33","33","121416","20:18:11","1","1","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","34","1","4437","0"
"34","34","121416","20:18:11","1","1","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","5184","0"
"35","35","121516","03:17:26","5","5","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","32","1","4950","0"
"36","36","121516","03:17:26","5","5","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","3684","0"
"37","37","121516","14:21:49","10","10","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","24","1","4117","0"
"38","38","121516","14:21:49","10","10","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","3366","0"
"39","39","121516","16:17:28","9","9","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","25","1","3346","0"
"40","40","121516","16:17:28","9","9","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","3046","0"
"41","41","121516","14:17:22","4","4","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","38","1","3831","0"
"42","42","121516","14:17:22","4","4","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","3251","0"
