"participant","trial_n","rating","IAT_condition","block_order","task_order","gender","age","modern_racism_scale_total","IAT_exclude_based_on_fast_trials"
182940083,1,3,"Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,2,4,"Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,3,4,"Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,4,3,"Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,5,4,"Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,6,5,"Race IAT","congruent","SCIAT first","female",49,16,FALSE
681508303,1,4,"Flowers-Insects IAT","congruent","SCIAT first","male",30,24,FALSE
681508303,2,5,"Flowers-Insects IAT","congruent","SCIAT first","male",30,24,FALSE
681508303,3,5,"Flowers-Insects IAT","congruent","SCIAT first","male",30,24,FALSE
681508303,4,4,"Flowers-Insects IAT","congruent","SCIAT first","male",30,24,FALSE
681508303,5,3,"Flowers-Insects IAT","congruent","SCIAT first","male",30,24,FALSE
681508303,6,5,"Flowers-Insects IAT","congruent","SCIAT first","male",30,24,FALSE
57250160,1,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",36,15,FALSE
57250160,2,5,"Flowers-Insects IAT","incongruent","SCIAT first","male",36,15,FALSE
57250160,3,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",36,15,FALSE
57250160,4,5,"Flowers-Insects IAT","incongruent","SCIAT first","male",36,15,FALSE
57250160,5,5,"Flowers-Insects IAT","incongruent","SCIAT first","male",36,15,FALSE
57250160,6,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",36,15,FALSE
563591600,1,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",33,16,FALSE
563591600,2,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",33,16,FALSE
563591600,3,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",33,16,FALSE
563591600,4,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",33,16,FALSE
563591600,5,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",33,16,FALSE
563591600,6,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",33,16,FALSE
7205392,1,5,"Flowers-Insects IAT","incongruent","SCIAT first","male",34,15,FALSE
