"participant","trial_n","rating","IAT_condition","block_order","task_order","gender","age","modern_racism_scale_total","IAT_exclude_based_on_fast_trials"
7205392,2,6,"Flowers-Insects IAT","incongruent","SCIAT first","male",34,15,FALSE
7205392,3,3,"Flowers-Insects IAT","incongruent","SCIAT first","male",34,15,FALSE
7205392,4,2,"Flowers-Insects IAT","incongruent","SCIAT first","male",34,15,FALSE
7205392,5,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",34,15,FALSE
7205392,6,3,"Flowers-Insects IAT","incongruent","SCIAT first","male",34,15,FALSE
730072246,1,2,"Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,2,2,"Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,3,1,"Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,4,4,"Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,5,3,"Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,6,5,"Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
27226757,1,5,"Flowers-Insects IAT","congruent","ratings first","female",25,14,FALSE
27226757,2,6,"Flowers-Insects IAT","congruent","ratings first","female",25,14,FALSE
27226757,3,6,"Flowers-Insects IAT","congruent","ratings first","female",25,14,FALSE
27226757,4,7,"Flowers-Insects IAT","congruent","ratings first","female",25,14,FALSE
27226757,5,6,"Flowers-Insects IAT","congruent","ratings first","female",25,14,FALSE
27226757,6,7,"Flowers-Insects IAT","congruent","ratings first","female",25,14,FALSE
255740741,1,2,"Flowers-Insects IAT","congruent","ratings first","female",29,12,FALSE
255740741,2,1,"Flowers-Insects IAT","congruent","ratings first","female",29,12,FALSE
255740741,3,2,"Flowers-Insects IAT","congruent","ratings first","female",29,12,FALSE
255740741,4,3,"Flowers-Insects IAT","congruent","ratings first","female",29,12,FALSE
255740741,5,2,"Flowers-Insects IAT","congruent","ratings first","female",29,12,FALSE
255740741,6,1,"Flowers-Insects IAT","congruent","ratings first","female",29,12,FALSE
770578037,1,4,"Flowers-Insects IAT","congruent","ratings first","female",31,13,FALSE
770578037,2,4,"Flowers-Insects IAT","congruent","ratings first","female",31,13,FALSE
770578037,3,4,"Flowers-Insects IAT","congruent","ratings first","female",31,13,FALSE
770578037,4,4,"Flowers-Insects IAT","congruent","ratings first","female",31,13,FALSE
770578037,5,4,"Flowers-Insects IAT","congruent","ratings first","female",31,13,FALSE
770578037,6,4,"Flowers-Insects IAT","congruent","ratings first","female",31,13,FALSE
837260989,1,4,"Flowers-Insects IAT","congruent","ratings first","female",31,22,FALSE
837260989,2,4,"Flowers-Insects IAT","congruent","ratings first","female",31,22,FALSE
837260989,3,4,"Flowers-Insects IAT","congruent","ratings first","female",31,22,FALSE
837260989,4,4,"Flowers-Insects IAT","congruent","ratings first","female",31,22,FALSE
837260989,5,4,"Flowers-Insects IAT","congruent","ratings first","female",31,22,FALSE
837260989,6,4,"Flowers-Insects IAT","congruent","ratings first","female",31,22,FALSE
657593060,1,7,"Race IAT","incongruent","SCIAT first","male",40,15,FALSE
657593060,2,6,"Race IAT","incongruent","SCIAT first","male",40,15,FALSE
657593060,3,7,"Race IAT","incongruent","SCIAT first","male",40,15,FALSE
657593060,4,6,"Race IAT","incongruent","SCIAT first","male",40,15,FALSE
657593060,5,5,"Race IAT","incongruent","SCIAT first","male",40,15,FALSE
657593060,6,5,"Race IAT","incongruent","SCIAT first","male",40,15,FALSE
325320975,1,5,"Flowers-Insects IAT","congruent","SCIAT first","male",45,17,FALSE
325320975,2,5,"Flowers-Insects IAT","congruent","SCIAT first","male",45,17,FALSE
325320975,3,5,"Flowers-Insects IAT","congruent","SCIAT first","male",45,17,FALSE
325320975,4,5,"Flowers-Insects IAT","congruent","SCIAT first","male",45,17,FALSE
325320975,5,5,"Flowers-Insects IAT","congruent","SCIAT first","male",45,17,FALSE
325320975,6,5,"Flowers-Insects IAT","congruent","SCIAT first","male",45,17,FALSE
148231489,1,7,"Race IAT","congruent","ratings first","female",28,20,FALSE
148231489,2,7,"Race IAT","congruent","ratings first","female",28,20,FALSE
148231489,3,7,"Race IAT","congruent","ratings first","female",28,20,FALSE
148231489,4,7,"Race IAT","congruent","ratings first","female",28,20,FALSE
148231489,5,7,"Race IAT","congruent","ratings first","female",28,20,FALSE
148231489,6,7,"Race IAT","congruent","ratings first","female",28,20,FALSE
238431888,1,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",40,21,FALSE
238431888,2,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",40,21,FALSE
238431888,3,5,"Flowers-Insects IAT","incongruent","SCIAT first","female",40,21,FALSE
238431888,4,5,"Flowers-Insects IAT","incongruent","SCIAT first","female",40,21,FALSE
238431888,5,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",40,21,FALSE
238431888,6,5,"Flowers-Insects IAT","incongruent","SCIAT first","female",40,21,FALSE
717194360,1,3,"Flowers-Insects IAT","incongruent","SCIAT first","female",50,22,FALSE
717194360,2,3,"Flowers-Insects IAT","incongruent","SCIAT first","female",50,22,FALSE
717194360,3,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",50,22,FALSE
717194360,4,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",50,22,FALSE
717194360,5,2,"Flowers-Insects IAT","incongruent","SCIAT first","female",50,22,FALSE
717194360,6,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",50,22,FALSE
991310004,1,4,"Race IAT","incongruent","SCIAT first","female",34,13,FALSE
991310004,2,4,"Race IAT","incongruent","SCIAT first","female",34,13,FALSE
991310004,3,4,"Race IAT","incongruent","SCIAT first","female",34,13,FALSE
991310004,4,4,"Race IAT","incongruent","SCIAT first","female",34,13,FALSE
991310004,5,4,"Race IAT","incongruent","SCIAT first","female",34,13,FALSE
991310004,6,4,"Race IAT","incongruent","SCIAT first","female",34,13,FALSE
739994208,1,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",28,16,FALSE
739994208,2,5,"Flowers-Insects IAT","incongruent","SCIAT first","female",28,16,FALSE
739994208,3,3,"Flowers-Insects IAT","incongruent","SCIAT first","female",28,16,FALSE
739994208,4,5,"Flowers-Insects IAT","incongruent","SCIAT first","female",28,16,FALSE
739994208,5,3,"Flowers-Insects IAT","incongruent","SCIAT first","female",28,16,FALSE
739994208,6,5,"Flowers-Insects IAT","incongruent","SCIAT first","female",28,16,FALSE
742227168,1,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",21,21,FALSE
742227168,2,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",21,21,FALSE
742227168,3,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",21,21,FALSE
742227168,4,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",21,21,FALSE
742227168,5,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",21,21,FALSE
742227168,6,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",21,21,FALSE
955145745,1,5,"Race IAT","congruent","ratings first","male",59,17,FALSE
955145745,2,5,"Race IAT","congruent","ratings first","male",59,17,FALSE
955145745,3,5,"Race IAT","congruent","ratings first","male",59,17,FALSE
955145745,4,5,"Race IAT","congruent","ratings first","male",59,17,FALSE
955145745,5,6,"Race IAT","congruent","ratings first","male",59,17,FALSE
955145745,6,6,"Race IAT","congruent","ratings first","male",59,17,FALSE
772374929,1,4,"Race IAT","congruent","ratings first","53",53,18,FALSE
772374929,2,4,"Race IAT","congruent","ratings first","53",53,18,FALSE
772374929,3,4,"Race IAT","congruent","ratings first","53",53,18,FALSE
772374929,4,4,"Race IAT","congruent","ratings first","53",53,18,FALSE
772374929,5,4,"Race IAT","congruent","ratings first","53",53,18,FALSE
772374929,6,4,"Race IAT","congruent","ratings first","53",53,18,FALSE
942733821,1,4,"Flowers-Insects IAT","congruent","ratings first","male",23,19,TRUE
942733821,2,5,"Flowers-Insects IAT","congruent","ratings first","male",23,19,TRUE
942733821,3,3,"Flowers-Insects IAT","congruent","ratings first","male",23,19,TRUE
942733821,4,2,"Flowers-Insects IAT","congruent","ratings first","male",23,19,TRUE
942733821,5,3,"Flowers-Insects IAT","congruent","ratings first","male",23,19,TRUE
942733821,6,4,"Flowers-Insects IAT","congruent","ratings first","male",23,19,TRUE
366442872,1,5,"Flowers-Insects IAT","incongruent","SCIAT first","female",33,11,FALSE
366442872,2,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",33,11,FALSE
366442872,3,6,"Flowers-Insects IAT","incongruent","SCIAT first","female",33,11,FALSE
366442872,4,6,"Flowers-Insects IAT","incongruent","SCIAT first","female",33,11,FALSE
366442872,5,6,"Flowers-Insects IAT","incongruent","SCIAT first","female",33,11,FALSE
366442872,6,6,"Flowers-Insects IAT","incongruent","SCIAT first","female",33,11,FALSE
935323645,1,4,"Flowers-Insects IAT","congruent","ratings first","female",NA,14,FALSE
935323645,2,4,"Flowers-Insects IAT","congruent","ratings first","female",NA,14,FALSE
935323645,3,5,"Flowers-Insects IAT","congruent","ratings first","female",NA,14,FALSE
935323645,4,3,"Flowers-Insects IAT","congruent","ratings first","female",NA,14,FALSE
935323645,5,5,"Flowers-Insects IAT","congruent","ratings first","female",NA,14,FALSE
935323645,6,5,"Flowers-Insects IAT","congruent","ratings first","female",NA,14,FALSE
525408622,1,4,"Flowers-Insects IAT","incongruent","ratings first","male",48,16,FALSE
525408622,2,4,"Flowers-Insects IAT","incongruent","ratings first","male",48,16,FALSE
525408622,3,4,"Flowers-Insects IAT","incongruent","ratings first","male",48,16,FALSE
525408622,4,4,"Flowers-Insects IAT","incongruent","ratings first","male",48,16,FALSE
525408622,5,4,"Flowers-Insects IAT","incongruent","ratings first","male",48,16,FALSE
525408622,6,4,"Flowers-Insects IAT","incongruent","ratings first","male",48,16,FALSE
41400304,1,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",21,16,FALSE
41400304,2,6,"Flowers-Insects IAT","incongruent","SCIAT first","male",21,16,FALSE
41400304,3,7,"Flowers-Insects IAT","incongruent","SCIAT first","male",21,16,FALSE
41400304,4,7,"Flowers-Insects IAT","incongruent","SCIAT first","male",21,16,FALSE
41400304,5,7,"Flowers-Insects IAT","incongruent","SCIAT first","male",21,16,FALSE
41400304,6,5,"Flowers-Insects IAT","incongruent","SCIAT first","male",21,16,FALSE
147347378,1,7,"Race IAT","incongruent","ratings first","female",52,14,FALSE
147347378,2,7,"Race IAT","incongruent","ratings first","female",52,14,FALSE
147347378,3,7,"Race IAT","incongruent","ratings first","female",52,14,FALSE
147347378,4,7,"Race IAT","incongruent","ratings first","female",52,14,FALSE
147347378,5,7,"Race IAT","incongruent","ratings first","female",52,14,FALSE
147347378,6,7,"Race IAT","incongruent","ratings first","female",52,14,FALSE
259778364,1,4,"Race IAT","incongruent","SCIAT first","male",20,14,FALSE
259778364,2,4,"Race IAT","incongruent","SCIAT first","male",20,14,FALSE
259778364,3,4,"Race IAT","incongruent","SCIAT first","male",20,14,FALSE
259778364,4,4,"Race IAT","incongruent","SCIAT first","male",20,14,FALSE
259778364,5,4,"Race IAT","incongruent","SCIAT first","male",20,14,FALSE
259778364,6,3,"Race IAT","incongruent","SCIAT first","male",20,14,FALSE
605606673,1,4,"Race IAT","congruent","ratings first","female",27,18,FALSE
605606673,2,5,"Race IAT","congruent","ratings first","female",27,18,FALSE
605606673,3,4,"Race IAT","congruent","ratings first","female",27,18,FALSE
605606673,4,5,"Race IAT","congruent","ratings first","female",27,18,FALSE
605606673,5,4,"Race IAT","congruent","ratings first","female",27,18,FALSE
605606673,6,4,"Race IAT","congruent","ratings first","female",27,18,FALSE
472641427,1,6,"Race IAT","congruent","SCIAT first","male",40,29,FALSE
472641427,2,6,"Race IAT","congruent","SCIAT first","male",40,29,FALSE
472641427,3,6,"Race IAT","congruent","SCIAT first","male",40,29,FALSE
472641427,4,6,"Race IAT","congruent","SCIAT first","male",40,29,FALSE
472641427,5,5,"Race IAT","congruent","SCIAT first","male",40,29,FALSE
472641427,6,5,"Race IAT","congruent","SCIAT first","male",40,29,FALSE
295372062,1,4,"Flowers-Insects IAT","incongruent","ratings first","male",27,17,FALSE
295372062,2,4,"Flowers-Insects IAT","incongruent","ratings first","male",27,17,FALSE
295372062,3,4,"Flowers-Insects IAT","incongruent","ratings first","male",27,17,FALSE
295372062,4,4,"Flowers-Insects IAT","incongruent","ratings first","male",27,17,FALSE
295372062,5,4,"Flowers-Insects IAT","incongruent","ratings first","male",27,17,FALSE
295372062,6,4,"Flowers-Insects IAT","incongruent","ratings first","male",27,17,FALSE
632173056,1,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",19,11,FALSE
632173056,2,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",19,11,FALSE
632173056,3,5,"Flowers-Insects IAT","incongruent","SCIAT first","female",19,11,FALSE
632173056,4,5,"Flowers-Insects IAT","incongruent","SCIAT first","female",19,11,FALSE
632173056,5,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",19,11,FALSE
632173056,6,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",19,11,FALSE
833121121,1,5,"Race IAT","congruent","ratings first","female",28,18,FALSE
833121121,2,7,"Race IAT","congruent","ratings first","female",28,18,FALSE
833121121,3,4,"Race IAT","congruent","ratings first","female",28,18,FALSE
833121121,4,4,"Race IAT","congruent","ratings first","female",28,18,FALSE
833121121,5,5,"Race IAT","congruent","ratings first","female",28,18,FALSE
833121121,6,3,"Race IAT","congruent","ratings first","female",28,18,FALSE
287391307,1,5,"Race IAT","congruent","SCIAT first","non-binary",24,11,FALSE
287391307,2,5,"Race IAT","congruent","SCIAT first","non-binary",24,11,FALSE
287391307,3,6,"Race IAT","congruent","SCIAT first","non-binary",24,11,FALSE
287391307,4,5,"Race IAT","congruent","SCIAT first","non-binary",24,11,FALSE
287391307,5,6,"Race IAT","congruent","SCIAT first","non-binary",24,11,FALSE
287391307,6,4,"Race IAT","congruent","SCIAT first","non-binary",24,11,FALSE
34712061,1,4,"Flowers-Insects IAT","congruent","ratings first","female",50,19,FALSE
34712061,2,4,"Flowers-Insects IAT","congruent","ratings first","female",50,19,FALSE
34712061,3,4,"Flowers-Insects IAT","congruent","ratings first","female",50,19,FALSE
34712061,4,4,"Flowers-Insects IAT","congruent","ratings first","female",50,19,FALSE
34712061,5,5,"Flowers-Insects IAT","congruent","ratings first","female",50,19,FALSE
34712061,6,3,"Flowers-Insects IAT","congruent","ratings first","female",50,19,FALSE
649334898,1,4,"Race IAT","incongruent","ratings first","male",48,13,FALSE
649334898,2,4,"Race IAT","incongruent","ratings first","male",48,13,FALSE
649334898,3,4,"Race IAT","incongruent","ratings first","male",48,13,FALSE
649334898,4,4,"Race IAT","incongruent","ratings first","male",48,13,FALSE
649334898,5,4,"Race IAT","incongruent","ratings first","male",48,13,FALSE
649334898,6,4,"Race IAT","incongruent","ratings first","male",48,13,FALSE
253556644,1,4,"Race IAT","incongruent","SCIAT first","male",21,21,FALSE
253556644,2,3,"Race IAT","incongruent","SCIAT first","male",21,21,FALSE
253556644,3,3,"Race IAT","incongruent","SCIAT first","male",21,21,FALSE
253556644,4,3,"Race IAT","incongruent","SCIAT first","male",21,21,FALSE
253556644,5,4,"Race IAT","incongruent","SCIAT first","male",21,21,FALSE
253556644,6,5,"Race IAT","incongruent","SCIAT first","male",21,21,FALSE
563438230,1,4,"Flowers-Insects IAT","incongruent","ratings first","female",30,22,FALSE
563438230,2,4,"Flowers-Insects IAT","incongruent","ratings first","female",30,22,FALSE
563438230,3,4,"Flowers-Insects IAT","incongruent","ratings first","female",30,22,FALSE
563438230,4,4,"Flowers-Insects IAT","incongruent","ratings first","female",30,22,FALSE
563438230,5,4,"Flowers-Insects IAT","incongruent","ratings first","female",30,22,FALSE
563438230,6,4,"Flowers-Insects IAT","incongruent","ratings first","female",30,22,FALSE
966998928,1,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",19,16,FALSE
966998928,2,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",19,16,FALSE
966998928,3,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",19,16,FALSE
966998928,4,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",19,16,FALSE
966998928,5,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",19,16,FALSE
966998928,6,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",19,16,FALSE
862429627,1,4,"Race IAT","congruent","SCIAT first","male",61,20,FALSE
862429627,2,4,"Race IAT","congruent","SCIAT first","male",61,20,FALSE
862429627,3,4,"Race IAT","congruent","SCIAT first","male",61,20,FALSE
862429627,4,4,"Race IAT","congruent","SCIAT first","male",61,20,FALSE
862429627,5,4,"Race IAT","congruent","SCIAT first","male",61,20,FALSE
862429627,6,4,"Race IAT","congruent","SCIAT first","male",61,20,FALSE
402124967,1,4,"Flowers-Insects IAT","congruent","SCIAT first","male",40,17,FALSE
402124967,2,4,"Flowers-Insects IAT","congruent","SCIAT first","male",40,17,FALSE
402124967,3,4,"Flowers-Insects IAT","congruent","SCIAT first","male",40,17,FALSE
402124967,4,4,"Flowers-Insects IAT","congruent","SCIAT first","male",40,17,FALSE
402124967,5,4,"Flowers-Insects IAT","congruent","SCIAT first","male",40,17,FALSE
402124967,6,4,"Flowers-Insects IAT","congruent","SCIAT first","male",40,17,FALSE
647554123,1,7,"Race IAT","congruent","SCIAT first","female",37,16,FALSE
647554123,2,6,"Race IAT","congruent","SCIAT first","female",37,16,FALSE
647554123,3,6,"Race IAT","congruent","SCIAT first","female",37,16,FALSE
647554123,4,6,"Race IAT","congruent","SCIAT first","female",37,16,FALSE
647554123,5,6,"Race IAT","congruent","SCIAT first","female",37,16,FALSE
647554123,6,6,"Race IAT","congruent","SCIAT first","female",37,16,FALSE
610168744,1,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",28,17,FALSE
610168744,2,5,"Flowers-Insects IAT","incongruent","SCIAT first","male",28,17,FALSE
610168744,3,6,"Flowers-Insects IAT","incongruent","SCIAT first","male",28,17,FALSE
610168744,4,5,"Flowers-Insects IAT","incongruent","SCIAT first","male",28,17,FALSE
610168744,5,5,"Flowers-Insects IAT","incongruent","SCIAT first","male",28,17,FALSE
610168744,6,5,"Flowers-Insects IAT","incongruent","SCIAT first","male",28,17,FALSE
937860201,1,6,"Race IAT","congruent","ratings first","female",20,12,FALSE
937860201,2,6,"Race IAT","congruent","ratings first","female",20,12,FALSE
937860201,3,6,"Race IAT","congruent","ratings first","female",20,12,FALSE
937860201,4,6,"Race IAT","congruent","ratings first","female",20,12,FALSE
937860201,5,6,"Race IAT","congruent","ratings first","female",20,12,FALSE
937860201,6,6,"Race IAT","congruent","ratings first","female",20,12,FALSE
291388118,1,5,"Flowers-Insects IAT","incongruent","ratings first","male",22,14,FALSE
291388118,2,5,"Flowers-Insects IAT","incongruent","ratings first","male",22,14,FALSE
291388118,3,5,"Flowers-Insects IAT","incongruent","ratings first","male",22,14,FALSE
291388118,4,5,"Flowers-Insects IAT","incongruent","ratings first","male",22,14,FALSE
291388118,5,5,"Flowers-Insects IAT","incongruent","ratings first","male",22,14,FALSE
291388118,6,4,"Flowers-Insects IAT","incongruent","ratings first","male",22,14,FALSE
387423690,1,4,"Race IAT","incongruent","ratings first","female",56,14,FALSE
387423690,2,4,"Race IAT","incongruent","ratings first","female",56,14,FALSE
387423690,3,4,"Race IAT","incongruent","ratings first","female",56,14,FALSE
387423690,4,4,"Race IAT","incongruent","ratings first","female",56,14,FALSE
387423690,5,4,"Race IAT","incongruent","ratings first","female",56,14,FALSE
387423690,6,4,"Race IAT","incongruent","ratings first","female",56,14,FALSE
339116986,1,7,"Race IAT","incongruent","ratings first","male",21,25,FALSE
339116986,2,7,"Race IAT","incongruent","ratings first","male",21,25,FALSE
339116986,3,7,"Race IAT","incongruent","ratings first","male",21,25,FALSE
339116986,4,7,"Race IAT","incongruent","ratings first","male",21,25,FALSE
339116986,5,7,"Race IAT","incongruent","ratings first","male",21,25,FALSE
339116986,6,7,"Race IAT","incongruent","ratings first","male",21,25,FALSE
145596673,1,4,"Race IAT","congruent","ratings first","female",24,23,FALSE
145596673,2,4,"Race IAT","congruent","ratings first","female",24,23,FALSE
145596673,3,4,"Race IAT","congruent","ratings first","female",24,23,FALSE
145596673,4,4,"Race IAT","congruent","ratings first","female",24,23,FALSE
145596673,5,4,"Race IAT","congruent","ratings first","female",24,23,FALSE
145596673,6,4,"Race IAT","congruent","ratings first","female",24,23,FALSE
258125975,1,5,"Flowers-Insects IAT","congruent","SCIAT first","male",21,18,FALSE
258125975,2,3,"Flowers-Insects IAT","congruent","SCIAT first","male",21,18,FALSE
258125975,3,3,"Flowers-Insects IAT","congruent","SCIAT first","male",21,18,FALSE
258125975,4,5,"Flowers-Insects IAT","congruent","SCIAT first","male",21,18,FALSE
258125975,5,4,"Flowers-Insects IAT","congruent","SCIAT first","male",21,18,FALSE
258125975,6,5,"Flowers-Insects IAT","congruent","SCIAT first","male",21,18,FALSE
44646583,1,6,"Flowers-Insects IAT","congruent","SCIAT first","male",52,20,FALSE
44646583,2,7,"Flowers-Insects IAT","congruent","SCIAT first","male",52,20,FALSE
44646583,3,5,"Flowers-Insects IAT","congruent","SCIAT first","male",52,20,FALSE
44646583,4,6,"Flowers-Insects IAT","congruent","SCIAT first","male",52,20,FALSE
44646583,5,6,"Flowers-Insects IAT","congruent","SCIAT first","male",52,20,FALSE
44646583,6,7,"Flowers-Insects IAT","congruent","SCIAT first","male",52,20,FALSE
485218603,1,6,"Race IAT","congruent","SCIAT first","male",36,20,FALSE
485218603,2,6,"Race IAT","congruent","SCIAT first","male",36,20,FALSE
485218603,3,6,"Race IAT","congruent","SCIAT first","male",36,20,FALSE
485218603,4,6,"Race IAT","congruent","SCIAT first","male",36,20,FALSE
485218603,5,6,"Race IAT","congruent","SCIAT first","male",36,20,FALSE
485218603,6,6,"Race IAT","congruent","SCIAT first","male",36,20,FALSE
468462502,1,4,"Flowers-Insects IAT","incongruent","ratings first","female",32,22,FALSE
468462502,2,4,"Flowers-Insects IAT","incongruent","ratings first","female",32,22,FALSE
468462502,3,4,"Flowers-Insects IAT","incongruent","ratings first","female",32,22,FALSE
468462502,4,4,"Flowers-Insects IAT","incongruent","ratings first","female",32,22,FALSE
468462502,5,4,"Flowers-Insects IAT","incongruent","ratings first","female",32,22,FALSE
468462502,6,4,"Flowers-Insects IAT","incongruent","ratings first","female",32,22,FALSE
575082229,1,5,"Flowers-Insects IAT","congruent","ratings first","female",42,15,FALSE
575082229,2,6,"Flowers-Insects IAT","congruent","ratings first","female",42,15,FALSE
575082229,3,6,"Flowers-Insects IAT","congruent","ratings first","female",42,15,FALSE
575082229,4,5,"Flowers-Insects IAT","congruent","ratings first","female",42,15,FALSE
575082229,5,6,"Flowers-Insects IAT","congruent","ratings first","female",42,15,FALSE
575082229,6,5,"Flowers-Insects IAT","congruent","ratings first","female",42,15,FALSE
174790887,1,4,"Flowers-Insects IAT","congruent","SCIAT first","male",34,20,FALSE
174790887,2,4,"Flowers-Insects IAT","congruent","SCIAT first","male",34,20,FALSE
174790887,3,4,"Flowers-Insects IAT","congruent","SCIAT first","male",34,20,FALSE
174790887,4,4,"Flowers-Insects IAT","congruent","SCIAT first","male",34,20,FALSE
174790887,5,4,"Flowers-Insects IAT","congruent","SCIAT first","male",34,20,FALSE
174790887,6,4,"Flowers-Insects IAT","congruent","SCIAT first","male",34,20,FALSE
550467416,1,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",47,14,FALSE
550467416,2,5,"Flowers-Insects IAT","incongruent","SCIAT first","female",47,14,FALSE
550467416,3,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",47,14,FALSE
550467416,4,6,"Flowers-Insects IAT","incongruent","SCIAT first","female",47,14,FALSE
550467416,5,5,"Flowers-Insects IAT","incongruent","SCIAT first","female",47,14,FALSE
550467416,6,6,"Flowers-Insects IAT","incongruent","SCIAT first","female",47,14,FALSE
354050540,1,6,"Race IAT","incongruent","SCIAT first","female",41,25,FALSE
354050540,2,6,"Race IAT","incongruent","SCIAT first","female",41,25,FALSE
354050540,3,6,"Race IAT","incongruent","SCIAT first","female",41,25,FALSE
354050540,4,6,"Race IAT","incongruent","SCIAT first","female",41,25,FALSE
354050540,5,6,"Race IAT","incongruent","SCIAT first","female",41,25,FALSE
354050540,6,6,"Race IAT","incongruent","SCIAT first","female",41,25,FALSE
365496626,1,4,"Race IAT","incongruent","ratings first","female",26,15,FALSE
365496626,2,4,"Race IAT","incongruent","ratings first","female",26,15,FALSE
365496626,3,4,"Race IAT","incongruent","ratings first","female",26,15,FALSE
365496626,4,4,"Race IAT","incongruent","ratings first","female",26,15,FALSE
365496626,5,4,"Race IAT","incongruent","ratings first","female",26,15,FALSE
365496626,6,4,"Race IAT","incongruent","ratings first","female",26,15,FALSE
45824312,1,6,"Flowers-Insects IAT","incongruent","SCIAT first","female",37,12,FALSE
45824312,2,6,"Flowers-Insects IAT","incongruent","SCIAT first","female",37,12,FALSE
45824312,3,6,"Flowers-Insects IAT","incongruent","SCIAT first","female",37,12,FALSE
45824312,4,6,"Flowers-Insects IAT","incongruent","SCIAT first","female",37,12,FALSE
45824312,5,6,"Flowers-Insects IAT","incongruent","SCIAT first","female",37,12,FALSE
45824312,6,5,"Flowers-Insects IAT","incongruent","SCIAT first","female",37,12,FALSE
116822016,1,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",31,23,FALSE
116822016,2,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",31,23,FALSE
