"participant","condition","IAT_condition","block_order","task_order","gender","age","mean_rating","IAT_D1","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","percentage.Hit","percentage.FA","d","c","shooter_mean_RT","shooter_perc_acc","modern_racism_scale_total"
525408622,6,"Flowers-Insects IAT","incongruent","ratings first","male",48,4,1.209,841,0.96,FALSE,0.974,0.029,3.827,-0.024,657,0.97,16
535315539,3,"Race IAT","congruent","SCIAT first","female",54,4.33,0.154,773,0.92,FALSE,0.875,0.243,1.846,-0.227,671,0.82,13
539375907,3,"Race IAT","congruent","SCIAT first","male",24,4.17,0.55,534,0.83,FALSE,0.975,0.079,3.372,-0.274,603,0.95,24
540105130,2,"Race IAT","incongruent","ratings first","male",23,3.83,0.776,812,0.95,FALSE,0.974,0.006,4.447,0.274,633,0.99,21
542218727,7,"Flowers-Insects IAT","congruent","SCIAT first","female",54,3.33,0.909,908,1,FALSE,0.895,0.133,2.363,-0.071,632,0.88,15
549996272,8,"Flowers-Insects IAT","incongruent","SCIAT first","female ",47,4,1.181,757,0.87,FALSE,0.737,0.176,1.563,0.148,664,0.78,19
550467416,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",47,5,0.859,985,0.94,FALSE,0.795,0.135,1.926,0.139,635,0.83,14
561545994,2,"Race IAT","incongruent","ratings first","male",35,4.33,0.501,812,0.92,FALSE,0.969,0.043,3.574,-0.076,746,0.96,15
561714654,6,"Flowers-Insects IAT","incongruent","ratings first","female",59,4.17,0.939,1139,0.96,FALSE,0.892,0.206,2.057,-0.208,637,0.85,14
563072740,4,"Race IAT","incongruent","SCIAT first","female",33,4,-0.034,939,0.98,FALSE,0.872,0.026,3.084,0.407,642,0.92,20
563438230,6,"Flowers-Insects IAT","incongruent","ratings first","female",30,4,0.157,618,0.87,FALSE,0.872,0.025,3.095,0.413,580,0.92,22
563591600,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",33,4,0.733,776,0.86,FALSE,0.994,0.051,4.13,-0.433,626,0.97,16
569594414,6,"Flowers-Insects IAT","incongruent","ratings first","female",39,5.17,-0.112,946,0.94,FALSE,0.973,0.026,3.864,0.006,640,0.97,11
573871758,6,"Flowers-Insects IAT","incongruent","ratings first","female",45,4,0.254,641,0.98,FALSE,0.9,0.135,2.384,-0.09,616,0.88,17
575082229,5,"Flowers-Insects IAT","congruent","ratings first","female",42,5.5,1.249,716,0.93,FALSE,0.441,0.206,0.673,0.484,716,0.62,15
582207697,1,"Race IAT","congruent","ratings first","female",30,5.5,0.401,770,0.94,FALSE,0.872,0.026,3.084,0.407,628,0.92,15
583883014,6,"Flowers-Insects IAT","incongruent","ratings first","male",32,4,0.238,917,0.99,FALSE,0.974,0.028,3.864,-0.017,643,0.97,28
584437081,1,"Race IAT","congruent","ratings first","male",34,4,-0.303,907,0.88,FALSE,0.919,0.029,3.3,0.252,699,0.94,21
593643129,1,"Race IAT","congruent","ratings first","female",51,4.67,0.784,843,1,FALSE,0.824,0.179,1.85,-0.004,632,0.82,13
599385267,3,"Race IAT","congruent","SCIAT first","male",20,5.33,0.149,1229,0.92,FALSE,0.906,0.08,2.723,0.044,743,0.91,15
599651811,3,"Race IAT","congruent","SCIAT first","female",39,4,0.802,749,0.9,FALSE,0.895,0.421,1.451,-0.526,555,0.74,18
605606673,1,"Race IAT","congruent","ratings first","female",27,4.33,0.639,925,0.94,FALSE,0.949,0.026,3.582,0.158,665,0.96,18
605886233,1,"Race IAT","congruent","ratings first","female",55,4.17,0.414,766,0.94,FALSE,0.975,0.027,3.886,-0.017,654,0.97,15
609200910,6,"Flowers-Insects IAT","incongruent","ratings first","male",21,3.83,0.299,896,0.98,FALSE,0.974,0.027,3.876,-0.011,638,0.97,18
610168744,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",28,5,0.432,717,1,FALSE,0.95,0.075,3.084,-0.103,582,0.94,17
613796132,4,"Race IAT","incongruent","SCIAT first","female",31,4,0.436,1286,0.82,FALSE,0.862,0.577,0.896,-0.642,636,0.65,19
614502488,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",42,4,0.817,995,0.86,FALSE,0.8,0.189,1.723,0.02,621,0.81,20
619115057,1,"Race IAT","congruent","ratings first","female",26,5.33,0.299,938,0.93,FALSE,0.875,0.077,2.576,0.138,625,0.9,16
620965256,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",44,4.33,0.512,776,0.97,FALSE,0.974,0.053,3.569,-0.165,657,0.96,15
632173056,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",19,4.33,0.573,909,0.92,FALSE,0.684,0.075,1.919,0.48,539,0.81,11
641206241,1,"Race IAT","congruent","ratings first","female",24,4.17,0.522,668,0.93,FALSE,0.949,0.256,2.287,-0.489,586,0.85,15
641734445,5,"Flowers-Insects IAT","congruent","ratings first","female",20,7,-0.024,226,0.5,TRUE,0.919,0.083,2.781,-0.007,631,0.92,28
644775899,3,"Race IAT","congruent","SCIAT first","female",39,4,0.785,776,0.89,FALSE,0.923,0.243,2.122,-0.365,576,0.84,19
647554123,3,"Race IAT","congruent","SCIAT first","female",37,6.17,0.025,1101,0.97,FALSE,0.974,0.081,3.347,-0.276,656,0.95,16
649334898,2,"Race IAT","incongruent","ratings first","male",48,4,0.141,1634,0.96,FALSE,0.921,0.139,2.498,-0.163,634,0.89,13
654331958,6,"Flowers-Insects IAT","incongruent","ratings first","female",35,3.67,0.087,730,0.84,FALSE,0.778,0.231,1.501,-0.014,633,0.77,24
657593060,4,"Race IAT","incongruent","SCIAT first","male",40,6,0.627,926,0.9,FALSE,0.974,0.051,3.57,-0.153,600,0.96,15
657636043,3,"Race IAT","congruent","SCIAT first","female",31,5,0.073,926,0.97,FALSE,0.868,0.029,3.021,0.392,639,0.92,13
664316323,3,"Race IAT","congruent","SCIAT first","female",32,4,1.004,826,0.93,FALSE,0.75,0.25,1.349,0,563,0.75,18
666581979,3,"Race IAT","congruent","SCIAT first","female",25,4,0.48,701,0.94,FALSE,0.923,0.05,3.071,0.109,622,0.94,22
667960884,4,"Race IAT","incongruent","SCIAT first","male",34,4.83,0.191,1069,0.98,FALSE,0.882,0.056,2.78,0.203,704,0.91,15
675058712,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",54,4.17,0.902,1248,0.93,FALSE,0.821,0.2,1.759,-0.038,612,0.81,15
677718263,7,"Flowers-Insects IAT","congruent","SCIAT first","male",52,4,0.524,758,0.9,FALSE,0.718,0.179,1.494,0.17,614,0.77,13
678393096,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",32,4.17,0.237,572,0.85,FALSE,0.846,0.051,2.653,0.306,559,0.9,15
681508303,7,"Flowers-Insects IAT","congruent","SCIAT first","male",30,4.33,1.077,710,0.97,FALSE,0.994,0.006,4.995,0,644,1,24
682937112,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",30,4.5,0.515,923,0.77,FALSE,0.632,0.615,0.043,-0.315,455,0.51,15
683057198,6,"Flowers-Insects IAT","incongruent","ratings first","female",38,4,0.938,1150,0.97,FALSE,0.795,0.387,1.11,-0.268,659,0.71,13
688207919,7,"Flowers-Insects IAT","congruent","SCIAT first","female",53,4.83,0.836,927,0.96,FALSE,0.844,0.103,2.272,0.126,697,0.87,12
693171305,1,"Race IAT","congruent","ratings first","female",26,4,0.935,720,0.97,FALSE,0.925,0.158,2.443,-0.218,579,0.88,17
693366393,1,"Race IAT","congruent","ratings first","female",30,3.83,-0.275,142,0.48,TRUE,0.739,0.591,0.411,-0.435,193,0.58,15
700011012,4,"Race IAT","incongruent","SCIAT first","male",53,5,0.379,1059,0.95,FALSE,0.875,0.056,2.744,0.221,619,0.91,19
703624742,6,"Flowers-Insects IAT","incongruent","ratings first","female",33,6,0.7,868,0.99,FALSE,0.921,0.028,3.327,0.251,641,0.95,10
713936658,2,"Race IAT","incongruent","ratings first","female",65,4,0.443,1769,0.98,FALSE,0.778,0.381,1.068,-0.231,677,0.71,17
717194360,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",50,3.33,0.606,946,0.89,FALSE,0.69,0.63,0.164,-0.413,599,0.54,22
721300289,1,"Race IAT","congruent","ratings first","male",19,4.5,0.299,852,0.88,FALSE,0.994,0.027,4.424,-0.286,660,0.99,22
726661040,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",50,4.67,0.534,1180,0.99,FALSE,0.947,0.128,2.755,-0.242,648,0.91,17
728685931,3,"Race IAT","congruent","SCIAT first","male",47,4.67,0.124,900,0.99,FALSE,0.947,0.026,3.569,0.165,659,0.96,19
730072246,6,"Flowers-Insects IAT","incongruent","ratings first","male",21,2.83,0.184,536,0.74,TRUE,0.788,0.231,1.535,-0.031,673,0.78,20
732621860,4,"Race IAT","incongruent","SCIAT first","female",30,4,0.524,1073,0.92,FALSE,0.897,0.114,2.471,-0.032,653,0.89,15
738315478,6,"Flowers-Insects IAT","incongruent","ratings first","female",35,4,1.007,1009,0.96,FALSE,0.895,0.053,2.872,0.184,647,0.92,12
739994208,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",28,4.17,0.99,905,0.98,FALSE,0.923,0.051,3.059,0.103,568,0.94,16
742227168,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",21,4,0.779,758,0.96,FALSE,0.872,0.025,3.095,0.413,579,0.92,21
747800991,7,"Flowers-Insects IAT","congruent","SCIAT first","female",39,5,1.291,932,0.95,FALSE,0.925,0.105,2.692,-0.094,591,0.91,14
747839560,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",30,4,0.888,937,0.95,FALSE,0.925,0.026,3.377,0.249,637,0.95,16
748063977,1,"Race IAT","congruent","ratings first","female",48,5,0.541,680,0.95,FALSE,0.949,0.054,3.239,-0.013,631,0.95,19
749368071,7,"Flowers-Insects IAT","congruent","SCIAT first","female",41,4,1.18,941,0.96,FALSE,0.9,0.006,3.779,0.608,642,0.95,17
755258994,2,"Race IAT","incongruent","ratings first","female",28,4.5,0.538,825,0.98,FALSE,0.949,0.006,4.13,0.433,670,0.97,16
761338203,3,"Race IAT","congruent","SCIAT first","female",33,6,0.758,764,0.96,FALSE,0.825,0.128,2.07,0.1,634,0.85,20
770578037,5,"Flowers-Insects IAT","congruent","ratings first","female",31,4,0.744,940,0.93,FALSE,0.816,0.135,2.002,0.102,653,0.84,13
772374929,1,"Race IAT","congruent","ratings first","53",53,4,0.563,809,0.97,FALSE,0.973,0.121,3.095,-0.379,652,0.93,18
781128104,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",22,4.5,1.17,1003,0.86,FALSE,0.75,0.412,0.897,-0.226,628,0.67,15
787704087,7,"Flowers-Insects IAT","congruent","SCIAT first","male",46,6.17,0.918,806,0.94,FALSE,0.949,0.158,2.636,-0.315,601,0.9,11
792204798,6,"Flowers-Insects IAT","incongruent","ratings first","female",31,3.67,0.98,643,0.92,FALSE,0.895,0.075,2.692,0.094,634,0.91,14
811663184,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",30,5.33,0.515,581,0.97,FALSE,0.949,0.053,3.252,-0.006,639,0.95,15
817704898,2,"Race IAT","incongruent","ratings first","female",50,4.83,0.412,791,0.98,FALSE,0.526,0.447,0.198,0.033,427,0.54,15
