"subject","trialcode","values.itemnumber","correct","values.result","latency","Item","gun","Ethnicity","date","age_response","sex_response"
1,"GunBlack",9,1,"Hit",513,"bg09d","Gun","Arab-Muslim",101915,20,"männlich"
1,"GunWhite",15,1,"Hit",563,"bg15b","Gun","White",101915,20,"männlich"
1,"ObjectWhite",19,1,"CR",605,"bg19a","Object","White",101915,20,"männlich"
1,"ObjectWhite",16,1,"CR",693,"bg16a","Object","White",101915,20,"männlich"
1,"GunWhite",5,1,"Hit",843,"bg05b","Gun","White",101915,20,"männlich"
1,"GunWhite",6,0,"Miss",674,"bg06b","Gun","White",101915,20,"männlich"
1,"ObjectWhite",8,1,"CR",845,"bg08a","Object","White",101915,20,"männlich"
1,"GunWhite",18,1,"Hit",593,"bg18b","Gun","White",101915,20,"männlich"
1,"ObjectWhite",5,1,"CR",757,"bg05a","Object","White",101915,20,"männlich"
1,"ObjectBlack",2,1,"CR",708,"bg02c","Object","Arab-Muslim",101915,20,"männlich"
1,"ObjectWhite",14,1,"CR",733,"bg14a","Object","White",101915,20,"männlich"
1,"ObjectBlack",16,1,"CR",660,"bg16c","Object","Arab-Muslim",101915,20,"männlich"
1,"GunBlack",4,1,"Hit",614,"bg04d","Gun","Arab-Muslim",101915,20,"männlich"
1,"ObjectWhite",20,1,"CR",627,"bg20a","Object","White",101915,20,"männlich"
1,"GunWhite",13,1,"Hit",530,"bg13b","Gun","White",101915,20,"männlich"
1,"ObjectWhite",13,1,"CR",646,"bg13a","Object","White",101915,20,"männlich"
1,"GunBlack",2,1,"Hit",598,"bg02d","Gun","Arab-Muslim",101915,20,"männlich"
1,"ObjectBlack",18,1,"CR",633,"bg18c","Object","Arab-Muslim",101915,20,"männlich"
1,"ObjectBlack",6,0,"Noresponse",850,"bg06c","Object","Arab-Muslim",101915,20,"männlich"
1,"ObjectBlack",1,1,"CR",716,"bg01c","Object","Arab-Muslim",101915,20,"männlich"
2,"GunBlack",12,1,"Hit",610,"bg12d","Gun","Arab-Muslim",102015,21,"männlich"
2,"ObjectWhite",13,0,"FA",443,"bg13a","Object","White",102015,21,"männlich"
2,"GunWhite",10,1,"Hit",576,"bg10b","Gun","White",102015,21,"männlich"
2,"ObjectWhite",14,0,"FA",733,"bg14a","Object","White",102015,21,"männlich"
2,"ObjectBlack",11,1,"CR",738,"bg11c","Object","Arab-Muslim",102015,21,"männlich"
2,"GunWhite",4,1,"Hit",574,"bg04b","Gun","White",102015,21,"männlich"
2,"GunBlack",17,1,"Hit",603,"bg17d","Gun","Arab-Muslim",102015,21,"männlich"
2,"GunBlack",7,1,"Hit",583,"bg07d","Gun","Arab-Muslim",102015,21,"männlich"
2,"GunWhite",19,1,"Hit",675,"bg19b","Gun","White",102015,21,"männlich"
2,"ObjectWhite",20,1,"CR",635,"bg20a","Object","White",102015,21,"männlich"
2,"ObjectBlack",5,1,"CR",770,"bg05c","Object","Arab-Muslim",102015,21,"männlich"
2,"ObjectBlack",8,1,"CR",664,"bg08c","Object","Arab-Muslim",102015,21,"männlich"
2,"ObjectWhite",5,1,"CR",835,"bg05a","Object","White",102015,21,"männlich"
2,"ObjectBlack",13,1,"CR",780,"bg13c","Object","Arab-Muslim",102015,21,"männlich"
2,"GunWhite",20,1,"Hit",635,"bg20b","Gun","White",102015,21,"männlich"
2,"GunWhite",1,1,"Hit",595,"bg01b","Gun","White",102015,21,"männlich"
2,"GunWhite",3,1,"Hit",575,"bg03b","Gun","White",102015,21,"männlich"
2,"GunWhite",5,1,"Hit",717,"bg05b","Gun","White",102015,21,"männlich"
2,"GunBlack",5,1,"Hit",516,"bg05d","Gun","Arab-Muslim",102015,21,"männlich"
