"","V1","date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","windowcenter","trialduration","trialtimeout","blocktimeout","response","correct","latency","inwindow"
"1","1","122216","23:09:13","292","292","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","27","1","3076","0"
"2","2","122216","23:09:13","292","292","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","2750","0"
"3","3","122216","22:58:12","293","293","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","31","1","3986","0"
"4","4","122216","22:58:12","293","293","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","3571","0"
"5","5","122216","21:53:41","291","291","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","33","1","3826","0"
"6","6","122216","21:53:41","291","291","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","3465","0"
"7","7","122216","21:53:16","290","290","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","43","1","3070","0"
"8","8","122216","21:53:16","290","290","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","4771","0"
"9","9","122216","21:52:16","289","289","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","43","1","3993","0"
"10","10","122216","21:52:16","289","289","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","5304","0"
"11","11","122216","21:47:55","282","282","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","22","1","3344","0"
"12","12","122216","21:47:55","282","282","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","3560","0"
"13","13","122316","03:50:20","288","288","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","18","1","5648","0"
"14","14","122316","03:50:20","288","288","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","3617","0"
"15","15","122216","21:49:31","287","287","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","40","1","4098","0"
"16","16","122216","21:49:31","287","287","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","4107","0"
"17","17","122216","19:47:36","283","283","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","42","1","4347","0"
"18","18","122216","19:47:36","283","283","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","4049","0"
"19","19","122316","03:47:49","286","286","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","18","1","3773","0"
