"build","date","time","subject","blockcode","blocknum","trialcode","trialnum","stimulusitem1","response"
"4.0.9.0","122216","23:15:37","292","ratings","1","images","1","bm14_nc.jpg","2"
"4.0.9.0","122216","23:15:37","292","ratings","1","images","2","bf14_nc.jpg","4"
"4.0.9.0","122216","23:15:37","292","ratings","1","images","3","bf56_nc.jpg","4"
"4.0.9.0","122216","23:15:37","292","ratings","1","images","4","bm23_nc.jpg","3"
"4.0.9.0","122216","23:15:37","292","ratings","1","images","5","bm56_nc.jpg","4"
"4.0.9.0","122216","23:15:37","292","ratings","1","images","6","bf23_nc.jpg","4"
"4.0.9.0","122216","23:02:28","293","ratings","1","images","1","bm14_nc.jpg","6"
"4.0.9.0","122216","23:02:28","293","ratings","1","images","2","bf14_nc.jpg","6"
"4.0.9.0","122216","23:02:28","293","ratings","1","images","3","bf56_nc.jpg","5"
"4.0.9.0","122216","23:02:28","293","ratings","1","images","4","bm23_nc.jpg","5"
"4.0.9.0","122216","23:02:28","293","ratings","1","images","5","bf23_nc.jpg","6"
"4.0.9.0","122216","23:02:28","293","ratings","1","images","6","bm56_nc.jpg","7"
"4.0.9.0","122216","22:01:10","291","ratings","1","images","1","bf23_nc.jpg","6"
"4.0.9.0","122216","22:01:10","291","ratings","1","images","2","bm14_nc.jpg","6"
"4.0.9.0","122216","22:01:10","291","ratings","1","images","3","bm23_nc.jpg","6"
"4.0.9.0","122216","22:01:10","291","ratings","1","images","4","bf14_nc.jpg","6"
"4.0.9.0","122216","22:01:10","291","ratings","1","images","5","bm56_nc.jpg","6"
"4.0.9.0","122216","22:01:10","291","ratings","1","images","6","bf56_nc.jpg","6"
"4.0.9.0","122316","03:58:44","288","ratings","1","images","1","bm14_nc.jpg","4"
"4.0.9.0","122316","03:58:44","288","ratings","1","images","2","bf23_nc.jpg","5"
"4.0.9.0","122316","03:58:44","288","ratings","1","images","3","bf56_nc.jpg","6"
"4.0.9.0","122316","03:58:44","288","ratings","1","images","4","bm56_nc.jpg","4"
"4.0.9.0","122316","03:58:44","288","ratings","1","images","5","bf14_nc.jpg","3"
"4.0.9.0","122316","03:58:44","288","ratings","1","images","6","bm23_nc.jpg","3"
"4.0.9.0","122216","21:58:35","287","ratings","1","images","1","bm14_nc.jpg","5"
"4.0.9.0","122216","21:58:35","287","ratings","1","images","2","bm56_nc.jpg","6"
"4.0.9.0","122216","21:58:35","287","ratings","1","images","3","bf23_nc.jpg","5"
"4.0.9.0","122216","21:58:35","287","ratings","1","images","4","bf56_nc.jpg","6"
"4.0.9.0","122216","21:58:35","287","ratings","1","images","5","bm23_nc.jpg","3"
"4.0.9.0","122216","21:58:35","287","ratings","1","images","6","bf14_nc.jpg","6"
"4.0.9.0","122216","21:57:26","290","ratings","1","images","1","bf23_nc.jpg","1"
"4.0.9.0","122216","21:57:26","290","ratings","1","images","2","bf56_nc.jpg","1"
"4.0.9.0","122216","21:57:26","290","ratings","1","images","3","bm14_nc.jpg","1"
"4.0.9.0","122216","21:57:26","290","ratings","1","images","4","bm56_nc.jpg","1"
"4.0.9.0","122216","21:57:26","290","ratings","1","images","5","bm23_nc.jpg","1"
"4.0.9.0","122216","21:57:26","290","ratings","1","images","6","bf14_nc.jpg","1"
"4.0.9.0","122216","19:56:12","283","ratings","1","images","1","bf23_nc.jpg","3"
"4.0.9.0","122216","19:56:12","283","ratings","1","images","2","bf14_nc.jpg","3"
"4.0.9.0","122216","19:56:12","283","ratings","1","images","3","bm23_nc.jpg","3"
"4.0.9.0","122216","19:56:12","283","ratings","1","images","4","bm56_nc.jpg","3"
"4.0.9.0","122216","19:56:12","283","ratings","1","images","5","bm14_nc.jpg","3"
"4.0.9.0","122216","19:56:12","283","ratings","1","images","6","bf56_nc.jpg","3"
"4.0.9.0","122216","21:56:40","282","ratings","1","images","1","bm14_nc.jpg","4"
"4.0.9.0","122216","21:56:40","282","ratings","1","images","2","bf56_nc.jpg","4"
"4.0.9.0","122216","21:56:40","282","ratings","1","images","3","bf14_nc.jpg","4"
