"script.startdate","script.starttime","script.subjectid","script.groupid","script.elapsedtime","values.completed","expressions.m1","expressions.sd1","expressions.m2","expressions.sd2","expressions.d","expressions.latdiff","expressions.percentcorrect"
"122216","23:13:25","292","292","131574","1","562.3428571428571558499","170.0456789196792328767","553.4428571428571785873","123.1345011888331697492","-0.0601403363303172969","-8.8999999999999772626","91.4285714285714306016"
"122216","23:02:45","293","293","141730","1","601.7571428571428668874","252.3944138954574327727","714.0428571428570876378","528.3867828963406054754","0.2696582443509095706","112.2857142857142207504","79.2857142857142775938"
"122216","21:58:28","291","291","161579","1","747.671428571428577925","273.4579808449273059523","747.7857142857143344372","265.5828096441256320759","0.000425521801628449","0.1142857142857565123","93.5714285714285693984"
"122216","21:57:38","290","290","158405","1","794.6857142857143116998","353.2762413346123935298","699.0857142857142889625","152.3810767339037681722","-0.3472786739143269297","-95.6000000000000227374","95"
"122216","21:56:54","282","282","155712","1","678.6428571428571103752","284.7379693334281682837","696.2999999999999545253","283.8853795031583331365","0.0622989591813151375","17.6571428571428441501","95.7142857142857224062"
"122316","03:56:10","288","288","149085","1","587.2000000000000454747","142.8075222311384209206","665.5571428571428214127","312.3026512259108926628","0.3196646206956994529","78.357142857142775938","93.5714285714285693984"
"122216","21:55:52","287","287","157725","1","652.6428571428571103752","210.0953569363474287002","665.6000000000000227374","180.8177399274300398702","0.0663088795173538692","12.9571428571429123622","95"
"122216","22:51:48","281","281","337483","1","860.7285714285713993377","580.2088060277372960627","948.5","810.4763807589434918555","0.124737363133903989","87.7714285714286006623","94.2857142857142775938"
"122216","19:53:21","283","283","170702","1","823.4571428571429123622","340.1996296172562210813","729.6428571428571103752","214.9075996737099387701","-0.3264331249339962326","-93.814285714285801987","90"
"122316","03:53:32","286","286","148450","1","564.9857142857142662251","173.6113845242844035965","776.6000000000000227374","302.7240289127365713284","0.7901282593932824616","211.6142857142857565123","91.4285714285714306016"
"122316","03:53:12","284","284","160045","1","744.3142857142856883002","288.4985892943755061424","666.6857142857143116998","331.2213911236534045202","-0.2488748741981815504","-77.6285714285713766003","90"
"122216","22:50:53","279","279","201610","1","939.171428571428577925","499.1477656220308176671","1105.9285714285713311256","786.9172345008408910871","0.2519484774584698217","166.7571428571427532006","85.7142857142857081953"
"122216","21:49:57","278","278","132707","1","552.2428571428571331126","133.713996721564882364","572.1428571428571103752","143.8741686249327358382","0.1434272127276252917","19.8999999999999772626","93.5714285714285693984"
"122316","03:47:06","272","272","262318","1","1592.3333333333332575421","1450.0344384010402336571","976.5","391.2673110491753618589","-0.5602865868613764455","-615.8333333333332575421","83.5714285714285693984"
"122316","03:47:07","276","276","163909","1","679.6428571428571103752","226.3946813859248265999","690.9285714285714448124","232.1865392888121277792","0.0493790399657703036","11.2857142857143344372","97.8571428571428469922"
"122316","03:46:58","275","275","154583","1","725.9428571428571785873","323.3776849477297901103","639.0285714285714675498","150.4524549511511111177","-0.3407773031457740354","-86.9142857142857110375","93.5714285714285693984"
"122216","22:47:50","280","280","79890","1","155.2714285714285722406","136.3534326378786261103","135.1285714285714334437","89.1853502996682294679","-0.1747934066383031171","-20.1428571428571387969","47.8571428571428612031"
"122216","21:45:45","270","270","144019","1","546.3571428571428896248","115.8504828152650389939","683.6142857142857565123","143.1348095538053826203","0.9344305484359189951","137.2571428571428668874","97.8571428571428612031"
"122216","22:44:01","273","273","143941","1","583.5714285714285551876","227.7279441859233770629","583.1857142857143116998","159.5393089408013906905","-0.00196889540006355","-0.3857142857142434877","85.7142857142857081953"
"122216","22:43:08","271","271","191141","1","852.2285714285713993377","445.880765612127845543","675.2428571428571331126","240.5778933616452093247","-0.4811461250908540821","-176.9857142857142662251","96.4285714285714306016"
"122216","22:43:44","274","274","136195","1","584.2428571428571331126","230.1987443596552509462","584.5","221.2900090739345273505","0.001142985656168284","0.2571428571428668874","74.2857142857142918047"
"122216","22:42:10","268","268","144909","1","669.2714285714286006623","182.0865315418579086781","680.0142857142857337749","275.3138126668085305937","0.0461812854288845762","10.7428571428571331126","91.4285714285714306016"
"122216","20:40:05","269","269","113713","1","445.5142857142857337749","60.7922913823074466677","466.4714285714285892936","120.8592091948517435185","0.2185398924840838975","20.9571428571428555188","80.7142857142857224062"
"122316","02:50:55","266","266","167744","1","660.2000000000000454747","118.327303377697305109","656.3142857142856883002","77.738980365856463095","-0.0389467289025964766","-3.8857142857143571746","99.2857142857142918047"
"122216","18:14:01","264","264","191327","1","568.2285714285713993377","143.5932430920680644704","726.5285714285714675498","310.3588722859799418075","0.6239833768569424954","158.3000000000000682121","75"
"122216","21:08:30","259","259","164318","1","678.0571428571428214127","320.3624706943677438176","590.1857142857143116998","233.0885440303277391649","-0.310943029002546667","-87.8714285714285097129","93.5714285714285693984"
"122216","21:08:25","260","260","133501","1","568.5142857142857337749","239.441363301388093987","624.5142857142857337749","268.8590354672517719337","0.2194272724476246661","56","90.7142857142857081953"
"122216","21:05:07","249","249","219039","1","1135.6142857142856428254","1266.2011802152405834931","1095.6142857142856428254","923.1746940503675205036","-0.0362242680663023356","-40","91.4285714285714306016"
"122216","21:04:41","256","256","184993","1","847.3428571428571558499","560.496852199057116195","690.8999999999999772626","312.6432958417349823321","-0.3408735736972718922","-156.4428571428571501656","95"
"122216","21:03:31","251","251","156491","1","765.3571428571428896248","317.5726339702317773117","705","302.0247614380965615055","-0.194536498402607505","-60.3571428571428896248","97.8571428571428469922"
