"date","time","group","subject","build","amp_recognition_response","amp_recognition_latency",""
"041318","17:44:53","6","867752673","4.0.10.0","","1813",""
"041318","17:14:40","2","905831587","4.0.10.0","Only black faces","11945",""
"041318","17:29:00","7","767115399","4.0.10.0","Both white and black faces","11752",""
"041318","17:34:44","6","830748203","4.0.10.0","Both white and black faces","8723",""
"041318","12:59:31","1","231421624","4.0.10.0","Only black faces","17463",""
"041318","13:00:05","4","755961286","4.0.10.0","Only black faces","5869",""
"041318","10:02:48","7","442057301","4.0.10.0","Only black faces","9721",""
"041318","12:05:52","6","24129553","4.0.10.0","Only black faces","6599",""
"041318","18:14:20","8","284817422","4.0.10.0","Both white and black faces","23378",""
"041318","18:16:32","2","213541838","4.0.10.0","Only black faces","14375",""
"041318","18:19:50","3","650179091","4.0.10.0","Only black faces","15888",""
"041318","13:20:33","2","278872382","4.0.10.0","Only black faces","9751",""
"041318","18:21:35","7","209849636","4.0.10.0","Only black faces","8423",""
"041318","18:26:50","5","436533122","4.0.10.0","I don't know","9562",""
"041318","13:27:08","1","308675497","4.0.10.0","Only black faces","8197",""
"041318","18:29:19","7","39920667","4.0.10.0","Only black faces","8887",""
"041318","12:31:34","2","86938792","4.0.10.0","Only black faces","18235",""
"041318","13:33:33","7","711210983","4.0.10.0","Only black faces","20162",""
"041318","13:34:25","5","855240671","4.0.10.0","Both white and black faces","9854",""
"041318","12:34:25","1","766903329","4.0.10.0","Only black faces","11814",""
"041318","13:37:38","8","530436433","4.0.10.0","Both white and black faces","6509",""
"041318","10:37:54","3","426592903","4.0.10.0","I don't know","18994",""
"041318","13:39:32","8","998555993","4.0.10.0","Only black faces","19578",""
"041318","12:40:11","1","416358122","4.0.10.0","Only black faces","12141",""
"041318","18:41:21","2","601961149","4.0.10.0","Only black faces","13613",""
"041318","18:42:52","4","145924742","4.0.10.0","Only black faces","7595",""
"041318","18:43:53","5","236853641","4.0.10.0","Only black faces","41249",""
"041318","10:48:24","2","972375767","4.0.10.0","Only black faces","6953",""
"041318","12:53:05","8","878482895","4.0.10.0","Only black faces","29969",""
"041318","12:56:51","6","527775144","4.0.10.0","Both white and black faces","10203",""
"041318","14:02:52","1","389159334","4.0.10.0","Both white and black faces","18329",""
"041318","19:03:55","3","854706704","4.0.10.0","I don't know","15956",""
"041318","19:05:37","8","223782864","4.0.10.0","Only black faces","14077",""
"041318","19:07:33","4","568135332","4.0.10.0","Only black faces","9986",""
"041318","19:10:13","5","355103961","4.0.10.0","Only black faces","9757",""
"041318","13:14:36","8","381268263","4.0.10.0","Only black faces","4995",""
"041318","19:14:35","3","706020134","4.0.10.0","I don't know","13835",""
"041318","14:15:20","1","576027034","4.0.10.0","Both white and black faces","18362",""
"041318","14:16:12","7","367057467","4.0.10.0","Only black faces","22854",""
"041318","11:18:15","6","286215415","4.0.10.0","Both white and black faces","7753",""
"041318","13:18:43","7","310573074","4.0.10.0","Only black faces","8366",""
"041318","19:22:47","2","995007062","4.0.10.0","Both white and black faces","14444",""
"041318","14:23:24","1","932005119","4.0.10.0","I don't know","23807",""
"041318","19:24:23","5","803503329","4.0.10.0","Only black faces","7293",""
"041318","15:55:11","2","414936969","4.0.10.0","Only black faces","12521",""
"041318","11:26:55","7","902266725","4.0.10.0","I don't know","8553",""
"041318","19:27:05","8","117577909","4.0.10.0","I don't know","9318",""
