"date","time","subject","blockcode","blocknum","trialcode","trialnum","values.primestim","values.targetstim","response","correct","latency","trial.primeRace.totalpercentcorrect","trial.primeNeutral.totalpercentcorrect"
"041318","17:10:42","905831587","AMP_test","2","primeRace","51","4","6","18","0","550","59","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","52","1","1","23","1","974","59","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","53","1","7","23","1","644","59","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","54","2","11","18","0","540","57","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","55","1","12","23","1","893","57","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","56","1","6","23","1","457","57","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","57","1","18","23","1","583","57","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","58","1","14","23","1","604","57","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","59","1","10","18","0","462","55","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","60","3","5","18","0","442","53","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","61","1","9","23","1","582","53","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","62","1","17","23","1","647","53","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","63","1","20","23","1","588","53","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","64","5","15","18","0","458","51","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","65","1","4","23","1","686","51","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","66","1","2","23","1","698","51","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","67","4","16","18","0","610","50","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","68","1","13","23","1","682","50","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","69","1","19","23","1","566","50","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","70","1","8","23","1","584","50","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","71","1","3","23","1","548","50","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","72","1","17","18","0","470","48","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","73","2","7","18","0","406","47","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","74","1","4","23","1","594","47","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","75","1","3","23","1","628","47","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","76","1","1","23","1","619","47","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","77","5","12","18","0","519","45","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","78","1","9","23","1","502","45","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","79","3","10","18","0","650","44","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","80","6","19","18","0","415","43","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","81","1","15","23","1","762","43","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","82","1","13","23","1","711","43","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","83","1","18","23","1","585","43","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","84","2","16","18","0","755","42","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","85","1","8","23","1","429","42","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","86","4","14","18","0","413","41","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","87","3","5","18","0","291","40","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","88","1","2","23","1","492","40","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","89","1","6","18","0","433","39","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","90","5","20","18","0","1037","38","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","91","6","11","18","0","369","37","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","92","1","4","23","1","609","37","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","93","5","13","18","0","585","36","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","94","3","17","18","0","503","35","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","95","4","10","18","0","510","34","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","96","1","8","23","1","792","34","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","97","1","20","18","0","583","34","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","98","1","18","23","1","591","34","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","99","6","6","18","0","1458","33","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","100","2","11","18","0","349","32","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","101","5","2","23","1","823","34","100"
"041318","17:25:23","767115399","AMP_practice","1","primeRacepractice","4","0","0","18","1","1579","0","0"
"041318","17:25:23","767115399","AMP_practice","1","primeNeutralpractice","5","0","0","18","1","954","0","0"
"041318","17:25:23","767115399","AMP_practice","1","primeRacepractice","6","0","0","18","1","1361","0","0"
"041318","17:25:23","767115399","AMP_practice","1","primeNeutralpractice","7","0","0","18","1","1113","0","0"
"041318","17:25:23","767115399","AMP_practice","1","primeRacepractice","8","0","0","23","0","1279","0","0"
"041318","17:25:23","767115399","AMP_practice","1","primeRacepractice","9","0","0","18","1","724","0","0"
"041318","17:25:23","767115399","AMP_practice","1","primeNeutralpractice","10","0","0","18","1","1301","0","0"
"041318","17:25:23","767115399","AMP_practice","1","primeNeutralpractice","11","0","0","18","1","814","0","0"
"041318","17:25:23","767115399","AMP_practice","1","primeRacepractice","12","0","0","18","1","648","0","0"
"041318","17:25:23","767115399","AMP_practice","1","primeNeutralpractice","13","0","0","23","1","831","0","0"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","2","1","4","18","0","652","0","0"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","3","1","1","18","0","815","0","0"
"041318","17:25:23","767115399","AMP_test","2","primeRace","4","2","19","18","0","868","0","0"
"041318","17:25:23","767115399","AMP_test","2","primeRace","5","1","15","18","0","590","0","0"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","6","1","13","23","1","812","0","33"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","7","1","11","18","0","633","0","25"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","8","1","16","18","0","741","0","20"
"041318","17:25:23","767115399","AMP_test","2","primeRace","9","6","10","18","0","533","0","20"
"041318","17:25:23","767115399","AMP_test","2","primeRace","10","4","9","18","0","564","0","20"
"041318","17:25:23","767115399","AMP_test","2","primeRace","11","3","5","18","0","532","0","20"
"041318","17:25:23","767115399","AMP_test","2","primeRace","12","5","11","18","0","539","0","20"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","13","1","13","23","1","947","0","33"
"041318","17:25:23","767115399","AMP_test","2","primeRace","14","2","4","18","0","827","0","33"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","15","1","6","18","0","672","0","28"
"041318","17:25:23","767115399","AMP_test","2","primeRace","16","1","10","18","0","578","0","28"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","17","1","12","23","1","448","0","37"
"041318","17:25:23","767115399","AMP_test","2","primeRace","18","5","14","18","0","420","0","37"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","19","1","15","23","1","712","0","44"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","20","1","18","23","1","473","0","50"
"041318","17:25:23","767115399","AMP_test","2","primeRace","21","6","8","23","1","972","10","50"
"041318","17:25:23","767115399","AMP_test","2","primeRace","22","3","2","18","0","594","9","50"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","23","1","20","18","0","560","9","45"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","24","1","16","23","1","495","9","50"
"041318","17:25:23","767115399","AMP_test","2","primeRace","25","2","17","18","0","681","8","50"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","26","1","5","23","1","827","8","53"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","27","1","19","23","1","1064","8","57"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","28","1","1","23","1","635","8","60"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","29","1","3","18","0","559","8","56"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","30","1","7","18","0","558","8","52"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","31","1","9","18","0","413","8","50"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","32","1","9","18","0","394","8","47"
"041318","17:25:23","767115399","AMP_test","2","primeRace","33","4","20","18","0","616","7","47"
"041318","17:25:23","767115399","AMP_test","2","primeRace","34","6","16","18","0","844","7","47"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","35","1","14","23","1","304","7","50"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","36","1","3","18","0","865","7","47"
"041318","17:25:23","767115399","AMP_test","2","primeRace","37","1","13","18","0","660","6","47"
"041318","17:25:23","767115399","AMP_test","2","primeRace","38","2","19","23","1","743","12","47"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","39","1","5","18","0","439","12","45"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","40","1","17","18","0","579","12","43"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","41","1","15","23","1","617","12","45"
"041318","17:25:23","767115399","AMP_test","2","primeRace","42","5","10","18","0","549","11","45"
"041318","17:25:23","767115399","AMP_test","2","primeRace","43","3","8","18","0","957","11","45"
"041318","17:25:23","767115399","AMP_test","2","primeRace","44","4","12","23","1","596","15","45"
"041318","17:25:23","767115399","AMP_test","2","primeRace","45","3","11","23","1","642","20","45"
"041318","17:25:23","767115399","AMP_test","2","primeRace","46","1","1","18","0","413","19","45"
"041318","17:25:23","767115399","AMP_test","2","primeRace","47","2","2","18","0","1002","18","45"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","48","1","7","18","0","1936","18","44"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","49","1","6","18","0","608","18","42"
"041318","17:25:23","767115399","AMP_test","2","primeRace","50","5","4","23","1","661","21","42"
"041318","17:25:23","767115399","AMP_test","2","primeRace","51","4","18","18","0","880","20","42"
"041318","17:25:23","767115399","AMP_test","2","primeRace","52","6","9","18","0","666","20","42"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","53","1","7","23","1","565","20","44"
"041318","17:25:23","767115399","AMP_test","2","primeRace","54","4","13","18","0","372","19","44"
"041318","17:25:23","767115399","AMP_test","2","primeRace","55","1","3","18","0","362","18","44"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","56","1","2","23","1","441","18","46"
"041318","17:25:23","767115399","AMP_test","2","primeRace","57","2","19","18","0","389","17","46"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","58","1","18","18","0","443","17","44"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","59","1","20","23","1","414","17","46"
"041318","17:25:23","767115399","AMP_test","2","primeRace","60","6","1","18","0","627","17","46"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","61","1","8","18","0","568","17","45"
"041318","17:25:23","767115399","AMP_test","2","primeRace","62","3","15","23","1","750","20","45"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","63","1","5","23","1","1021","20","46"
"041318","17:25:23","767115399","AMP_test","2","primeRace","64","5","16","23","1","610","22","46"
"041318","17:25:23","767115399","AMP_test","2","primeRace","65","3","11","23","1","479","25","46"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","66","1","12","18","0","377","25","45"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","67","1","10","18","0","272","25","44"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","68","1","4","18","0","338","25","42"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","69","1","17","23","1","90","25","44"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","70","1","6","23","1","715","25","45"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","71","1","14","18","0","332","25","44"
"041318","17:25:23","767115399","AMP_test","2","primeRace","72","4","14","18","0","555","24","44"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","73","1","11","18","0","323","24","43"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","74","1","8","18","0","203","24","42"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","75","1","2","18","0","296","24","41"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","76","1","3","23","1","98","24","42"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","77","1","9","23","1","179","24","44"
"041318","17:25:23","767115399","AMP_test","2","primeRace","78","5","7","18","0","10","23","44"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","79","1","5","18","0","6","23","43"
"041318","17:25:23","767115399","AMP_test","2","primeRace","80","6","10","18","0","3987","22","43"
"041318","17:25:23","767115399","AMP_test","2","primeRace","81","2","20","18","0","490","22","43"
"041318","17:25:23","767115399","AMP_test","2","primeRace","82","1","16","18","0","332","21","43"
"041318","17:25:23","767115399","AMP_test","2","primeRace","83","4","12","23","1","405","23","43"
"041318","17:25:23","767115399","AMP_test","2","primeRace","84","3","15","23","1","369","25","43"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","85","1","19","23","1","479","25","44"
"041318","17:25:23","767115399","AMP_test","2","primeRace","86","5","17","18","0","490","25","44"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","87","1","6","18","0","380","25","43"
"041318","17:25:23","767115399","AMP_test","2","primeRace","88","2","4","18","0","562","24","43"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","89","1","18","23","1","689","24","44"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","90","1","1","18","0","483","24","43"
"041318","17:25:23","767115399","AMP_test","2","primeRace","91","6","13","18","0","613","23","43"
"041318","17:25:23","767115399","AMP_test","2","primeRace","92","1","13","18","0","554","23","43"
"041318","17:25:23","767115399","AMP_test","2","primeRace","93","4","12","23","1","625","25","43"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","94","1","2","18","0","365","25","42"
"041318","17:25:23","767115399","AMP_test","2","primeNeutral","95","1","20","23","1","796","25","44"
"041318","17:25:23","767115399","AMP_test","2","primeRace","96","5","4","18","0","570","24","44"
"041318","17:25:23","767115399","AMP_test","2","primeRace","97","3","8","18","0","592","23","44"
"041318","17:25:23","767115399","AMP_test","2","primeRace","98","2","6","18","0","678","23","44"
"041318","17:25:23","767115399","AMP_test","2","primeRace","99","1","15","23","1","745","25","44"
"041318","17:25:23","767115399","AMP_test","2","primeRace","100","6","7","18","0","800","24","44"
"041318","17:25:23","767115399","AMP_test","2","primeRace","101","1","5","18","0","597","24","44"
"041318","17:31:07","830748203","AMP_practice","1","primeNeutralpractice","4","0","0","23","1","3089","0","0"
"041318","17:31:07","830748203","AMP_practice","1","primeNeutralpractice","5","0","0","23","1","1274","0","0"
"041318","17:31:07","830748203","AMP_practice","1","primeRacepractice","6","0","0","23","0","1473","0","0"
"041318","17:31:07","830748203","AMP_practice","1","primeNeutralpractice","7","0","0","23","1","790","0","0"
"041318","17:31:07","830748203","AMP_practice","1","primeRacepractice","8","0","0","23","0","1374","0","0"
"041318","17:31:07","830748203","AMP_practice","1","primeRacepractice","9","0","0","23","0","778","0","0"
"041318","17:31:07","830748203","AMP_practice","1","primeRacepractice","10","0","0","23","0","735","0","0"
"041318","17:31:07","830748203","AMP_practice","1","primeNeutralpractice","11","0","0","23","1","887","0","0"
"041318","17:31:07","830748203","AMP_practice","1","primeRacepractice","12","0","0","23","0","837","0","0"
"041318","17:31:07","830748203","AMP_practice","1","primeNeutralpractice","13","0","0","23","1","392","0","0"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","2","1","9","23","1","1080","0","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","3","3","1","23","1","480","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","4","1","10","23","1","442","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","5","1","16","23","1","586","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","6","1","18","23","1","424","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","7","5","5","23","1","445","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","8","6","14","23","1","426","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","9","2","13","23","1","922","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","10","1","17","23","1","1444","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","11","4","2","23","1","412","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","12","3","16","23","1","515","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","13","1","2","23","1","517","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","14","2","12","23","1","560","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","15","1","8","23","1","374","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","16","5","1","23","1","824","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","17","1","17","23","1","508","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","18","6","10","23","1","481","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","19","1","9","23","1","541","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","20","1","7","23","1","360","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","21","1","19","23","1","867","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","22","1","3","23","1","980","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","23","3","6","23","1","324","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","24","1","15","23","1","1614","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","25","1","5","23","1","350","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","26","4","4","23","1","303","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","27","1","20","23","1","1370","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","28","1","14","23","1","245","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","29","2","11","23","1","254","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","30","1","18","23","1","243","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","31","1","13","23","1","379","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","32","1","14","23","1","504","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","33","3","3","23","1","433","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","34","4","19","23","1","473","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","35","1","2","23","1","365","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","36","1","20","23","1","326","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","37","1","1","23","1","450","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","38","1","6","23","1","265","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","39","5","16","23","1","728","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","40","1","17","23","1","438","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","41","6","15","23","1","702","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","42","1","10","23","1","660","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","43","1","9","23","1","1092","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","44","2","13","23","1","282","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","45","3","8","23","1","225","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","46","1","18","23","1","257","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","47","1","4","23","1","343","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","48","4","12","23","1","547","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","49","1","11","23","1","1209","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","50","5","7","23","1","273","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","51","1","5","23","1","275","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","52","1","15","23","1","860","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","53","6","11","23","1","1569","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","54","1","3","23","1","270","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","55","1","17","23","1","425","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","56","1","13","23","1","494","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","57","3","10","23","1","373","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","58","5","8","23","1","536","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","59","1","7","23","1","365","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","60","2","14","23","1","363","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","61","1","2","23","1","430","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","62","1","16","23","1","466","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","63","6","9","23","1","401","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","64","1","20","23","1","948","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","65","4","12","23","1","385","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","66","1","4","23","1","452","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","67","2","5","23","1","383","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","68","1","1","23","1","420","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","69","1","18","23","1","272","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","70","5","6","23","1","361","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","71","1","19","23","1","468","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","72","6","1","23","1","374","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeRace","73","1","18","23","1","1025","100","100"
"041318","17:31:07","830748203","AMP_test","2","primeNeutral","74","1","19","23","1","2242","100","100"
