"","date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","windowcenter","trialduration","trialtimeout","blocktimeout","response","correct","latency","inwindow"
"47","041318","13:30:58","8","998555993","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","5039","0"
"48","041318","18:31:26","2","601961149","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","22 ","1","6375","0"
"49","041318","18:31:26","2","601961149","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","3359","0"
"50","041318","18:32:26","5","236853641","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","38","1","6297","0"
"51","041318","18:32:26","5","236853641","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","4326","0"
"52","041318","18:32:34","4","145924742","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","21","1","5558","0"
"53","041318","18:32:34","4","145924742","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","Female","1","3810","0"
"54","041318","10:42:03","2","972375767","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","30","1","2942","0"
"55","041318","10:42:03","2","972375767","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","5035","0"
"56","041318","12:42:03","8","878482895","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","55","1","12664","0"
"57","041318","12:42:03","8","878482895","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","5019","0"
"58","041318","12:49:26","6","527775144","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","28","1","3804","0"
"59","041318","12:49:26","6","527775144","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","3070","0"
"60","041318","18:52:48","8","223782864","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","24","1","3583","0"
"61","041318","18:52:48","8","223782864","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","3306","0"
"62","041318","13:53:49","1","389159334","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","42","1","4793","0"
"63","041318","13:53:49","1","389159334","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","3895","0"
"64","041318","18:53:19","3","854706704","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","47","1","4968","0"
"65","041318","18:53:19","3","854706704","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","9036","0"
