"","date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","windowcenter","trialduration","trialtimeout","blocktimeout","response","correct","latency","inwindow"
"1","032217","19:52:45","902758125","481","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","22","1","5962","0"
"2","032217","19:52:45","902758125","481","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","5277","0"
"3","032217","23:50:13","937871496","480","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","28","1","3403","0"
"4","032217","23:50:13","937871496","480","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","3457","0"
"5","032217","23:48:50","937871496","480","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","28","1","10673","0"
"6","032217","23:48:50","937871496","480","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","3125","0"
"7","032217","23:45:40","184526540","478","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","52","1","8303","0"
"8","032217","23:45:40","184526540","478","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","6337","0"
"9","032217","18:41:08","387268752","475","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","31","1","6769","0"
"10","032217","18:41:08","387268752","475","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","4582","0"
"11","032217","23:32:46","920694140","472","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","34","1","9403","0"
"12","032217","23:32:46","920694140","472","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","27535","0"
"13","032217","19:23:04","748615838","471","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","19","1","4752","0"
"14","032217","19:23:04","748615838","471","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","Female","1","3570","0"
"15","032217","17:19:36","909454087","463","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","57","1","5801","0"
"16","032217","17:19:36","909454087","463","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","17834","0"
"17","032217","18:22:24","5272083","470","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","33","1","3146","0"
"18","032217","18:22:24","5272083","470","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","4042","0"
"19","032217","16:21:42","120491132","465","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","39","1","3575","0"
"20","032217","16:21:42","120491132","465","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","3351","0"
"21","032217","23:21:55","377154885","468","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","22 ","1","5342","0"
"22","032217","23:21:55","377154885","468","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","4629","0"
"23","032217","19:21:00","809281200","464","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","32","1","5426","0"
"24","032217","19:21:00","809281200","464","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","5040","0"
