"date","time","group","subject","build","amp_recognition_response","amp_recognition_latency",""
"032217","20:03:03","902758125","481","4.0.10.0","Both white and black faces","6316",""
"032217","23:59:23","937871496","480","4.0.10.0","Only black faces","9810",""
"032217","23:55:58","184526540","478","4.0.10.0","Only black faces","13228",""
"032217","18:50:00","387268752","475","4.0.10.0","Both white and black faces","9140",""
"032217","19:32:20","92450421","459","4.0.10.0","Only black faces","18655",""
"032217","23:31:26","377154885","468","4.0.10.0","I don't know","15223",""
"032217","19:30:42","809281200","464","4.0.10.0","I don't know","10373",""
"032217","16:30:30","120491132","465","4.0.10.0","Only black faces","17483",""
"032217","23:30:37","991547947","454","4.0.10.0","Only black faces","7635",""
"032217","19:30:34","748615838","471","4.0.10.0","Only black faces","5306",""
"032217","17:28:39","909454087","463","4.0.10.0","Only black faces","5110",""
"032217","18:29:54","5272083","470","4.0.10.0","Only black faces","6633",""
"032217","23:29:39","299047884","457","4.0.10.0","Only black faces","5772",""
"032217","16:29:08","244048199","466","4.0.10.0","Only black faces","7862",""
"032217","17:28:26","356661031","456","4.0.10.0","Both white and black faces","7121",""
"032217","23:27:28","603349969","460","4.0.10.0","Both white and black faces","10092",""
"032217","15:35:34","332931845","450","4.0.10.0","Only black faces","4754",""
"032217","20:27:41","812313210","448","4.0.10.0","Only black faces","13678",""
"032217","16:20:55","8619447","446","4.0.10.0","Only black faces","9245",""
"032217","13:45:31","342996829","443","4.0.10.0","Both white and black faces","4638",""
"032217","13:40:07","406565694","433","4.0.10.0","I don't know","12348",""
"032217","17:39:11","859820530","442","4.0.10.0","Only black faces","5207",""
"032217","17:38:37","872412704","440","4.0.10.0","Only black faces","7688",""
"032217","17:36:47","775277451","435","4.0.10.0","Only black faces","10473",""
"032217","17:34:55","698424562","432","4.0.10.0","I don't know","8668",""
"032217","17:27:49","174734021","429","4.0.10.0","Both white and black faces","16202",""
"032217","13:27:39","344303475","427","4.0.10.0","Only black faces","11206",""
"032217","13:27:05","920574854","424","4.0.10.0","Only black faces","15113",""
"032217","13:25:56","609030520","422","4.0.10.0","Only black faces","14003",""
"032217","17:24:10","464575835","421","4.0.10.0","I don't know","10544",""
"032217","17:22:23","622284677","416","4.0.10.0","Both white and black faces","27214",""
"032217","13:21:03","431321355","410","4.0.10.0","Only black faces","8876",""
"032217","17:19:12","209645973","402","4.0.10.0","Only black faces","3850",""
"032217","17:16:34","204150836","309","4.0.10.0","Only black faces","6792",""
"032217","17:16:03","882651721","404","4.0.10.0","Only black faces","7252",""
"032217","13:15:19","342216078","400","4.0.10.0","Only black faces","10163",""
"032217","17:14:19","331362334","383","4.0.10.0","Only black faces","9938",""
"032217","19:13:59","496618049","398","4.0.10.0","Only black faces","13371",""
"032217","17:13:36","363437794","349","4.0.10.0","Only black faces","13690",""
"032217","17:12:26","552642349","372","4.0.10.0","Only black faces","12389",""
"032217","17:12:13","96339501","381","4.0.10.0","Only black faces","11729",""
"032217","17:11:52","211504225","389","4.0.10.0","Both white and black faces","9674",""
"032217","13:11:54","170291563","386","4.0.10.0","Only black faces","4499",""
"032217","17:11:06","529496607","379","4.0.10.0","Only black faces","33509",""
"032217","17:10:41","927485929","360","4.0.10.0","Only black faces","49382",""
"032217","17:10:54","224670567","368","4.0.10.0","Only black faces","14436",""
"032217","17:05:42","66578871","369","4.0.10.0","Only black faces","10821",""
"032217","17:10:42","699253828","385","4.0.10.0","Only black faces","5129",""
"032217","13:10:42","689984146","375","4.0.10.0","Only black faces","3616",""
"032217","17:10:13","144945495","284","4.0.10.0","Only black faces","23857",""
"032217","17:09:49","717946794","367","4.0.10.0","Only black faces","10808",""
"032217","17:09:41","903207274","355","4.0.10.0","Only black faces","9226",""
"032217","17:09:44","497588424","376","4.0.10.0","Only black faces","7136",""
"032217","13:09:29","758397401","347","4.0.10.0","Both white and black faces","5992",""
"032217","17:09:25","269563081","362","4.0.10.0","Both white and black faces","11033",""
"032217","17:08:59","551092404","350","4.0.10.0","Only black faces","5774",""
"032217","17:08:40","209628303","343","4.0.10.0","Only black faces","9645",""
"032217","17:08:28","725080907","345","4.0.10.0","Only black faces","8023",""
"032217","17:08:10","198421205","364","4.0.10.0","Both white and black faces","8696",""
