"build","date","time","subject","blockcode","blocknum","trialcode","trialnum","stimulusitem1","response"
"4.0.10.0","032217","23:59:34","480","ratings","1","images","1","bf14_nc.jpg","4"
"4.0.10.0","032217","23:59:34","480","ratings","1","images","2","bm56_nc.jpg","3"
"4.0.10.0","032217","23:59:34","480","ratings","1","images","3","bm23_nc.jpg","2"
"4.0.10.0","032217","23:59:34","480","ratings","1","images","4","bf23_nc.jpg","6"
"4.0.10.0","032217","23:59:34","480","ratings","1","images","5","bf56_nc.jpg","4"
"4.0.10.0","032217","23:59:34","480","ratings","1","images","6","bm14_nc.jpg","5"
"4.0.10.0","032217","19:59:18","481","ratings","1","images","1","bm14_nc.jpg","5"
"4.0.10.0","032217","19:59:18","481","ratings","1","images","2","bf23_nc.jpg","5"
"4.0.10.0","032217","19:59:18","481","ratings","1","images","3","bm23_nc.jpg","5"
"4.0.10.0","032217","19:59:18","481","ratings","1","images","4","bf56_nc.jpg","5"
"4.0.10.0","032217","19:59:18","481","ratings","1","images","5","bf14_nc.jpg","5"
"4.0.10.0","032217","19:59:18","481","ratings","1","images","6","bm56_nc.jpg","5"
"4.0.10.0","032217","23:51:14","478","ratings","1","images","1","bf14_nc.jpg","4"
"4.0.10.0","032217","23:51:14","478","ratings","1","images","2","bf23_nc.jpg","4"
"4.0.10.0","032217","23:51:14","478","ratings","1","images","3","bm56_nc.jpg","4"
"4.0.10.0","032217","23:51:14","478","ratings","1","images","4","bm23_nc.jpg","4"
"4.0.10.0","032217","23:51:14","478","ratings","1","images","5","bf56_nc.jpg","4"
"4.0.10.0","032217","23:51:14","478","ratings","1","images","6","bm14_nc.jpg","4"
"4.0.10.0","032217","18:50:10","475","ratings","1","images","1","bm23_nc.jpg","6"
"4.0.10.0","032217","18:50:10","475","ratings","1","images","2","bf56_nc.jpg","6"
"4.0.10.0","032217","18:50:10","475","ratings","1","images","3","bm56_nc.jpg","6"
"4.0.10.0","032217","18:50:10","475","ratings","1","images","4","bm14_nc.jpg","6"
"4.0.10.0","032217","18:50:10","475","ratings","1","images","5","bf14_nc.jpg","6"
"4.0.10.0","032217","18:50:10","475","ratings","1","images","6","bf23_nc.jpg","6"
"4.0.10.0","032217","19:32:39","459","ratings","1","images","1","bm14_nc.jpg","4"
"4.0.10.0","032217","19:32:39","459","ratings","1","images","2","bm56_nc.jpg","4"
"4.0.10.0","032217","19:32:39","459","ratings","1","images","3","bf56_nc.jpg","4"
"4.0.10.0","032217","19:32:39","459","ratings","1","images","4","bm23_nc.jpg","5"
"4.0.10.0","032217","19:32:39","459","ratings","1","images","5","bf23_nc.jpg","6"
"4.0.10.0","032217","19:32:39","459","ratings","1","images","6","bf14_nc.jpg","6"
"4.0.10.0","032217","23:31:42","468","ratings","1","images","1","bm23_nc.jpg","4"
"4.0.10.0","032217","23:31:42","468","ratings","1","images","2","bm14_nc.jpg","4"
"4.0.10.0","032217","23:31:42","468","ratings","1","images","3","bf14_nc.jpg","4"
"4.0.10.0","032217","23:31:42","468","ratings","1","images","4","bf56_nc.jpg","5"
"4.0.10.0","032217","23:31:42","468","ratings","1","images","5","bm56_nc.jpg","4"
"4.0.10.0","032217","23:31:42","468","ratings","1","images","6","bf23_nc.jpg","4"
"4.0.10.0","032217","19:30:53","464","ratings","1","images","1","bf23_nc.jpg","4"
"4.0.10.0","032217","19:30:53","464","ratings","1","images","2","bm56_nc.jpg","4"
"4.0.10.0","032217","19:30:53","464","ratings","1","images","3","bf14_nc.jpg","4"
"4.0.10.0","032217","19:30:53","464","ratings","1","images","4","bm14_nc.jpg","4"
"4.0.10.0","032217","19:30:53","464","ratings","1","images","5","bm23_nc.jpg","4"
"4.0.10.0","032217","19:30:53","464","ratings","1","images","6","bf56_nc.jpg","4"
"4.0.10.0","032217","19:30:40","471","ratings","1","images","1","bf23_nc.jpg","4"
"4.0.10.0","032217","19:30:40","471","ratings","1","images","2","bm14_nc.jpg","4"
"4.0.10.0","032217","19:30:40","471","ratings","1","images","3","bf14_nc.jpg","5"
"4.0.10.0","032217","19:30:40","471","ratings","1","images","4","bm23_nc.jpg","4"
"4.0.10.0","032217","19:30:40","471","ratings","1","images","5","bf56_nc.jpg","4"
"4.0.10.0","032217","19:30:40","471","ratings","1","images","6","bm56_nc.jpg","4"
"4.0.10.0","032217","17:28:45","463","ratings","1","images","1","bm23_nc.jpg","4"
"4.0.10.0","032217","17:28:45","463","ratings","1","images","2","bf56_nc.jpg","4"
"4.0.10.0","032217","17:28:45","463","ratings","1","images","3","bm56_nc.jpg","4"
"4.0.10.0","032217","17:28:45","463","ratings","1","images","4","bf14_nc.jpg","4"
"4.0.10.0","032217","17:28:45","463","ratings","1","images","5","bm14_nc.jpg","4"
"4.0.10.0","032217","17:28:45","463","ratings","1","images","6","bf23_nc.jpg","4"
"4.0.10.0","032217","17:28:34","456","ratings","1","images","1","bf14_nc.jpg","3"
"4.0.10.0","032217","17:28:34","456","ratings","1","images","2","bm14_nc.jpg","4"
"4.0.10.0","032217","17:28:34","456","ratings","1","images","3","bm23_nc.jpg","7"
