"participant","block","trial_n","rt","accuracy","IAT_condition","block_order","task_order","gender","age","modern_racism_scale_total","IAT_exclude_based_on_fast_trials","SCIAT_exclude_based_on_fast_trials"
10,"incompatible",58,533,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",59,886,0,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",60,928,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",61,657,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",62,685,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",63,608,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",64,614,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",65,460,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",66,583,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",67,846,0,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",68,538,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",69,931,0,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",70,547,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",1,1225,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",2,742,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",3,678,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",4,706,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",5,692,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",6,1014,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",7,692,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",8,1655,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",9,667,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",10,966,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",11,1278,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",12,881,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",13,1140,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",14,573,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",15,1148,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",16,532,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",17,573,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",18,748,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",19,549,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",20,1381,0,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",21,892,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",22,478,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",23,1009,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",24,615,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",25,685,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",26,959,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",27,552,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",28,575,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",29,655,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",30,499,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",31,349,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",32,1101,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",33,1487,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",34,1673,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",35,589,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",36,499,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",37,1270,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",38,721,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",39,682,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",40,1165,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",41,3165,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",42,965,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",43,557,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",44,381,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",45,300,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",46,310,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",47,600,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",48,526,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",49,951,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",50,1647,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",51,1235,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",52,888,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",53,603,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",54,801,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",55,1927,0,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",56,1175,0,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",57,589,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",58,476,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",59,536,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",60,912,0,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",61,626,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",62,1423,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",63,540,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",64,597,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",65,643,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",66,552,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",67,552,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",68,664,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",69,556,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"compatible",70,1100,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
104,"incompatible",1,1861,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",2,916,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",3,660,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",4,656,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",5,667,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",6,673,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",7,580,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",8,588,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",9,632,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",10,765,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",11,499,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",12,501,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",13,464,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",14,614,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",15,717,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",16,713,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",17,729,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",18,530,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",19,639,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",20,546,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",21,640,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",22,587,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",23,558,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
