"participant","complete","gender","age","modern_racism_scale_total","mean_rating","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","SCIAT_D1","SCIAT_mean_RT","SCIAT_perc_acc","SCIAT_exclude_based_on_fast_trials","exclude","condition","IAT_condition","block_order","task_order"
55,TRUE,"female",33,19,4,964,0.79,FALSE,0.323,872,0.88,FALSE,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
56,TRUE,"male",36,15,5.33,811,0.98,FALSE,0.131,678,0.98,FALSE,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
58,TRUE,"feminine",27,8,7,853,0.99,FALSE,-0.07,737,0.96,FALSE,FALSE,2,"Race IAT","incongruent","ratings first"
59,TRUE,"male",32,19,4.17,1029,0.96,FALSE,0.016,734,0.99,FALSE,FALSE,3,"Race IAT","congruent","SCIAT first"
61,TRUE,"female",36,23,3.67,739,0.96,FALSE,-0.15,618,0.96,FALSE,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
64,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
68,TRUE,"female",48,19,5,916,0.99,FALSE,-0.425,653,0.99,FALSE,FALSE,4,"Race IAT","incongruent","SCIAT first"
69,TRUE,"male",37,19,4.17,918,0.9,FALSE,-0.523,661,0.97,FALSE,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
70,TRUE,"male",37,12,4,866,0.98,FALSE,0.249,691,0.97,FALSE,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
76,TRUE,"male",43,15,4,796,0.9,FALSE,0.748,628,0.96,FALSE,FALSE,4,"Race IAT","incongruent","SCIAT first"
78,TRUE,"male",26,29,3.5,560,0.89,FALSE,0.103,511,0.91,FALSE,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
80,TRUE,"male",52,19,5.67,876,0.95,FALSE,0.098,766,0.95,FALSE,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
82,TRUE,"male",34,15,4.33,669,0.95,FALSE,-0.068,617,0.92,FALSE,FALSE,2,"Race IAT","incongruent","ratings first"
83,TRUE,"female",40,27,1,1049,0.74,TRUE,-0.161,497,0.56,TRUE,TRUE,3,"Race IAT","congruent","SCIAT first"
84,TRUE,"male",20,18,4,657,0.93,FALSE,-0.161,558,0.94,FALSE,FALSE,4,"Race IAT","incongruent","SCIAT first"
85,TRUE,"female",30,22,5.17,907,0.95,FALSE,0.48,748,0.91,FALSE,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
86,TRUE,"male",30,12,5.67,771,0.99,FALSE,1.029,670,0.99,FALSE,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
87,TRUE,"male",27,23,3.83,753,0.92,FALSE,0.229,627,0.96,FALSE,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
88,TRUE,"female",18,11,4,785,0.88,FALSE,0.161,798,0.85,FALSE,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
89,TRUE,"female",22,15,4,782,0.88,FALSE,0.394,662,0.89,FALSE,FALSE,1,"Race IAT","congruent","ratings first"
90,TRUE,"male",50,12,5.67,882,1,FALSE,0.736,752,0.98,FALSE,FALSE,2,"Race IAT","incongruent","ratings first"
92,TRUE,"male",34,16,4,749,0.92,FALSE,0.455,689,0.91,FALSE,FALSE,4,"Race IAT","incongruent","SCIAT first"
93,TRUE,"male",32,11,5,743,0.81,FALSE,0.186,677,0.86,FALSE,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
104,TRUE,"male",37,16,7,878,0.96,FALSE,-0.337,668,0.94,FALSE,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
106,TRUE,"female",55,10,4,950,0.98,FALSE,-0.176,739,0.97,FALSE,FALSE,2,"Race IAT","incongruent","ratings first"
107,TRUE,"male",27,33,3.17,1506,0.88,FALSE,-0.075,1128,0.91,FALSE,FALSE,3,"Race IAT","congruent","SCIAT first"
109,TRUE,"female",51,20,4.83,813,0.89,FALSE,-0.286,609,0.92,FALSE,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
110,TRUE,"female",18,15,3.67,610,0.86,FALSE,-0.047,536,0.81,FALSE,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
112,TRUE,"male",35,18,4,876,0.61,FALSE,-0.104,726,0.76,FALSE,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
113,TRUE,"female",21,13,4,637,0.98,FALSE,0.698,615,0.96,FALSE,FALSE,1,"Race IAT","congruent","ratings first"
114,TRUE,"male",25,14,4.83,722,0.97,FALSE,-0.098,538,0.94,FALSE,FALSE,2,"Race IAT","incongruent","ratings first"
115,TRUE,"female",18,25,4,1037,0.97,FALSE,-0.281,800,0.91,FALSE,FALSE,3,"Race IAT","congruent","SCIAT first"
116,TRUE,"male",25,19,4.33,837,0.88,FALSE,-0.203,630,0.81,FALSE,FALSE,4,"Race IAT","incongruent","SCIAT first"
117,TRUE,"male",52,22,5.17,826,0.97,FALSE,-0.186,727,0.95,FALSE,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
118,TRUE,"male",20,18,4,730,0.93,FALSE,-0.317,705,0.95,FALSE,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
119,TRUE,"male",30,17,4,773,0.98,FALSE,-0.252,617,0.96,FALSE,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
120,TRUE,"male",28,23,4,957,0.93,FALSE,-0.376,1373,0.93,FALSE,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
121,TRUE,"male",63,11,4,870,0.96,FALSE,0.016,760,0.96,FALSE,FALSE,1,"Race IAT","congruent","ratings first"
125,TRUE,"male",37,23,4.33,940,0.95,FALSE,-0.133,704,0.91,FALSE,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
128,TRUE,"male",28,19,3.67,742,0.91,FALSE,0.018,520,0.9,FALSE,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
129,TRUE,"male",52,21,4.33,951,1,FALSE,-0.261,813,0.97,FALSE,FALSE,1,"Race IAT","congruent","ratings first"
130,TRUE,"male",23,14,3,931,0.99,FALSE,0.202,691,0.93,FALSE,FALSE,2,"Race IAT","incongruent","ratings first"
131,TRUE,"male",53,19,4,894,0.96,FALSE,-0.063,716,0.95,FALSE,FALSE,3,"Race IAT","congruent","SCIAT first"
132,TRUE,"male",48,12,4.83,587,0.95,FALSE,0.244,529,0.96,FALSE,FALSE,4,"Race IAT","incongruent","SCIAT first"
134,TRUE,"male",28,20,4,976,0.79,FALSE,0.132,607,0.91,FALSE,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
137,TRUE,"female",25,11,5,708,0.86,FALSE,-0.063,677,0.89,FALSE,FALSE,1,"Race IAT","congruent","ratings first"
140,TRUE,"male",57,23,4,703,0.95,FALSE,0.369,677,0.92,FALSE,FALSE,4,"Race IAT","incongruent","SCIAT first"
142,TRUE,"male",32,23,3.83,698,0.98,FALSE,-0.433,574,0.99,FALSE,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
143,TRUE,"female",63,18,3.5,1011,0.96,FALSE,0.013,863,0.99,FALSE,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
145,TRUE,"male",36,13,4,1120,0.97,FALSE,-0.656,801,0.93,FALSE,FALSE,1,"Race IAT","congruent","ratings first"
146,TRUE,"male",19,14,4.17,790,0.81,FALSE,0.013,634,0.9,FALSE,FALSE,2,"Race IAT","incongruent","ratings first"
147,TRUE,"male",21,18,4.83,686,0.96,FALSE,0.481,576,0.96,FALSE,FALSE,3,"Race IAT","congruent","SCIAT first"
149,TRUE,"male",18,14,4.17,721,0.94,FALSE,-0.035,603,0.94,FALSE,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
150,TRUE,"male",54,25,3.17,664,0.99,FALSE,-0.43,537,0.98,FALSE,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
151,TRUE,"male",46,11,4,716,0.88,FALSE,0.231,767,0.93,FALSE,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
155,TRUE,"female",52,20,4,1122,0.97,FALSE,0.319,1019,0.99,FALSE,FALSE,3,"Race IAT","congruent","SCIAT first"
156,TRUE,"male",22,24,5,1056,0.96,FALSE,0.091,693,0.97,FALSE,FALSE,4,"Race IAT","incongruent","SCIAT first"
158,TRUE,"male",18,16,4.5,809,0.82,FALSE,0.49,678,0.86,FALSE,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
159,TRUE,"female",30,15,3,825,0.98,FALSE,-0.324,642,0.95,FALSE,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
160,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
161,TRUE,"male",19,26,4,1186,0.91,FALSE,-0.392,813,0.91,FALSE,FALSE,1,"Race IAT","congruent","ratings first"
162,TRUE,"male",44,27,3.83,662,0.95,FALSE,-0.234,575,0.98,FALSE,FALSE,2,"Race IAT","incongruent","ratings first"
163,TRUE,"female",20,12,5.33,692,0.98,FALSE,0.247,634,0.94,FALSE,FALSE,3,"Race IAT","congruent","SCIAT first"
165,TRUE,"male",18,31,4,656,0.67,FALSE,0.057,569,0.79,FALSE,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
166,TRUE,"male",30,18,3.5,597,0.92,FALSE,-0.398,572,0.96,FALSE,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
172,TRUE,"female",29,23,4,803,0.95,FALSE,-0.032,631,0.97,FALSE,FALSE,4,"Race IAT","incongruent","SCIAT first"
174,TRUE,"male",57,24,3.83,891,0.99,FALSE,-0.349,817,0.98,FALSE,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
178,TRUE,"male",44,12,6,974,0.96,FALSE,0.099,771,0.89,FALSE,FALSE,2,"Race IAT","incongruent","ratings first"
179,TRUE,"female",28,17,4,684,0.9,FALSE,-0.025,646,0.92,FALSE,FALSE,3,"Race IAT","congruent","SCIAT first"
182,TRUE,"female",37,17,5,578,0.97,FALSE,0.602,577,0.99,FALSE,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
184,TRUE,"male",18,20,4.33,596,0.95,FALSE,0.175,559,0.96,FALSE,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
190,TRUE,"female",32,14,4.67,552,0.95,FALSE,0.109,516,0.94,FALSE,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
192,TRUE,"nonbinary",18,15,5,699,0.88,FALSE,0.162,667,0.84,FALSE,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
194,TRUE,"male",22,14,5.33,767,0.92,FALSE,0.225,700,0.92,FALSE,FALSE,2,"Race IAT","incongruent","ratings first"
196,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,4,"Race IAT","incongruent","SCIAT first"
197,TRUE,"male",20,19,3.83,668,0.91,FALSE,-0.414,659,0.92,FALSE,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
200,TRUE,"female",18,12,4.33,1091,0.94,FALSE,0.122,693,0.96,FALSE,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
202,TRUE,"male",40,13,6,677,0.92,FALSE,0.101,605,0.89,FALSE,FALSE,2,"Race IAT","incongruent","ratings first"
205,TRUE,"male",33,16,5.5,746,0.9,FALSE,0.051,714,0.96,FALSE,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
206,TRUE,"male",36,18,3.83,609,0.99,FALSE,0.168,566,0.98,FALSE,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
207,TRUE,"male",36,15,4,1098,0.98,FALSE,0.084,926,0.98,FALSE,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
209,TRUE,"male",34,17,4.83,507,0.94,FALSE,-0.194,488,0.94,FALSE,FALSE,1,"Race IAT","congruent","ratings first"
211,TRUE,"male",18,27,2,1237,0.92,FALSE,-0.616,739,0.62,TRUE,FALSE,3,"Race IAT","congruent","SCIAT first"
212,TRUE,"female",25,13,4,687,0.99,FALSE,0.134,609,0.91,FALSE,FALSE,4,"Race IAT","incongruent","SCIAT first"
213,TRUE,"female",23,17,4,654,0.76,FALSE,-0.06,518,0.82,FALSE,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
214,TRUE,"male",22,18,4,1034,0.94,FALSE,0.169,631,0.84,FALSE,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
216,TRUE,"33",33,21,4,985,0.95,FALSE,-0.63,749,0.95,FALSE,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
217,TRUE,"male",44,14,3.5,984,0.91,FALSE,-0.467,712,0.94,FALSE,FALSE,1,"Race IAT","congruent","ratings first"
218,TRUE,"female",30,12,4,654,0.95,FALSE,0.267,500,0.97,FALSE,FALSE,2,"Race IAT","incongruent","ratings first"
220,TRUE,"male",32,16,4,774,0.98,FALSE,-0.047,590,0.91,FALSE,FALSE,4,"Race IAT","incongruent","SCIAT first"
221,TRUE,"female",20,20,3,946,0.92,FALSE,-0.199,740,0.93,FALSE,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
222,TRUE,"male",25,15,3.83,865,0.97,FALSE,0.339,712,0.99,FALSE,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
225,TRUE,"female",26,19,3.5,794,0.98,FALSE,-0.104,755,0.99,FALSE,FALSE,1,"Race IAT","congruent","ratings first"
226,TRUE,"male",44,30,1,796,0.97,FALSE,-0.454,630,0.98,FALSE,FALSE,2,"Race IAT","incongruent","ratings first"
228,TRUE,"male",34,14,4,1113,1,FALSE,0.254,831,0.94,FALSE,FALSE,4,"Race IAT","incongruent","SCIAT first"
230,TRUE,"male",18,22,3.83,1194,0.97,FALSE,-0.134,878,0.95,FALSE,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
232,TRUE,"male",22,26,6,484,0.51,TRUE,0.378,399,0.65,TRUE,TRUE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
236,TRUE,"female",25,15,5.83,825,0.95,FALSE,-0.282,603,0.91,FALSE,FALSE,4,"Race IAT","incongruent","SCIAT first"
237,TRUE,"female",46,20,5,807,0.94,FALSE,-0.088,687,0.95,FALSE,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
238,TRUE,"male",33,18,5,927,0.96,FALSE,0.09,791,0.97,FALSE,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
240,TRUE,"female",18,29,2.67,813,0.92,FALSE,0.165,731,0.88,FALSE,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
241,TRUE,"male",34,14,3,728,0.86,FALSE,-1.002,752,0.92,FALSE,FALSE,1,"Race IAT","congruent","ratings first"
242,TRUE,"male",21,20,4.83,859,0.69,TRUE,0.732,321,0.66,TRUE,TRUE,2,"Race IAT","incongruent","ratings first"
243,TRUE,"male",30,24,2.83,730,0.93,FALSE,-0.437,625,0.95,FALSE,FALSE,3,"Race IAT","congruent","SCIAT first"
244,TRUE,"male",33,23,4.67,1641,0.82,FALSE,0.009,975,0.75,FALSE,FALSE,4,"Race IAT","incongruent","SCIAT first"
245,TRUE,"female",34,16,4,738,0.97,FALSE,-0.243,589,0.96,FALSE,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
247,TRUE,"male",26,23,5.17,537,0.92,FALSE,-0.026,490,0.96,FALSE,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
248,TRUE,"female",43,14,4,703,0.98,FALSE,-0.056,643,0.98,FALSE,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
249,TRUE,"female",33,12,4,1598,0.94,FALSE,-0.036,1116,0.91,FALSE,FALSE,1,"Race IAT","congruent","ratings first"
250,TRUE,"female",50,11,5.17,718,0.98,FALSE,-0.515,663,0.98,FALSE,FALSE,2,"Race IAT","incongruent","ratings first"
251,TRUE,"male",27,31,1.17,792,0.99,FALSE,-0.195,735,0.98,FALSE,FALSE,3,"Race IAT","congruent","SCIAT first"
252,TRUE,"male",29,21,4,829,0.73,FALSE,0.797,478,0.65,TRUE,FALSE,4,"Race IAT","incongruent","SCIAT first"
256,TRUE,"female",21,15,7,779,0.98,FALSE,-0.341,769,0.95,FALSE,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
259,TRUE,"female",30,27,4.5,817,0.93,FALSE,-0.311,634,0.94,FALSE,FALSE,3,"Race IAT","congruent","SCIAT first"
260,TRUE,"male",25,18,6,695,0.92,FALSE,0.219,597,0.91,FALSE,FALSE,4,"Race IAT","incongruent","SCIAT first"
264,TRUE,"male",25,14,7,668,0.86,FALSE,0.624,647,0.75,FALSE,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
266,TRUE,"male",47,18,4.5,795,0.97,FALSE,-0.039,658,0.99,FALSE,FALSE,2,"Race IAT","incongruent","ratings first"
268,TRUE,"male",56,23,4.17,682,0.93,FALSE,0.046,675,0.91,FALSE,FALSE,4,"Race IAT","incongruent","SCIAT first"
269,TRUE,"male",33,30,2,487,0.62,FALSE,0.219,456,0.81,FALSE,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
270,TRUE,"female",18,19,4,786,0.94,FALSE,0.934,615,0.98,FALSE,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
271,TRUE,"24",24,16,5,813,0.95,FALSE,-0.481,764,0.96,FALSE,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
272,TRUE,"male",37,16,4,1556,0.78,FALSE,-0.56,1282,0.84,FALSE,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
273,TRUE,"female",24,15,4.33,688,0.85,FALSE,-0.002,583,0.86,FALSE,FALSE,1,"Race IAT","congruent","ratings first"
274,TRUE,"male",23,12,4,645,0.9,FALSE,0.001,584,0.74,FALSE,FALSE,2,"Race IAT","incongruent","ratings first"
275,TRUE,"male",18,20,3.83,1038,0.86,FALSE,-0.341,682,0.94,FALSE,FALSE,3,"Race IAT","congruent","SCIAT first"
276,TRUE,"male",35,20,5,848,0.98,FALSE,0.049,685,0.98,FALSE,FALSE,4,"Race IAT","incongruent","SCIAT first"
278,TRUE,"male",28,13,4,691,0.98,FALSE,0.143,562,0.94,FALSE,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
279,TRUE,"female",28,19,4.33,1180,0.82,FALSE,0.252,1023,0.86,FALSE,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
280,TRUE,"male",46,19,2.5,823,0.92,FALSE,-0.175,145,0.48,TRUE,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
281,TRUE,"male",41,16,4,830,0.97,FALSE,0.125,905,0.94,FALSE,FALSE,1,"Race IAT","congruent","ratings first"
282,TRUE,"male",22,16,4,919,0.98,FALSE,0.062,687,0.96,FALSE,FALSE,2,"Race IAT","incongruent","ratings first"
283,TRUE,"male",42,23,3,788,0.87,FALSE,-0.326,777,0.9,FALSE,FALSE,3,"Race IAT","congruent","SCIAT first"
284,TRUE,"male",21,20,4,922,0.94,FALSE,-0.249,706,0.9,FALSE,FALSE,4,"Race IAT","incongruent","SCIAT first"
286,TRUE,"male",18,23,3.83,730,0.94,FALSE,0.79,671,0.91,FALSE,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
287,TRUE,"male",40,20,5.17,832,0.82,FALSE,0.066,659,0.95,FALSE,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
288,TRUE,"male",18,23,4.17,721,0.91,FALSE,0.32,626,0.94,FALSE,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
289,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1,"Race IAT","congruent","ratings first"
290,TRUE,"female",43,31,1,797,0.98,FALSE,-0.347,747,0.95,FALSE,FALSE,2,"Race IAT","incongruent","ratings first"
291,TRUE,"male",33,15,6,980,0.88,FALSE,0,748,0.94,FALSE,FALSE,3,"Race IAT","congruent","SCIAT first"
292,TRUE,"female",27,16,3.5,640,0.98,FALSE,-0.06,558,0.91,FALSE,FALSE,4,"Race IAT","incongruent","SCIAT first"
293,TRUE,"male",31,15,5.83,780,0.77,TRUE,0.27,658,0.79,TRUE,TRUE,5,"Flowers-Insects IAT","congruent","ratings first"
