"participant","complete","gender","age","modern_racism_scale_total","mean_rating","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","SCIAT_D1","SCIAT_mean_RT","SCIAT_perc_acc","SCIAT_exclude_based_on_fast_trials","exclude","condition","IAT_condition","block_order","task_order"
1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1,"Race IAT","congruent","ratings first"
5,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,5,"Flowers-Insects IAT","congruent","ratings first"
6,TRUE,"male",39,12,4,691,0.88,FALSE,0.139,709,0.82,FALSE,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
8,TRUE,"male",51,20,4.67,824,0.92,FALSE,0.437,710,0.95,FALSE,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
10,TRUE,"male",18,24,4,1122,0.93,FALSE,-0.48,772,0.91,FALSE,FALSE,2,"Race IAT","incongruent","ratings first"
12,TRUE,"male",24,27,4.33,922,0.98,FALSE,0.314,618,0.96,FALSE,FALSE,4,"Race IAT","incongruent","SCIAT first"
14,TRUE,"female",29,13,4.5,767,0.95,FALSE,0.181,663,0.96,FALSE,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
15,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,7,"Flowers-Insects IAT","congruent","SCIAT first"
18,TRUE,"male",30,22,4,733,0.93,FALSE,0.05,680,0.81,FALSE,FALSE,2,"Race IAT","incongruent","ratings first"
24,TRUE,"female",33,11,4,629,0.99,FALSE,0.196,599,0.96,FALSE,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
27,TRUE,"male",23,14,4.67,689,0.99,FALSE,0.4,794,0.96,FALSE,FALSE,3,"Race IAT","congruent","SCIAT first"
29,TRUE,"female",40,11,4,912,0.95,FALSE,-0.231,719,0.99,FALSE,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
34,TRUE,"female",30,17,4,845,0.94,FALSE,-0.035,638,0.94,FALSE,FALSE,2,"Race IAT","incongruent","ratings first"
36,TRUE,"female",28,15,4.67,967,1,FALSE,0.168,784,0.99,FALSE,FALSE,4,"Race IAT","incongruent","SCIAT first"
37,TRUE,"female",18,19,3,693,0.85,FALSE,0.106,587,0.91,FALSE,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
38,TRUE,"male",36,15,4,792,0.98,FALSE,0.32,605,0.97,FALSE,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
46,TRUE,"male",31,20,4,988,0.99,FALSE,0.336,785,0.98,FALSE,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
47,TRUE,"male",39,18,4,823,0.92,FALSE,-0.18,655,0.98,FALSE,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
