"","date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","windowcenter","trialduration","trialtimeout","blocktimeout","response","correct","latency","inwindow"
"1","020718","20:08:12","857524699","182940083","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","49","1","5369","0"
"2","020718","20:08:12","857524699","182940083","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","Female","1","3719","0"
"3","020718","14:05:10","115981584","730072246","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","21","1","2900","0"
"4","020718","14:05:10","115981584","730072246","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","2549","0"
"5","020718","20:05:28","156230344","57250160","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","36","1","3167","0"
"6","020718","20:05:28","156230344","57250160","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","3154","0"
"7","020718","20:04:39","28248525","255740741","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","29","1","5076","0"
"8","020718","20:04:39","28248525","255740741","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","3211","0"
"9","020718","21:04:08","428214434","27226757","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","25","1","14470","0"
"10","020718","21:04:08","428214434","27226757","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","7040","0"
"11","020718","20:05:28","156230344","57250160","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","36","1","3167","0"
"12","020718","20:05:28","156230344","57250160","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","3154","0"
"13","020718","20:04:00","110624351","563591600","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","33","1","5218","0"
"14","020718","20:04:00","110624351","563591600","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","5970","0"
"15","020718","20:03:46","603272830","681508303","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","30","1","3550","0"
"16","020718","20:03:46","603272830","681508303","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","3867","0"
"17","020718","20:03:29","52392316","770578037","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","31","1","6841","0"
"18","020718","20:03:29","52392316","770578037","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","6324","0"
"19","020718","20:03:25","546879522","837260989","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","31","1","5563","0"
"20","020718","20:03:25","546879522","837260989","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","Female","1","5695","0"
"21","020718","20:04:25","156230344","57250160","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","36","1","4002","0"
"22","020718","20:04:25","156230344","57250160","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","3565","0"
"23","020718","12:02:12","667308669","7205392","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","34","1","3466","0"
"24","020718","12:02:12","667308669","7205392","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","4565","0"
"25","020718","18:26:44","602824275","657593060","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","40","1","3611","0"
"26","020718","18:26:44","602824275","657593060","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","4978","0"
"27","020718","17:00:12","278772142","325320975","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","45","1","4357","0"
"28","020718","17:00:12","278772142","325320975","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","3573","0"
"29","020718","16:48:20","574099142","148231489","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","28","1","8876","0"
"30","020718","16:48:20","574099142","148231489","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","15686","0"
"31","020718","16:36:42","175649895","935323645","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","","1","12944","0"
"32","020718","12:36:05","487853738","942733821","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","23","1","4885","0"
"33","020718","12:36:05","487853738","942733821","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","4230","0"
"34","020718","16:33:34","830540342","772374929","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","53","1","4905","0"
"35","020718","16:33:34","830540342","772374929","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","53","1","4336","0"
"36","020718","16:32:04","392830515","991310004","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","34","1","3155","0"
"37","020718","16:32:04","392830515","991310004","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","3663","0"
"38","020718","16:31:48","720248016","955145745","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","59","1","12360","0"
"39","020718","16:31:48","720248016","955145745","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","7181","0"
"40","020718","16:31:57","872541649","238431888","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","40","1","5072","0"
"41","020718","16:31:57","872541649","238431888","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","Female","1","5517","0"
"42","020718","16:30:51","175649895","935323645","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","32","1","3420","0"
"43","020718","16:30:51","175649895","935323645","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","5493","0"
"44","020718","16:30:59","148807327","525408622","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","48","1","6120","0"
"45","020718","16:30:59","148807327","525408622","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","3594","0"
"46","020718","16:30:41","981544530","739994208","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","28","1","3026","0"
"47","020718","16:30:41","981544530","739994208","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","4087","0"
"48","020718","16:00:56","542431076","717194360","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","50 ","1","5677","0"
"49","020718","16:00:56","542431076","717194360","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","f","1","10328","0"
"50","020718","16:21:01","712422110","742227168","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","21 ","1","5983","0"
"51","020718","16:21:01","712422110","742227168","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","3409","0"
"52","020718","16:22:08","746821145","147347378","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","52","1","7230","0"
"53","020718","16:22:08","746821145","147347378","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","Female","1","5834","0"
"54","020718","16:16:03","677996632","605606673","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","27","1","39753","0"
"55","020718","16:16:03","677996632","605606673","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","5470","0"
"56","020818","01:16:34","815899598","295372062","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","27 ","1","4430","0"
"57","020818","01:16:34","815899598","295372062","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","4698","0"
"58","020718","16:16:18","243097400","41400304","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","21","1","7782","0"
"59","020718","16:16:18","243097400","41400304","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","4239","0"
"60","020718","16:14:57","841094815","833121121","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","28","1","5967","0"
"61","020718","16:14:57","841094815","833121121","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","Female","1","4510","0"
"62","020718","16:07:44","85622026","563438230","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","30 ","1","4303","0"
"63","020718","16:07:44","85622026","563438230","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","3884","0"
"64","020718","16:08:57","851195179","259778364","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","20","1","10544","0"
"65","020718","16:08:57","851195179","259778364","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","4152","0"
"66","020718","11:08:34","959710224","34712061","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","50 ","1","8585","0"
"67","020718","11:08:34","959710224","34712061","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","f","1","3045","0"
"68","020718","11:08:28","248897318","472641427","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","  40","1","10646","0"
"69","020718","11:08:28","248897318","472641427","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","6399","0"
"70","020718","16:07:25","408957422","240102817","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","34","1","11829","0"
"71","020718","16:07:25","408957422","240102817","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","3621","0"
"72","020718","16:05:48","416792613","649334898","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","48","1","11279","0"
"73","020718","16:05:48","416792613","649334898","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","7906","0"
"74","020718","16:05:34","479592360","632173056","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","19","1","6674","0"
"75","020718","16:05:34","479592360","632173056","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","6231","0"
"76","020718","16:02:17","530301891","291388118","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","22","1","3900","0"
"77","020718","16:02:17","530301891","291388118","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","2179","0"
"78","020718","16:01:38","274442445","937860201","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","20","1","5729","0"
"79","020718","16:01:38","274442445","937860201","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","4761","0"
"80","020718","16:01:37","677404872","387423690","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","56","1","6248","0"
"81","020718","16:01:37","677404872","387423690","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","5177","0"
"82","020718","16:01:13","933415165","846149360","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","22","1","8832","0"
"83","020718","16:01:13","933415165","846149360","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","2258","0"
"84","020718","15:59:23","264976127","339116986","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","21 ","1","15459","0"
"85","020718","15:59:23","264976127","339116986","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","3800","0"
"86","020718","15:59:55","408957422","240102817","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","34","1","6296","0"
"87","020718","15:59:55","408957422","240102817","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","4019","0"
"88","020718","15:59:52","997073081","287391307","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","24","1","3430","0"
"89","020718","15:59:52","997073081","287391307","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","Non-binary","1","5088","0"
"90","020718","15:58:20","528619251","145596673","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","24","1","6590","0"
"91","020718","15:58:20","528619251","145596673","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","4323","0"
"92","020718","15:59:03","349060512","253556644","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","21","1","3619","0"
"93","020718","15:59:03","349060512","253556644","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","4247","0"
"94","020718","15:57:23","706900236","966998928","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","19","1","4080","0"
"95","020718","15:57:23","706900236","966998928","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","2792","0"
"96","020718","15:56:30","596816630","77399296","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","38 ","1","5024","0"
"97","020718","15:56:30","596816630","77399296","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","F","1","2038","0"
"98","020718","10:56:37","248543904","862429627","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","61","1","5060","0"
"99","020718","10:56:37","248543904","862429627","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","5683","0"
"100","020718","15:56:32","248025310","402124967","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","40","1","3281","0"
"101","020718","15:56:32","248025310","402124967","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","3483","0"
"102","020718","15:55:50","815424265","468462502","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","32 ","1","6197","0"
"103","020718","15:55:50","815424265","468462502","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","5812","0"
"104","020718","15:53:30","382567260","610168744","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","28","1","5419","0"
"105","020718","15:53:30","382567260","610168744","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","MALE","1","4016","0"
"106","020718","15:53:13","881536800","575082229","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","42","1","4714","0"
"107","020718","15:53:13","881536800","575082229","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","f","1","4785","0"
"108","020718","15:51:24","881536800","575082229","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","42","1","12372","0"
"109","020718","15:51:24","881536800","575082229","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","6721","0"
"110","020718","15:50:30","784701108","647554123","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","37","1","3523","0"
"111","020718","15:50:30","784701108","647554123","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","Female","1","4613","0"
"112","020718","15:47:32","1499492","258125975","4.0.10.0","1","1","demographics","age","0","0","0","0","0","0","21","1","2236","0"
"113","020718","15:47:32","1499492","258125975","4.0.10.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","3538","0"
