"participant","trial_n","rating","IAT_condition","block_order","task_order","gender","age","modern_racism_scale_total","amp_recognition_response","IAT_exclude_based_on_fast_trials","exclude"
448,2,4,"Flowers-Insects IAT","incongruent","SCIAT first","",33,24,"Only black faces",FALSE,FALSE
448,3,4,"Flowers-Insects IAT","incongruent","SCIAT first","",33,24,"Only black faces",FALSE,FALSE
448,4,4,"Flowers-Insects IAT","incongruent","SCIAT first","",33,24,"Only black faces",FALSE,FALSE
448,5,4,"Flowers-Insects IAT","incongruent","SCIAT first","",33,24,"Only black faces",FALSE,FALSE
448,6,4,"Flowers-Insects IAT","incongruent","SCIAT first","",33,24,"Only black faces",FALSE,FALSE
446,1,4,"Flowers-Insects IAT","incongruent","ratings first","male",40,25,"Only black faces",FALSE,FALSE
446,2,4,"Flowers-Insects IAT","incongruent","ratings first","male",40,25,"Only black faces",FALSE,FALSE
446,3,4,"Flowers-Insects IAT","incongruent","ratings first","male",40,25,"Only black faces",FALSE,FALSE
446,4,4,"Flowers-Insects IAT","incongruent","ratings first","male",40,25,"Only black faces",FALSE,FALSE
446,5,4,"Flowers-Insects IAT","incongruent","ratings first","male",40,25,"Only black faces",FALSE,FALSE
446,6,4,"Flowers-Insects IAT","incongruent","ratings first","male",40,25,"Only black faces",FALSE,FALSE
443,1,6,"Race IAT","congruent","SCIAT first","female",45,12,"Both white and black faces",FALSE,FALSE
443,2,6,"Race IAT","congruent","SCIAT first","female",45,12,"Both white and black faces",FALSE,FALSE
443,3,6,"Race IAT","congruent","SCIAT first","female",45,12,"Both white and black faces",FALSE,FALSE
443,4,5,"Race IAT","congruent","SCIAT first","female",45,12,"Both white and black faces",FALSE,FALSE
443,5,5,"Race IAT","congruent","SCIAT first","female",45,12,"Both white and black faces",FALSE,FALSE
443,6,5,"Race IAT","congruent","SCIAT first","female",45,12,"Both white and black faces",FALSE,FALSE
440,1,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,19,"Only black faces",FALSE,FALSE
440,2,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,19,"Only black faces",FALSE,FALSE
440,3,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,19,"Only black faces",FALSE,FALSE
440,4,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,19,"Only black faces",FALSE,FALSE
440,5,5,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,19,"Only black faces",FALSE,FALSE
440,6,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,19,"Only black faces",FALSE,FALSE
435,1,4,"Race IAT","congruent","SCIAT first","female",49,17,"Only black faces",FALSE,FALSE
435,2,3,"Race IAT","congruent","SCIAT first","female",49,17,"Only black faces",FALSE,FALSE
435,3,3,"Race IAT","congruent","SCIAT first","female",49,17,"Only black faces",FALSE,FALSE
435,4,4,"Race IAT","congruent","SCIAT first","female",49,17,"Only black faces",FALSE,FALSE
435,5,4,"Race IAT","congruent","SCIAT first","female",49,17,"Only black faces",FALSE,FALSE
435,6,4,"Race IAT","congruent","SCIAT first","female",49,17,"Only black faces",FALSE,FALSE
442,1,7,"Race IAT","incongruent","ratings first","female",30,16,"Only black faces",FALSE,FALSE
442,2,7,"Race IAT","incongruent","ratings first","female",30,16,"Only black faces",FALSE,FALSE
442,3,7,"Race IAT","incongruent","ratings first","female",30,16,"Only black faces",FALSE,FALSE
442,4,7,"Race IAT","incongruent","ratings first","female",30,16,"Only black faces",FALSE,FALSE
442,5,7,"Race IAT","incongruent","ratings first","female",30,16,"Only black faces",FALSE,FALSE
442,6,7,"Race IAT","incongruent","ratings first","female",30,16,"Only black faces",FALSE,FALSE
432,1,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",28,14,"I don't know",FALSE,FALSE
432,2,3,"Flowers-Insects IAT","incongruent","SCIAT first","female",28,14,"I don't know",FALSE,FALSE
432,3,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",28,14,"I don't know",FALSE,FALSE
432,4,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",28,14,"I don't know",FALSE,FALSE
432,5,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",28,14,"I don't know",FALSE,FALSE
432,6,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",28,14,"I don't know",FALSE,FALSE
433,1,4,"Race IAT","congruent","ratings first","female",24,21,"I don't know",FALSE,FALSE
433,2,4,"Race IAT","congruent","ratings first","female",24,21,"I don't know",FALSE,FALSE
433,3,4,"Race IAT","congruent","ratings first","female",24,21,"I don't know",FALSE,FALSE
433,4,4,"Race IAT","congruent","ratings first","female",24,21,"I don't know",FALSE,FALSE
433,5,4,"Race IAT","congruent","ratings first","female",24,21,"I don't know",FALSE,FALSE
433,6,4,"Race IAT","congruent","ratings first","female",24,21,"I don't know",FALSE,FALSE
427,1,4,"Race IAT","congruent","SCIAT first","male",23,16,"Only black faces",FALSE,FALSE
427,2,4,"Race IAT","congruent","SCIAT first","male",23,16,"Only black faces",FALSE,FALSE
427,3,4,"Race IAT","congruent","SCIAT first","male",23,16,"Only black faces",FALSE,FALSE
427,4,4,"Race IAT","congruent","SCIAT first","male",23,16,"Only black faces",FALSE,FALSE
427,5,4,"Race IAT","congruent","SCIAT first","male",23,16,"Only black faces",FALSE,FALSE
427,6,4,"Race IAT","congruent","SCIAT first","male",23,16,"Only black faces",FALSE,FALSE
424,1,3,"Flowers-Insects IAT","incongruent","SCIAT first","male",35,24,"Only black faces",FALSE,FALSE
424,2,3,"Flowers-Insects IAT","incongruent","SCIAT first","male",35,24,"Only black faces",FALSE,FALSE
424,3,3,"Flowers-Insects IAT","incongruent","SCIAT first","male",35,24,"Only black faces",FALSE,FALSE
424,4,3,"Flowers-Insects IAT","incongruent","SCIAT first","male",35,24,"Only black faces",FALSE,FALSE
424,5,3,"Flowers-Insects IAT","incongruent","SCIAT first","male",35,24,"Only black faces",FALSE,FALSE
424,6,3,"Flowers-Insects IAT","incongruent","SCIAT first","male",35,24,"Only black faces",FALSE,FALSE
429,1,4,"Flowers-Insects IAT","congruent","ratings first","female",37,15,"Both white and black faces",FALSE,FALSE
429,2,4,"Flowers-Insects IAT","congruent","ratings first","female",37,15,"Both white and black faces",FALSE,FALSE
429,3,4,"Flowers-Insects IAT","congruent","ratings first","female",37,15,"Both white and black faces",FALSE,FALSE
429,4,4,"Flowers-Insects IAT","congruent","ratings first","female",37,15,"Both white and black faces",FALSE,FALSE
429,5,4,"Flowers-Insects IAT","congruent","ratings first","female",37,15,"Both white and black faces",FALSE,FALSE
429,6,4,"Flowers-Insects IAT","congruent","ratings first","female",37,15,"Both white and black faces",FALSE,FALSE
416,1,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",54,23,"Both white and black faces",FALSE,FALSE
416,2,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",54,23,"Both white and black faces",FALSE,FALSE
416,3,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",54,23,"Both white and black faces",FALSE,FALSE
416,4,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",54,23,"Both white and black faces",FALSE,FALSE
416,5,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",54,23,"Both white and black faces",FALSE,FALSE
416,6,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",54,23,"Both white and black faces",FALSE,FALSE
422,1,3,"Flowers-Insects IAT","incongruent","ratings first","male",55,15,"Only black faces",FALSE,FALSE
422,2,4,"Flowers-Insects IAT","incongruent","ratings first","male",55,15,"Only black faces",FALSE,FALSE
422,3,3,"Flowers-Insects IAT","incongruent","ratings first","male",55,15,"Only black faces",FALSE,FALSE
422,4,3,"Flowers-Insects IAT","incongruent","ratings first","male",55,15,"Only black faces",FALSE,FALSE
422,5,3,"Flowers-Insects IAT","incongruent","ratings first","male",55,15,"Only black faces",FALSE,FALSE
422,6,4,"Flowers-Insects IAT","incongruent","ratings first","male",55,15,"Only black faces",FALSE,FALSE
421,1,4,"Flowers-Insects IAT","congruent","ratings first","female",29,20,"I don't know",FALSE,FALSE
421,2,4,"Flowers-Insects IAT","congruent","ratings first","female",29,20,"I don't know",FALSE,FALSE
421,3,4,"Flowers-Insects IAT","congruent","ratings first","female",29,20,"I don't know",FALSE,FALSE
421,4,4,"Flowers-Insects IAT","congruent","ratings first","female",29,20,"I don't know",FALSE,FALSE
421,5,4,"Flowers-Insects IAT","congruent","ratings first","female",29,20,"I don't know",FALSE,FALSE
421,6,4,"Flowers-Insects IAT","congruent","ratings first","female",29,20,"I don't know",FALSE,FALSE
410,1,5,"Race IAT","incongruent","ratings first","female",47,18,"Only black faces",FALSE,FALSE
410,2,5,"Race IAT","incongruent","ratings first","female",47,18,"Only black faces",FALSE,FALSE
410,3,5,"Race IAT","incongruent","ratings first","female",47,18,"Only black faces",FALSE,FALSE
410,4,5,"Race IAT","incongruent","ratings first","female",47,18,"Only black faces",FALSE,FALSE
410,5,5,"Race IAT","incongruent","ratings first","female",47,18,"Only black faces",FALSE,FALSE
410,6,5,"Race IAT","incongruent","ratings first","female",47,18,"Only black faces",FALSE,FALSE
404,1,6,"Race IAT","incongruent","SCIAT first","male",18,20,"Only black faces",FALSE,FALSE
404,2,6,"Race IAT","incongruent","SCIAT first","male",18,20,"Only black faces",FALSE,FALSE
404,3,6,"Race IAT","incongruent","SCIAT first","male",18,20,"Only black faces",FALSE,FALSE
404,4,6,"Race IAT","incongruent","SCIAT first","male",18,20,"Only black faces",FALSE,FALSE
404,5,6,"Race IAT","incongruent","SCIAT first","male",18,20,"Only black faces",FALSE,FALSE
404,6,6,"Race IAT","incongruent","SCIAT first","male",18,20,"Only black faces",FALSE,FALSE
400,1,5,"Flowers-Insects IAT","incongruent","SCIAT first","female",20,14,"Only black faces",FALSE,FALSE
400,2,5,"Flowers-Insects IAT","incongruent","SCIAT first","female",20,14,"Only black faces",FALSE,FALSE
400,3,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",20,14,"Only black faces",FALSE,FALSE
400,4,5,"Flowers-Insects IAT","incongruent","SCIAT first","female",20,14,"Only black faces",FALSE,FALSE
400,5,5,"Flowers-Insects IAT","incongruent","SCIAT first","female",20,14,"Only black faces",FALSE,FALSE
400,6,5,"Flowers-Insects IAT","incongruent","SCIAT first","female",20,14,"Only black faces",FALSE,FALSE
383,1,4,"Flowers-Insects IAT","congruent","SCIAT first","female",54,20,"Only black faces",FALSE,FALSE
383,2,3,"Flowers-Insects IAT","congruent","SCIAT first","female",54,20,"Only black faces",FALSE,FALSE
383,3,4,"Flowers-Insects IAT","congruent","SCIAT first","female",54,20,"Only black faces",FALSE,FALSE
383,4,4,"Flowers-Insects IAT","congruent","SCIAT first","female",54,20,"Only black faces",FALSE,FALSE
383,5,4,"Flowers-Insects IAT","congruent","SCIAT first","female",54,20,"Only black faces",FALSE,FALSE
383,6,4,"Flowers-Insects IAT","congruent","SCIAT first","female",54,20,"Only black faces",FALSE,FALSE
402,1,4,"Race IAT","incongruent","ratings first","male",22,14,"Only black faces",FALSE,FALSE
402,2,4,"Race IAT","incongruent","ratings first","male",22,14,"Only black faces",FALSE,FALSE
402,3,4,"Race IAT","incongruent","ratings first","male",22,14,"Only black faces",FALSE,FALSE
402,4,4,"Race IAT","incongruent","ratings first","male",22,14,"Only black faces",FALSE,FALSE
402,5,4,"Race IAT","incongruent","ratings first","male",22,14,"Only black faces",FALSE,FALSE
402,6,4,"Race IAT","incongruent","ratings first","male",22,14,"Only black faces",FALSE,FALSE
372,1,6,"Race IAT","incongruent","SCIAT first","female",20,16,"Only black faces",FALSE,FALSE
372,2,6,"Race IAT","incongruent","SCIAT first","female",20,16,"Only black faces",FALSE,FALSE
372,3,6,"Race IAT","incongruent","SCIAT first","female",20,16,"Only black faces",FALSE,FALSE
372,4,6,"Race IAT","incongruent","SCIAT first","female",20,16,"Only black faces",FALSE,FALSE
372,5,6,"Race IAT","incongruent","SCIAT first","female",20,16,"Only black faces",FALSE,FALSE
372,6,6,"Race IAT","incongruent","SCIAT first","female",20,16,"Only black faces",FALSE,FALSE
379,1,5,"Race IAT","congruent","SCIAT first","female",24,23,"Only black faces",FALSE,FALSE
379,2,4,"Race IAT","congruent","SCIAT first","female",24,23,"Only black faces",FALSE,FALSE
379,3,4,"Race IAT","congruent","SCIAT first","female",24,23,"Only black faces",FALSE,FALSE
379,4,2,"Race IAT","congruent","SCIAT first","female",24,23,"Only black faces",FALSE,FALSE
379,5,4,"Race IAT","congruent","SCIAT first","female",24,23,"Only black faces",FALSE,FALSE
379,6,3,"Race IAT","congruent","SCIAT first","female",24,23,"Only black faces",FALSE,FALSE
360,1,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",36,21,"Only black faces",FALSE,FALSE
360,2,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",36,21,"Only black faces",FALSE,FALSE
360,3,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",36,21,"Only black faces",FALSE,FALSE
360,4,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",36,21,"Only black faces",FALSE,FALSE
360,5,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",36,21,"Only black faces",FALSE,FALSE
360,6,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",36,21,"Only black faces",FALSE,FALSE
368,1,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",35,16,"Only black faces",FALSE,FALSE
368,2,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",35,16,"Only black faces",FALSE,FALSE
368,3,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",35,16,"Only black faces",FALSE,FALSE
368,4,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",35,16,"Only black faces",FALSE,FALSE
368,5,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",35,16,"Only black faces",FALSE,FALSE
368,6,4,"Flowers-Insects IAT","incongruent","SCIAT first","female",35,16,"Only black faces",FALSE,FALSE
375,1,3,"Flowers-Insects IAT","congruent","SCIAT first","male",27,25,"Only black faces",FALSE,FALSE
375,2,3,"Flowers-Insects IAT","congruent","SCIAT first","male",27,25,"Only black faces",FALSE,FALSE
375,3,4,"Flowers-Insects IAT","congruent","SCIAT first","male",27,25,"Only black faces",FALSE,FALSE
375,4,4,"Flowers-Insects IAT","congruent","SCIAT first","male",27,25,"Only black faces",FALSE,FALSE
375,5,4,"Flowers-Insects IAT","congruent","SCIAT first","male",27,25,"Only black faces",FALSE,FALSE
375,6,5,"Flowers-Insects IAT","congruent","SCIAT first","male",27,25,"Only black faces",FALSE,FALSE
398,1,6,"Flowers-Insects IAT","incongruent","ratings first","male",23,28,"Only black faces",FALSE,FALSE
398,2,5,"Flowers-Insects IAT","incongruent","ratings first","male",23,28,"Only black faces",FALSE,FALSE
398,3,5,"Flowers-Insects IAT","incongruent","ratings first","male",23,28,"Only black faces",FALSE,FALSE
398,4,4,"Flowers-Insects IAT","incongruent","ratings first","male",23,28,"Only black faces",FALSE,FALSE
398,5,3,"Flowers-Insects IAT","incongruent","ratings first","male",23,28,"Only black faces",FALSE,FALSE
398,6,6,"Flowers-Insects IAT","incongruent","ratings first","male",23,28,"Only black faces",FALSE,FALSE
284,1,4,"Race IAT","incongruent","SCIAT first","male",30,15,"Only black faces",FALSE,FALSE
284,2,3,"Race IAT","incongruent","SCIAT first","male",30,15,"Only black faces",FALSE,FALSE
284,3,2,"Race IAT","incongruent","SCIAT first","male",30,15,"Only black faces",FALSE,FALSE
284,4,3,"Race IAT","incongruent","SCIAT first","male",30,15,"Only black faces",FALSE,FALSE
284,5,3,"Race IAT","incongruent","SCIAT first","male",30,15,"Only black faces",FALSE,FALSE
284,6,2,"Race IAT","incongruent","SCIAT first","male",30,15,"Only black faces",FALSE,FALSE
367,1,3,"Flowers-Insects IAT","congruent","SCIAT first","female",19,15,"Only black faces",FALSE,FALSE
367,2,4,"Flowers-Insects IAT","congruent","SCIAT first","female",19,15,"Only black faces",FALSE,FALSE
367,3,4,"Flowers-Insects IAT","congruent","SCIAT first","female",19,15,"Only black faces",FALSE,FALSE
367,4,4,"Flowers-Insects IAT","congruent","SCIAT first","female",19,15,"Only black faces",FALSE,FALSE
367,5,4,"Flowers-Insects IAT","congruent","SCIAT first","female",19,15,"Only black faces",FALSE,FALSE
367,6,4,"Flowers-Insects IAT","congruent","SCIAT first","female",19,15,"Only black faces",FALSE,FALSE
355,1,6,"Race IAT","congruent","SCIAT first","female",33,12,"Only black faces",FALSE,FALSE
355,2,5,"Race IAT","congruent","SCIAT first","female",33,12,"Only black faces",FALSE,FALSE
355,3,6,"Race IAT","congruent","SCIAT first","female",33,12,"Only black faces",FALSE,FALSE
355,4,6,"Race IAT","congruent","SCIAT first","female",33,12,"Only black faces",FALSE,FALSE
355,5,4,"Race IAT","congruent","SCIAT first","female",33,12,"Only black faces",FALSE,FALSE
355,6,5,"Race IAT","congruent","SCIAT first","female",33,12,"Only black faces",FALSE,FALSE
347,1,5,"Race IAT","congruent","SCIAT first","female",28,18,"Both white and black faces",FALSE,FALSE
347,2,4,"Race IAT","congruent","SCIAT first","female",28,18,"Both white and black faces",FALSE,FALSE
347,3,3,"Race IAT","congruent","SCIAT first","female",28,18,"Both white and black faces",FALSE,FALSE
347,4,6,"Race IAT","congruent","SCIAT first","female",28,18,"Both white and black faces",FALSE,FALSE
347,5,5,"Race IAT","congruent","SCIAT first","female",28,18,"Both white and black faces",FALSE,FALSE
