"participant","trial_n","rating","IAT_condition","block_order","task_order","gender","age","modern_racism_scale_total","amp_recognition_response","IAT_exclude_based_on_fast_trials","exclude"
480,1,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",28,19,"Only black faces",FALSE,FALSE
480,2,3,"Flowers-Insects IAT","incongruent","SCIAT first","male",28,19,"Only black faces",FALSE,FALSE
480,3,2,"Flowers-Insects IAT","incongruent","SCIAT first","male",28,19,"Only black faces",FALSE,FALSE
480,4,6,"Flowers-Insects IAT","incongruent","SCIAT first","male",28,19,"Only black faces",FALSE,FALSE
480,5,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",28,19,"Only black faces",FALSE,FALSE
480,6,5,"Flowers-Insects IAT","incongruent","SCIAT first","male",28,19,"Only black faces",FALSE,FALSE
481,1,5,"Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE
481,2,5,"Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE
481,3,5,"Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE
481,4,5,"Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE
481,5,5,"Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE
481,6,5,"Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE
478,1,4,"Flowers-Insects IAT","incongruent","ratings first","male",52,18,"Only black faces",FALSE,FALSE
478,2,4,"Flowers-Insects IAT","incongruent","ratings first","male",52,18,"Only black faces",FALSE,FALSE
478,3,4,"Flowers-Insects IAT","incongruent","ratings first","male",52,18,"Only black faces",FALSE,FALSE
478,4,4,"Flowers-Insects IAT","incongruent","ratings first","male",52,18,"Only black faces",FALSE,FALSE
478,5,4,"Flowers-Insects IAT","incongruent","ratings first","male",52,18,"Only black faces",FALSE,FALSE
478,6,4,"Flowers-Insects IAT","incongruent","ratings first","male",52,18,"Only black faces",FALSE,FALSE
475,1,6,"Race IAT","congruent","SCIAT first","male",31,23,"Both white and black faces",FALSE,FALSE
475,2,6,"Race IAT","congruent","SCIAT first","male",31,23,"Both white and black faces",FALSE,FALSE
475,3,6,"Race IAT","congruent","SCIAT first","male",31,23,"Both white and black faces",FALSE,FALSE
475,4,6,"Race IAT","congruent","SCIAT first","male",31,23,"Both white and black faces",FALSE,FALSE
475,5,6,"Race IAT","congruent","SCIAT first","male",31,23,"Both white and black faces",FALSE,FALSE
475,6,6,"Race IAT","congruent","SCIAT first","male",31,23,"Both white and black faces",FALSE,FALSE
459,1,4,"Race IAT","congruent","SCIAT first","female",27,22,"Only black faces",FALSE,FALSE
459,2,4,"Race IAT","congruent","SCIAT first","female",27,22,"Only black faces",FALSE,FALSE
459,3,4,"Race IAT","congruent","SCIAT first","female",27,22,"Only black faces",FALSE,FALSE
459,4,5,"Race IAT","congruent","SCIAT first","female",27,22,"Only black faces",FALSE,FALSE
459,5,6,"Race IAT","congruent","SCIAT first","female",27,22,"Only black faces",FALSE,FALSE
459,6,6,"Race IAT","congruent","SCIAT first","female",27,22,"Only black faces",FALSE,FALSE
468,1,4,"Race IAT","incongruent","SCIAT first","male",22,19,"I don't know",FALSE,FALSE
468,2,4,"Race IAT","incongruent","SCIAT first","male",22,19,"I don't know",FALSE,FALSE
468,3,4,"Race IAT","incongruent","SCIAT first","male",22,19,"I don't know",FALSE,FALSE
468,4,5,"Race IAT","incongruent","SCIAT first","male",22,19,"I don't know",FALSE,FALSE
468,5,4,"Race IAT","incongruent","SCIAT first","male",22,19,"I don't know",FALSE,FALSE
468,6,4,"Race IAT","incongruent","SCIAT first","male",22,19,"I don't know",FALSE,FALSE
464,1,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",32,13,"I don't know",FALSE,FALSE
464,2,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",32,13,"I don't know",FALSE,FALSE
464,3,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",32,13,"I don't know",FALSE,FALSE
464,4,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",32,13,"I don't know",FALSE,FALSE
464,5,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",32,13,"I don't know",FALSE,FALSE
464,6,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",32,13,"I don't know",FALSE,FALSE
471,1,4,"Flowers-Insects IAT","congruent","SCIAT first","female",19,18,"Only black faces",FALSE,FALSE
471,2,4,"Flowers-Insects IAT","congruent","SCIAT first","female",19,18,"Only black faces",FALSE,FALSE
471,3,5,"Flowers-Insects IAT","congruent","SCIAT first","female",19,18,"Only black faces",FALSE,FALSE
471,4,4,"Flowers-Insects IAT","congruent","SCIAT first","female",19,18,"Only black faces",FALSE,FALSE
471,5,4,"Flowers-Insects IAT","congruent","SCIAT first","female",19,18,"Only black faces",FALSE,FALSE
471,6,4,"Flowers-Insects IAT","congruent","SCIAT first","female",19,18,"Only black faces",FALSE,FALSE
463,1,4,"Flowers-Insects IAT","congruent","SCIAT first","male",57,16,"Only black faces",FALSE,FALSE
463,2,4,"Flowers-Insects IAT","congruent","SCIAT first","male",57,16,"Only black faces",FALSE,FALSE
463,3,4,"Flowers-Insects IAT","congruent","SCIAT first","male",57,16,"Only black faces",FALSE,FALSE
463,4,4,"Flowers-Insects IAT","congruent","SCIAT first","male",57,16,"Only black faces",FALSE,FALSE
463,5,4,"Flowers-Insects IAT","congruent","SCIAT first","male",57,16,"Only black faces",FALSE,FALSE
463,6,4,"Flowers-Insects IAT","congruent","SCIAT first","male",57,16,"Only black faces",FALSE,FALSE
456,1,3,"Flowers-Insects IAT","incongruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
456,2,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
456,3,7,"Flowers-Insects IAT","incongruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
456,4,5,"Flowers-Insects IAT","incongruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
456,5,3,"Flowers-Insects IAT","incongruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
456,6,3,"Flowers-Insects IAT","incongruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
460,1,3,"Race IAT","incongruent","SCIAT first","female",34,19,"Both white and black faces",FALSE,FALSE
460,2,1,"Race IAT","incongruent","SCIAT first","female",34,19,"Both white and black faces",FALSE,FALSE
460,3,1,"Race IAT","incongruent","SCIAT first","female",34,19,"Both white and black faces",FALSE,FALSE
460,4,2,"Race IAT","incongruent","SCIAT first","female",34,19,"Both white and black faces",FALSE,FALSE
460,5,1,"Race IAT","incongruent","SCIAT first","female",34,19,"Both white and black faces",FALSE,FALSE
460,6,1,"Race IAT","incongruent","SCIAT first","female",34,19,"Both white and black faces",FALSE,FALSE
465,1,4,"Race IAT","congruent","ratings first","male",39,18,"Only black faces",FALSE,FALSE
465,2,4,"Race IAT","congruent","ratings first","male",39,18,"Only black faces",FALSE,FALSE
465,3,4,"Race IAT","congruent","ratings first","male",39,18,"Only black faces",FALSE,FALSE
465,4,4,"Race IAT","congruent","ratings first","male",39,18,"Only black faces",FALSE,FALSE
465,5,4,"Race IAT","congruent","ratings first","male",39,18,"Only black faces",FALSE,FALSE
465,6,4,"Race IAT","congruent","ratings first","male",39,18,"Only black faces",FALSE,FALSE
470,1,6,"Flowers-Insects IAT","incongruent","ratings first","male",33,16,"Only black faces",FALSE,FALSE
470,2,6,"Flowers-Insects IAT","incongruent","ratings first","male",33,16,"Only black faces",FALSE,FALSE
470,3,6,"Flowers-Insects IAT","incongruent","ratings first","male",33,16,"Only black faces",FALSE,FALSE
470,4,6,"Flowers-Insects IAT","incongruent","ratings first","male",33,16,"Only black faces",FALSE,FALSE
470,5,6,"Flowers-Insects IAT","incongruent","ratings first","male",33,16,"Only black faces",FALSE,FALSE
470,6,6,"Flowers-Insects IAT","incongruent","ratings first","male",33,16,"Only black faces",FALSE,FALSE
454,1,3,"Flowers-Insects IAT","incongruent","ratings first","male",43,16,"Only black faces",FALSE,FALSE
454,2,4,"Flowers-Insects IAT","incongruent","ratings first","male",43,16,"Only black faces",FALSE,FALSE
454,3,4,"Flowers-Insects IAT","incongruent","ratings first","male",43,16,"Only black faces",FALSE,FALSE
454,4,4,"Flowers-Insects IAT","incongruent","ratings first","male",43,16,"Only black faces",FALSE,FALSE
454,5,4,"Flowers-Insects IAT","incongruent","ratings first","male",43,16,"Only black faces",FALSE,FALSE
454,6,4,"Flowers-Insects IAT","incongruent","ratings first","male",43,16,"Only black faces",FALSE,FALSE
457,1,5,"Race IAT","congruent","ratings first","female",23,15,"Only black faces",FALSE,FALSE
457,2,5,"Race IAT","congruent","ratings first","female",23,15,"Only black faces",FALSE,FALSE
457,3,5,"Race IAT","congruent","ratings first","female",23,15,"Only black faces",FALSE,FALSE
457,4,5,"Race IAT","congruent","ratings first","female",23,15,"Only black faces",FALSE,FALSE
457,5,5,"Race IAT","congruent","ratings first","female",23,15,"Only black faces",FALSE,FALSE
457,6,5,"Race IAT","congruent","ratings first","female",23,15,"Only black faces",FALSE,FALSE
466,1,6,"Race IAT","incongruent","ratings first","female",27,11,"Only black faces",FALSE,FALSE
466,2,6,"Race IAT","incongruent","ratings first","female",27,11,"Only black faces",FALSE,FALSE
466,3,6,"Race IAT","incongruent","ratings first","female",27,11,"Only black faces",FALSE,FALSE
466,4,6,"Race IAT","incongruent","ratings first","female",27,11,"Only black faces",FALSE,FALSE
466,5,6,"Race IAT","incongruent","ratings first","female",27,11,"Only black faces",FALSE,FALSE
466,6,6,"Race IAT","incongruent","ratings first","female",27,11,"Only black faces",FALSE,FALSE
450,1,4,"Race IAT","incongruent","ratings first","male",18,22,"Only black faces",FALSE,FALSE
450,2,4,"Race IAT","incongruent","ratings first","male",18,22,"Only black faces",FALSE,FALSE
450,3,4,"Race IAT","incongruent","ratings first","male",18,22,"Only black faces",FALSE,FALSE
450,4,4,"Race IAT","incongruent","ratings first","male",18,22,"Only black faces",FALSE,FALSE
450,5,4,"Race IAT","incongruent","ratings first","male",18,22,"Only black faces",FALSE,FALSE
450,6,4,"Race IAT","incongruent","ratings first","male",18,22,"Only black faces",FALSE,FALSE
448,1,4,"Flowers-Insects IAT","incongruent","SCIAT first","",33,24,"Only black faces",FALSE,FALSE
