"participant","accuracy","rt","item","IAT_condition","block_order","task_order","gender","age","modern_racism_scale_total","amp_recognition_response","IAT_exclude_based_on_fast_trials","AMP_exclude_based_on_fast_trials_old","exclude"
481,1,716,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,572,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,667,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,992,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,591,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,493,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,581,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,505,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,642,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,599,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,773,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,558,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,459,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,615,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,566,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,591,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,634,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,376,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,445,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,523,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,738,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,681,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,400,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,697,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,389,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,577,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,501,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,839,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,766,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,548,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,676,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,469,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,510,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,600,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,412,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,728,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,542,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,831,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,535,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,714,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,534,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,683,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,638,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,536,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,478,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,507,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,544,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,696,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,680,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,770,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,520,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,558,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,535,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,468,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,597,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,581,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,510,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,445,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,548,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,901,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,558,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,544,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,472,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,561,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,1159,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,419,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,906,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,386,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,353,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,665,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,305,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,627,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,522,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,481,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,475,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,434,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,551,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,487,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,495,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,544,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,372,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,776,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,792,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,499,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,788,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,535,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,653,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,499,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,537,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,910,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,411,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,492,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,585,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,0,638,"primeRace","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
481,1,506,"primeNeutral","Race IAT","congruent","ratings first","male",22,22,"Both white and black faces",FALSE,FALSE,FALSE
