"participant","complete","amp_recognition_response","gender","age","modern_racism_scale_total","mean_rating","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","AMP_mean_RT","AMP_perc_acc","AMP_neutral_perc_acc","AMP_race_perc_acc","AMP_diff","exclude","condition","IAT_condition","block_order","task_order"
78,TRUE,"Only black faces","male",49,17,4.67,574,0.93,FALSE,169,0.52,0.48,0.56,0.0800000000000001,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
79,TRUE,"Only black faces","male",40,28,4,722,0.97,FALSE,264,0.47,0.48,0.46,-0.02,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
80,TRUE,"Only black faces","male",61,21,3.83,680,1,FALSE,735,0.49,0.58,0.4,-0.18,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
83,TRUE,"Only black faces","male",22,22,4,1056,0.97,FALSE,329,0.57,0.74,0.4,-0.34,FALSE,3,"Race IAT","congruent","SCIAT first"
84,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,4,"Race IAT","incongruent","SCIAT first"
86,TRUE,"Only black faces","female",53,13,4.5,870,0.91,FALSE,477,0.71,0.62,0.8,0.18,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
87,TRUE,"Only black faces","female",39,11,4,740,0.97,FALSE,554,0.98,0.96,1,0.04,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
89,TRUE,"Only black faces","male",49,14,4,829,0.9,FALSE,676,1,1,1,0,FALSE,1,"Race IAT","congruent","ratings first"
94,TRUE,"Only black faces","male",41,11,4,667,0.96,FALSE,643,0.66,0.66,0.66,0,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
96,TRUE,"I don't know","female",29,16,4,813,0.91,FALSE,358,1,1,1,0,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
97,TRUE,"Only black faces","male",56,16,6,1169,1,FALSE,578,0.99,1,0.98,-0.02,FALSE,1,"Race IAT","congruent","ratings first"
98,TRUE,"Only black faces","male",37,17,4,980,0.98,FALSE,741,0.63,0.72,0.54,-0.18,FALSE,2,"Race IAT","incongruent","ratings first"
100,TRUE,"Only black faces","male",37,19,4.33,726,0.97,FALSE,787,0.56,0.64,0.48,-0.16,FALSE,4,"Race IAT","incongruent","SCIAT first"
102,TRUE,"Only black faces","male",38,22,3.17,889,0.95,FALSE,177,0.72,0.68,0.76,0.08,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
104,TRUE,"I don't know","female",28,26,6,887,1,FALSE,524,0.02,0.02,0.02,0,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
107,TRUE,"Only black faces","female",25,13,5,768,0.97,FALSE,696,0.67,0.62,0.72,0.1,FALSE,3,"Race IAT","congruent","SCIAT first"
108,TRUE,"Only black faces","female",62,17,4,963,0.99,FALSE,418,0.75,0.5,1,0.5,FALSE,4,"Race IAT","incongruent","SCIAT first"
111,TRUE,"Both white and black faces","male",41,13,2,964,0.98,FALSE,335,0.57,0.7,0.44,-0.26,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
116,TRUE,"Both white and black faces","male",35,23,4,916,0.88,FALSE,666,0.68,0.48,0.88,0.4,FALSE,4,"Race IAT","incongruent","SCIAT first"
120,TRUE,"Both white and black faces","female",27,17,5,798,0.86,FALSE,685,0.47,0.4,0.54,0.14,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
121,TRUE,"Both white and black faces","male",22,19,4,905,0.81,FALSE,133,0.67,0.74,0.6,-0.14,FALSE,1,"Race IAT","congruent","ratings first"
123,TRUE,"Both white and black faces","female",28,21,6,1621,0.87,FALSE,578,0.49,0.48,0.5,0.02,FALSE,3,"Race IAT","congruent","SCIAT first"
124,TRUE,"Only black faces","female",22,15,4.83,762,0.86,FALSE,664,0.58,0.64,0.52,-0.12,FALSE,4,"Race IAT","incongruent","SCIAT first"
125,TRUE,"Only black faces","male",41,22,4,954,0.89,FALSE,550,0.46,0.48,0.44,-0.04,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
127,TRUE,"I don't know","female",27,20,3.17,737,0.97,FALSE,601,0.69,0.72,0.66,-0.0599999999999999,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
128,TRUE,"Only black faces","female",21,18,4.67,635,0.91,FALSE,445,0.52,0.56,0.48,-0.0800000000000001,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
136,TRUE,"I don't know","female",32,27,4,804,0.95,FALSE,235,1,1,1,0,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
137,TRUE,"Both white and black faces","male",61,14,3.83,903,0.99,FALSE,663,0.6,0.54,0.66,0.12,FALSE,1,"Race IAT","congruent","ratings first"
138,TRUE,"Only black faces","woman",22,13,5,860,0.96,FALSE,739,0.57,0.62,0.52,-0.1,FALSE,2,"Race IAT","incongruent","ratings first"
139,TRUE,"Only black faces","female",37,15,5.67,923,0.95,FALSE,632,0.64,0.7,0.58,-0.12,FALSE,3,"Race IAT","congruent","SCIAT first"
140,TRUE,"Only black faces","male",37,18,3.67,686,0.94,FALSE,674,0.85,0.82,0.88,0.0600000000000001,FALSE,4,"Race IAT","incongruent","SCIAT first"
147,TRUE,"Only black faces","female",54,16,4,1187,0.95,FALSE,320,0,0,0,0,FALSE,3,"Race IAT","congruent","SCIAT first"
147,TRUE,"Only black faces","female",54,16,4,1187,0.95,FALSE,320,0,0,0,0,FALSE,3,"Race IAT","congruent","SCIAT first"
150,TRUE,"Only black faces","male",57,15,4,957,0.97,FALSE,492,0.32,0.28,0.36,0.08,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
151,TRUE,"Only black faces","female",21,25,4.33,922,0.87,FALSE,574,0.55,0.6,0.5,-0.1,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
152,TRUE,"Only black faces","male",22,20,4.17,688,0.9,FALSE,846,0.52,0.54,0.5,-0.04,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
153,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1,"Race IAT","congruent","ratings first"
154,TRUE,"Only black faces","male",28,22,5,1167,0.99,FALSE,830,0.56,0.42,0.7,0.28,FALSE,2,"Race IAT","incongruent","ratings first"
156,TRUE,"Only black faces","female",45,13,4.17,1081,0.97,FALSE,692,0.56,0.58,0.54,-0.0399999999999999,FALSE,4,"Race IAT","incongruent","SCIAT first"
157,TRUE,"Both white and black faces","male",21,16,4.5,764,0.93,FALSE,350,0.99,0.98,1,0.02,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
159,TRUE,"Only black faces","female",51,14,4,813,0.98,FALSE,681,0.4,0.38,0.42,0.04,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
161,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1,"Race IAT","congruent","ratings first"
162,TRUE,"Only black faces","male",29,11,4.83,648,1,FALSE,518,0.63,0.62,0.64,0.02,FALSE,2,"Race IAT","incongruent","ratings first"
