"participant","complete","amp_recognition_response","gender","age","modern_racism_scale_total","mean_rating","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","AMP_mean_RT","AMP_perc_acc","AMP_neutral_perc_acc","AMP_race_perc_acc","AMP_diff","exclude","condition","IAT_condition","block_order","task_order"
336,TRUE,"Both white and black faces","female",53,15,3.33,1125,0.88,FALSE,545,0.63,0.64,0.62,-0.02,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
338,TRUE,"Only black faces","male",32,17,2,704,0.85,FALSE,341,0.47,0.78,0.16,-0.62,FALSE,2,"Race IAT","incongruent","ratings first"
340,TRUE,"Only black faces","male",28,15,4,915,0.91,FALSE,443,1,1,1,0,FALSE,4,"Race IAT","incongruent","SCIAT first"
342,TRUE,"Only black faces","male",29,16,4,955,0.94,FALSE,416,0.98,0.98,0.98,0,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
343,TRUE,"Only black faces","female",48,14,5.83,814,0.96,FALSE,642,0.56,0.34,0.78,0.44,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
344,TRUE,"Only black faces","female",27,14,4.67,756,0.82,FALSE,525,0.51,0.56,0.46,-0.1,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
345,TRUE,"Only black faces","genderfluid",27,17,4,842,0.96,FALSE,1106,0.57,0.66,0.48,-0.18,FALSE,1,"Race IAT","congruent","ratings first"
347,TRUE,"Both white and black faces","female",28,18,4.67,758,0.94,FALSE,450,0.22,0.26,0.18,-0.08,FALSE,3,"Race IAT","congruent","SCIAT first"
348,TRUE,"Only black faces","male",33,14,5.67,801,0.96,FALSE,660,0.45,0.44,0.46,0.02,FALSE,4,"Race IAT","incongruent","SCIAT first"
349,TRUE,"Only black faces","female",47,15,4,936,1,FALSE,799,1,1,1,0,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
350,TRUE,"Only black faces","male",60,19,4.33,940,0.94,FALSE,782,0.66,0.6,0.72,0.12,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
351,TRUE,"Only black faces","male",24,14,5.33,1059,0.91,FALSE,400,0.51,0.28,0.74,0.46,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
352,TRUE,"Only black faces","male",38,12,4.33,725,0.96,FALSE,671,0.46,0.44,0.48,0.04,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
355,TRUE,"Only black faces","female",33,12,5.33,1106,1,FALSE,681,0.79,0.78,0.8,0.02,FALSE,3,"Race IAT","congruent","SCIAT first"
356,TRUE,"Only black faces","female",34,15,6.83,707,0.99,FALSE,290,0.79,0.66,0.92,0.26,FALSE,4,"Race IAT","incongruent","SCIAT first"
360,TRUE,"Only black faces","female",36,21,4,1032,0.97,FALSE,769,0.55,0.58,0.52,-0.0599999999999999,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
362,TRUE,"Both white and black faces","female",33,22,4,724,0.94,FALSE,306,0.91,0.92,0.9,-0.02,FALSE,2,"Race IAT","incongruent","ratings first"
364,TRUE,"Both white and black faces","male",26,14,3.83,653,0.95,FALSE,387,0.68,0.62,0.74,0.12,FALSE,4,"Race IAT","incongruent","SCIAT first"
367,TRUE,"Only black faces","female",19,15,3.83,813,0.88,FALSE,562,0.86,0.84,0.88,0.04,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
368,TRUE,"Only black faces","female",35,16,4,818,0.98,FALSE,620,0.83,0.9,0.76,-0.14,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
369,TRUE,"Only black faces","male",42,26,2.33,1119,0.98,FALSE,525,0.54,0.98,0.1,-0.88,FALSE,1,"Race IAT","congruent","ratings first"
370,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,2,"Race IAT","incongruent","ratings first"
372,TRUE,"Only black faces","female",20,16,6,710,0.97,FALSE,671,0.51,0.52,0.5,-0.02,FALSE,4,"Race IAT","incongruent","SCIAT first"
375,TRUE,"Only black faces","male",27,25,3.83,744,0.9,FALSE,258,0.53,0.64,0.42,-0.22,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
376,TRUE,"Only black faces","female",29,20,3.5,651,0.92,FALSE,277,0.54,0.78,0.3,-0.48,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
379,TRUE,"Only black faces","female",24,23,3.67,761,0.91,FALSE,538,0.63,0.66,0.6,-0.0600000000000001,FALSE,3,"Race IAT","congruent","SCIAT first"
381,TRUE,"Only black faces","female",19,14,3.5,726,0.97,FALSE,560,0.7,0.7,0.7,0,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
383,TRUE,"Only black faces","female",54,20,3.83,835,1,FALSE,686,0.73,0.64,0.82,0.18,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
385,TRUE,"Only black faces","male",22,22,6,647,0.64,TRUE,509,0.69,0.68,0.7,0.0199999999999999,TRUE,1,"Race IAT","congruent","ratings first"
386,TRUE,"Only black faces","female",28,19,4,695,0.91,FALSE,151,0.61,0.56,0.66,0.1,FALSE,2,"Race IAT","incongruent","ratings first"
389,TRUE,"Both white and black faces","female",33,13,4.17,723,0.92,FALSE,377,0.55,0.56,0.54,-0.02,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
398,TRUE,"Only black faces","male",23,28,4.83,720,0.83,FALSE,339,0.63,0.56,0.7,0.14,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
400,TRUE,"Only black faces","female",20,14,4.83,596,0.99,FALSE,606,0.77,0.64,0.9,0.26,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
402,TRUE,"Only black faces","male",22,14,4,666,0.84,FALSE,475,0.92,0.92,0.92,0,FALSE,2,"Race IAT","incongruent","ratings first"
404,TRUE,"Only black faces","male",18,20,6,791,0.93,FALSE,281,0.53,0.1,0.96,0.86,FALSE,4,"Race IAT","incongruent","SCIAT first"
410,TRUE,"Only black faces","female",47,18,5,804,0.98,FALSE,290,1,1,1,0,FALSE,2,"Race IAT","incongruent","ratings first"
416,TRUE,"Both white and black faces","male",54,23,4,864,0.77,FALSE,478,0.95,0.92,0.98,0.0599999999999999,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
421,TRUE,"I don't know","female",29,20,4,719,0.84,FALSE,452,0.34,0.38,0.3,-0.08,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
422,TRUE,"Only black faces","male",55,15,3.33,988,0.97,FALSE,450,0.65,0.86,0.44,-0.42,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
424,TRUE,"Only black faces","male",35,24,3,953,0.98,FALSE,607,0.43,0.58,0.28,-0.3,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
426,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,2,"Race IAT","incongruent","ratings first"
427,TRUE,"Only black faces","male",23,16,4,794,0.75,FALSE,945,0.62,0.6,0.64,0.04,FALSE,3,"Race IAT","congruent","SCIAT first"
429,TRUE,"Both white and black faces","female",37,15,4,715,0.98,FALSE,209,1,1,1,0,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
432,TRUE,"I don't know","female",28,14,3.83,979,0.98,FALSE,564,0.43,0.46,0.4,-0.06,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
433,TRUE,"I don't know","female",24,21,4,863,0.92,FALSE,727,0.73,0.86,0.6,-0.26,FALSE,1,"Race IAT","congruent","ratings first"
435,TRUE,"Only black faces","female",49,17,3.67,930,0.97,FALSE,887,0.61,0.78,0.44,-0.34,FALSE,3,"Race IAT","congruent","SCIAT first"
440,TRUE,"Only black faces","male",37,19,4.17,931,0.92,FALSE,746,0.36,0.36,0.36,0,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
442,TRUE,"Only black faces","female",30,16,7,781,0.97,FALSE,504,0.62,0.7,0.54,-0.16,FALSE,2,"Race IAT","incongruent","ratings first"
443,TRUE,"Both white and black faces","female",45,12,5.5,736,0.87,FALSE,364,0.75,0.76,0.74,-0.02,FALSE,3,"Race IAT","congruent","SCIAT first"
446,TRUE,"Only black faces","male",40,25,4,553,0.85,FALSE,265,0.6,0.58,0.62,0.04,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
448,TRUE,"Only black faces","",33,24,4,1025,0.95,FALSE,685,0.41,0.38,0.44,0.06,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
450,TRUE,"Only black faces","male",18,22,4,787,0.74,FALSE,529,0.68,0.64,0.72,0.08,FALSE,2,"Race IAT","incongruent","ratings first"
454,TRUE,"Only black faces","male",43,16,3.83,978,0.99,FALSE,419,0.57,0.16,0.98,0.82,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
456,TRUE,"Both white and black faces","male",20,19,4.17,711,0.73,FALSE,647,0.92,0.88,0.96,0.08,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
457,TRUE,"Only black faces","female",23,15,5,686,0.97,FALSE,437,1,1,1,0,FALSE,1,"Race IAT","congruent","ratings first"
459,TRUE,"Only black faces","female",27,22,4.83,862,0.95,FALSE,590,0.91,0.88,0.94,0.0599999999999999,FALSE,3,"Race IAT","congruent","SCIAT first"
460,TRUE,"Both white and black faces","female",34,19,1.5,747,0.88,FALSE,285,0.51,0.98,0.04,-0.94,FALSE,4,"Race IAT","incongruent","SCIAT first"
463,TRUE,"Only black faces","male",57,16,4,1088,0.96,FALSE,357,0.83,0.82,0.84,0.02,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
464,TRUE,"I don't know","male",32,13,4,978,0.97,FALSE,577,0.63,0.3,0.96,0.66,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
465,TRUE,"Only black faces","male",39,18,4,780,0.91,FALSE,326,0.49,0.42,0.56,0.14,FALSE,1,"Race IAT","congruent","ratings first"
466,TRUE,"Only black faces","female",27,11,6,736,0.78,FALSE,374,0.95,0.92,0.98,0.0599999999999999,FALSE,2,"Race IAT","incongruent","ratings first"
468,TRUE,"I don't know","male",22,19,4.17,992,0.91,FALSE,608,0.56,0.56,0.56,0,FALSE,4,"Race IAT","incongruent","SCIAT first"
470,TRUE,"Only black faces","male",33,16,6,992,0.88,FALSE,245,1,1,1,0,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
471,TRUE,"Only black faces","female",19,18,4.17,678,0.96,FALSE,434,0.83,0.8,0.86,0.0599999999999999,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
472,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
475,TRUE,"Both white and black faces","male",31,23,6,1037,0.96,FALSE,353,0.89,0.86,0.92,0.0600000000000001,FALSE,3,"Race IAT","congruent","SCIAT first"
478,TRUE,"Only black faces","male",52,18,4,842,0.99,FALSE,846,0.52,0.54,0.5,-0.04,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
480,TRUE,"Only black faces","male",28,19,4,737,0.94,FALSE,772,0.51,0.46,0.56,0.1,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
481,TRUE,"Both white and black faces","male",22,22,5,891,0.92,FALSE,585,0.63,0.56,0.7,0.14,FALSE,1,"Race IAT","congruent","ratings first"
