"participant","amp_recognition_response","condition","IAT_condition","block_order","task_order","gender","age","modern_racism_scale_total","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","AMP_mean_RT","AMP_perc_acc","exclude"
268,"Only black faces",4,"Race IAT","incongruent","SCIAT first","male",26,15,1075,0.99,FALSE,820,0.65,FALSE
270,"Only black faces",6,"Flowers-Insects IAT","incongruent","ratings first","female",44,14,983,0.96,FALSE,437,0.9,FALSE
272,"Only black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","male",23,15,657,0.87,FALSE,566,0.51,FALSE
274,"Only black faces",2,"Race IAT","incongruent","ratings first","male",30,17,709,0.98,FALSE,422,0.21,FALSE
275,"Only black faces",3,"Race IAT","congruent","SCIAT first","female",34,18,903,0.98,FALSE,1160,0.59,FALSE
277,"Only black faces",5,"Flowers-Insects IAT","congruent","ratings first","male",35,17,485,0.93,FALSE,176,0.67,FALSE
278,"Only black faces",6,"Flowers-Insects IAT","incongruent","ratings first","male",52,15,841,0.99,FALSE,745,0.95,FALSE
282,"Only black faces",2,"Race IAT","incongruent","ratings first","male",58,20,1065,0.89,FALSE,351,0.6,FALSE
284,"Only black faces",4,"Race IAT","incongruent","SCIAT first","male",30,15,729,0.94,FALSE,834,0.55,FALSE
286,"Only black faces",6,"Flowers-Insects IAT","incongruent","ratings first","female",55,24,1382,0.68,FALSE,369,0.82,FALSE
289,"Only black faces",1,"Race IAT","congruent","ratings first","female",40,14,723,0.97,FALSE,968,0.53,FALSE
290,"I don't know",2,"Race IAT","incongruent","ratings first","female",51,17,709,0.98,FALSE,518,0.66,FALSE
291,"Only black faces",3,"Race IAT","congruent","SCIAT first","female",37,13,922,0.91,FALSE,508,0.72,FALSE
292,"I don't know",4,"Race IAT","incongruent","SCIAT first","female",23,15,604,0.95,FALSE,502,0.41,FALSE
293,"Only black faces",5,"Flowers-Insects IAT","congruent","ratings first","male",21,13,765,0.94,FALSE,516,0.53,FALSE
294,"Only black faces",6,"Flowers-Insects IAT","incongruent","ratings first","female",51,17,746,0.97,FALSE,546,0.58,FALSE
297,"Only black faces",1,"Race IAT","congruent","ratings first","male",48,12,615,0.9,FALSE,428,0.49,FALSE
298,"Only black faces",2,"Race IAT","incongruent","ratings first","female",28,18,982,0.94,FALSE,444,0.54,FALSE
305,"Only black faces",1,"Race IAT","congruent","ratings first","male",18,19,1093,0.93,FALSE,646,0.79,FALSE
306,"Only black faces",2,"Race IAT","incongruent","ratings first","female",21,15,760,0.82,FALSE,526,0.64,FALSE
308,"Only black faces",4,"Race IAT","incongruent","SCIAT first","male",22,19,817,0.99,FALSE,537,0.8,FALSE
312,"Only black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","female",29,14,889,0.95,FALSE,483,0.99,FALSE
315,"Only black faces",3,"Race IAT","congruent","SCIAT first","male",26,20,1019,1,FALSE,865,0.36,FALSE
316,"Only black faces",4,"Race IAT","incongruent","SCIAT first","female",24,12,592,0.94,FALSE,422,0.74,FALSE
324,"Only black faces",4,"Race IAT","incongruent","SCIAT first","male",47,16,863,0.93,FALSE,530,0.59,FALSE
330,"Only black faces",2,"Race IAT","incongruent","ratings first","female",55,17,883,0.94,FALSE,773,0.52,FALSE
332,"Both white and black faces",4,"Race IAT","incongruent","SCIAT first","male",51,18,995,0.96,FALSE,901,0.59,FALSE
333,"Only black faces",5,"Flowers-Insects IAT","congruent","ratings first","male",51,14,908,0.99,FALSE,726,0.62,FALSE
335,"Only black faces",7,"Flowers-Insects IAT","congruent","SCIAT first","female",33,18,978,0.89,FALSE,503,0.68,FALSE
336,"Both white and black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","female",53,15,1125,0.88,FALSE,545,0.63,FALSE
338,"Only black faces",2,"Race IAT","incongruent","ratings first","male",32,17,704,0.85,FALSE,341,0.47,FALSE
340,"Only black faces",4,"Race IAT","incongruent","SCIAT first","male",28,15,915,0.91,FALSE,443,1,FALSE
342,"Only black faces",6,"Flowers-Insects IAT","incongruent","ratings first","male",29,16,955,0.94,FALSE,416,0.98,FALSE
343,"Only black faces",7,"Flowers-Insects IAT","congruent","SCIAT first","female",48,14,814,0.96,FALSE,642,0.56,FALSE
344,"Only black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","female",27,14,756,0.82,FALSE,525,0.51,FALSE
345,"Only black faces",1,"Race IAT","congruent","ratings first","genderfluid",27,17,842,0.96,FALSE,1106,0.57,FALSE
347,"Both white and black faces",3,"Race IAT","congruent","SCIAT first","female",28,18,758,0.94,FALSE,450,0.22,FALSE
348,"Only black faces",4,"Race IAT","incongruent","SCIAT first","male",33,14,801,0.96,FALSE,660,0.45,FALSE
349,"Only black faces",5,"Flowers-Insects IAT","congruent","ratings first","female",47,15,936,1,FALSE,799,1,FALSE
350,"Only black faces",6,"Flowers-Insects IAT","incongruent","ratings first","male",60,19,940,0.94,FALSE,782,0.66,FALSE
351,"Only black faces",7,"Flowers-Insects IAT","congruent","SCIAT first","male",24,14,1059,0.91,FALSE,400,0.51,FALSE
352,"Only black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","male",38,12,725,0.96,FALSE,671,0.46,FALSE
355,"Only black faces",3,"Race IAT","congruent","SCIAT first","female",33,12,1106,1,FALSE,681,0.79,FALSE
356,"Only black faces",4,"Race IAT","incongruent","SCIAT first","female",34,15,707,0.99,FALSE,290,0.79,FALSE
360,"Only black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","female",36,21,1032,0.97,FALSE,769,0.55,FALSE
362,"Both white and black faces",2,"Race IAT","incongruent","ratings first","female",33,22,724,0.94,FALSE,306,0.91,FALSE
364,"Both white and black faces",4,"Race IAT","incongruent","SCIAT first","male",26,14,653,0.95,FALSE,387,0.68,FALSE
367,"Only black faces",7,"Flowers-Insects IAT","congruent","SCIAT first","female",19,15,813,0.88,FALSE,562,0.86,FALSE
368,"Only black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","female",35,16,818,0.98,FALSE,620,0.83,FALSE
369,"Only black faces",1,"Race IAT","congruent","ratings first","male",42,26,1119,0.98,FALSE,525,0.54,FALSE
372,"Only black faces",4,"Race IAT","incongruent","SCIAT first","female",20,16,710,0.97,FALSE,671,0.51,FALSE
375,"Only black faces",7,"Flowers-Insects IAT","congruent","SCIAT first","male",27,25,744,0.9,FALSE,258,0.53,FALSE
376,"Only black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","female",29,20,651,0.92,FALSE,277,0.54,FALSE
379,"Only black faces",3,"Race IAT","congruent","SCIAT first","female",24,23,761,0.91,FALSE,538,0.63,FALSE
381,"Only black faces",5,"Flowers-Insects IAT","congruent","ratings first","female",19,14,726,0.97,FALSE,560,0.7,FALSE
383,"Only black faces",7,"Flowers-Insects IAT","congruent","SCIAT first","female",54,20,835,1,FALSE,686,0.73,FALSE
385,"Only black faces",1,"Race IAT","congruent","ratings first","male",22,22,647,0.64,TRUE,509,0.69,TRUE
386,"Only black faces",2,"Race IAT","incongruent","ratings first","female",28,19,695,0.91,FALSE,151,0.61,FALSE
389,"Both white and black faces",5,"Flowers-Insects IAT","congruent","ratings first","female",33,13,723,0.92,FALSE,377,0.55,FALSE
398,"Only black faces",6,"Flowers-Insects IAT","incongruent","ratings first","male",23,28,720,0.83,FALSE,339,0.63,FALSE
400,"Only black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","female",20,14,596,0.99,FALSE,606,0.77,FALSE
402,"Only black faces",2,"Race IAT","incongruent","ratings first","male",22,14,666,0.84,FALSE,475,0.92,FALSE
404,"Only black faces",4,"Race IAT","incongruent","SCIAT first","male",18,20,791,0.93,FALSE,281,0.53,FALSE
410,"Only black faces",2,"Race IAT","incongruent","ratings first","female",47,18,804,0.98,FALSE,290,1,FALSE
416,"Both white and black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","male",54,23,864,0.77,FALSE,478,0.95,FALSE
421,"I don't know",5,"Flowers-Insects IAT","congruent","ratings first","female",29,20,719,0.84,FALSE,452,0.34,FALSE
422,"Only black faces",6,"Flowers-Insects IAT","incongruent","ratings first","male",55,15,988,0.97,FALSE,450,0.65,FALSE
424,"Only black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","male",35,24,953,0.98,FALSE,607,0.43,FALSE
427,"Only black faces",3,"Race IAT","congruent","SCIAT first","male",23,16,794,0.75,FALSE,945,0.62,FALSE
429,"Both white and black faces",5,"Flowers-Insects IAT","congruent","ratings first","female",37,15,715,0.98,FALSE,209,1,FALSE
432,"I don't know",8,"Flowers-Insects IAT","incongruent","SCIAT first","female",28,14,979,0.98,FALSE,564,0.43,FALSE
433,"I don't know",1,"Race IAT","congruent","ratings first","female",24,21,863,0.92,FALSE,727,0.73,FALSE
435,"Only black faces",3,"Race IAT","congruent","SCIAT first","female",49,17,930,0.97,FALSE,887,0.61,FALSE
440,"Only black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,19,931,0.92,FALSE,746,0.36,FALSE
442,"Only black faces",2,"Race IAT","incongruent","ratings first","female",30,16,781,0.97,FALSE,504,0.62,FALSE
443,"Both white and black faces",3,"Race IAT","congruent","SCIAT first","female",45,12,736,0.87,FALSE,364,0.75,FALSE
446,"Only black faces",6,"Flowers-Insects IAT","incongruent","ratings first","male",40,25,553,0.85,FALSE,265,0.6,FALSE
448,"Only black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","",33,24,1025,0.95,FALSE,685,0.41,FALSE
450,"Only black faces",2,"Race IAT","incongruent","ratings first","male",18,22,787,0.74,FALSE,529,0.68,FALSE
454,"Only black faces",6,"Flowers-Insects IAT","incongruent","ratings first","male",43,16,978,0.99,FALSE,419,0.57,FALSE
456,"Both white and black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","male",20,19,711,0.73,FALSE,647,0.92,FALSE
457,"Only black faces",1,"Race IAT","congruent","ratings first","female",23,15,686,0.97,FALSE,437,1,FALSE
459,"Only black faces",3,"Race IAT","congruent","SCIAT first","female",27,22,862,0.95,FALSE,590,0.91,FALSE
460,"Both white and black faces",4,"Race IAT","incongruent","SCIAT first","female",34,19,747,0.88,FALSE,285,0.51,FALSE
463,"Only black faces",7,"Flowers-Insects IAT","congruent","SCIAT first","male",57,16,1088,0.96,FALSE,357,0.83,FALSE
464,"I don't know",8,"Flowers-Insects IAT","incongruent","SCIAT first","male",32,13,978,0.97,FALSE,577,0.63,FALSE
465,"Only black faces",1,"Race IAT","congruent","ratings first","male",39,18,780,0.91,FALSE,326,0.49,FALSE
466,"Only black faces",2,"Race IAT","incongruent","ratings first","female",27,11,736,0.78,FALSE,374,0.95,FALSE
468,"I don't know",4,"Race IAT","incongruent","SCIAT first","male",22,19,992,0.91,FALSE,608,0.56,FALSE
470,"Only black faces",6,"Flowers-Insects IAT","incongruent","ratings first","male",33,16,992,0.88,FALSE,245,1,FALSE
471,"Only black faces",7,"Flowers-Insects IAT","congruent","SCIAT first","female",19,18,678,0.96,FALSE,434,0.83,FALSE
475,"Both white and black faces",3,"Race IAT","congruent","SCIAT first","male",31,23,1037,0.96,FALSE,353,0.89,FALSE
478,"Only black faces",6,"Flowers-Insects IAT","incongruent","ratings first","male",52,18,842,0.99,FALSE,846,0.52,FALSE
480,"Only black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","male",28,19,737,0.94,FALSE,772,0.51,FALSE
481,"Both white and black faces",1,"Race IAT","congruent","ratings first","male",22,22,891,0.92,FALSE,585,0.63,FALSE
